ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
104365511,Audio,American Crow,Corvus brachyrhynchos,,James (Jim) Holmes,2018-06-14,2018,6,14,557,United States,US-CA-067,California,Sacramento,U Street x 42nd Street,38.5569413,-121.4561635,Adult,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S46539241,,,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.45,58,,,
56781051,Audio,American Crow,Corvus brachyrhynchos,,James (Jim) Holmes,2017-04-24,2017,4,24,1816,United States,US-LA-113,Louisiana,Vermilion,Hebert's Public Boat Ramp,29.7464810,-92.3250965,Adult,Call,Not Used,,,,,Olympus LS-11,Sennheiser ME66,,,S36248302,,,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.89,9,,,
420980621,Audio,American Crow,Corvus brachyrhynchos,Streptopelia decaocto -- Eurasian Collared-Dove,Paul Fenwick,2022-02-11,2022,2,11,948,United States,US-CA-053,California,Monterey,US-CA-Carmel Valley Village-336 El Caminito Rd,36.4884780,-121.7212130,Adult – 1,Call,Not Used,,,,,MixPre3,Wildtronics,Parabola,,S102510403,,,,,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,7,,,
72456501,Audio,American Crow,Corvus brachyrhynchos,,Jeffrey Roth,2017-10-19,2017,10,19,1642,United States,US-OH-163,Ohio,Vinton,Lake Hope,39.3206204,-82.3558331,Adult,Call,Not Used,,,,,iPhone with RØDE Rec,,,,S40021068,,,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.27,11,,,
295109331,Audio,American Crow,Corvus brachyrhynchos,,Dan J. MacNeal,2020-12-27,2020,12,27,818,Canada,CA-ON-WL,Ontario,Wellington,5th Line Property-Oustic,43.6943618,-80.2490856,,Call,Not Used,,,,,iPhone 8,,,,S78063881,,,,Mobbing a GHOW,H,Corvus brachyrhynchos,amecro,Species,21333,,4.67,6,,,
214721311,Audio,American Crow,Corvus brachyrhynchos,,Jay McGowan,2019-12-26,2019,12,26,811,United States,US-NY-109,New York,Tompkins,Tareyton Drive yards,42.4706560,-76.4597903,Adult – 6,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S62631166,,,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.80,5,,,
165134801,Audio,American Crow,Corvus brachyrhynchos,,Dave Slager,2019-03-31,2019,3,31,930,United States,US-WA-033,Washington,King,17th Ave--NE 86th St to Thornton Creek,47.6975223,-122.3094236,,Call,Not Used,,,,,Marantz PMD661,Sennheiser ME67,,,S54413437,,,,Natural calls at 9:42am with Steller's Jay in background. Highpass filter 250 Hz in Ocen Audio.,,Corvus brachyrhynchos,amecro,Species,21333,,4.80,5,,,
102495871,Audio,American Crow,Corvus brachyrhynchos,,Ian Hearn,2018-05-29,2018,5,29,900,United States,US-ID-001,Idaho,Ada,TVBC,43.5922655,-116.3796517,Adult,Call; Flight Call,Not Used,,,,,,,,,S46132875,,,,,,Corvus brachyrhynchos,amecro,Species,21333,,4.43,7,,,
435550391,Audio,American Crow,Corvus brachyrhynchos,Pica hudsonia -- Black-billed Magpie,Jameson Koehn,2022-04-14,2022,4,14,1855,Canada,CA-AB-EL,Alberta,Edmonton,Edmonton--Jack Horan Park,53.5376110,-113.6123989,,Call,Unspecified,,,,,Samsung phone,,,,S107059630,,,,,"Making a huge hullabaloo.  Two were having a fight - tumbling through the branches, pecking and clawing at each other.  It seems that all the other crows were there just to watch.",Corvus brachyrhynchos,amecro,Species,21333,,5.00,4,,,
105313241,Audio,American Crow,Corvus brachyrhynchos,,Chris Wood,2018-06-23,2018,6,23,540,United States,US-CO-059,Colorado,Jefferson,Reynolds Ranch County Park,39.4663152,-105.2362776,Adult,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 8,Telinga 52cm,,S46739458,,,,,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,4,,,
207780,Audio,American Crow,Corvus brachyrhynchos,,Bob McGuire,2015-07-02,2015,7,2,558,United States,US-AK,Alaska,,Seward; Miller's Landing Campground,60.0714344,-149.4380093,Adult – 3,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,Equipment Notes: Telinga Pro 7 set on mono mode.,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,4,,,
207778,Audio,American Crow,Corvus brachyrhynchos,,Bob McGuire,2015-06-30,2015,6,30,1427,United States,US-AK,Alaska,,Seward airport,60.1251600,-149.4163200,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,Equipment Notes: Telinga Pro 7 set on mono mode.,,Corvus brachyrhynchos,amecro,Species,21333,,5.00,4,,,
167507991,Audio,American Crow,Corvus brachyrhynchos,,Laura Sebastianelli,2019-07-08,2019,7,8,723,United States,US-ME-009,Maine,Hancock,Acadia NP--Lower Harbor Trail,44.3841206,-68.0718599,Adult,Call,Not Used,,,,,Marantz PMD561,Sennheiser ME66,,,S58041392,,,,"3 adult crows (at times all were in spruce tree about 30 ft away and at eye level (as I was on a cliff trail about 35 ft high); and 2 immature (distinguished by voice and begging type calls) and they were on rocks and rockweed 35 feet below) in Little Harbor Cove (low tide).  (last week I saw this family group here but across the cove and there were being fed by adult(s)). Other species in background: Black-capped Chickadees,  Black-throated Green Warbler, Winter Wren, and unidentified gull species. Recorded at 9:39am.","3 adults, and 2 immature",Corvus brachyrhynchos,amecro,Species,21333,,4.60,5,,,
