ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
104680001,Audio,American Goldfinch,Spinus tristis,,Mark Dennis,2018-06-16,2018,6,16,545,Canada,CA-NS-SH,Nova Scotia,Shelburne,"Dunblevin, Clam Point yard, CSI",43.4954889,-65.5771359,,Call,Not Used,,,,,Zoom H4Npro,,,,S46604877,,,,,,Spinus tristis,amegfi,Species,32338,,3.57,54,,,
384917621,Audio,American Goldfinch,Spinus tristis,,Julia Plummer,2021-11-02,2021,11,2,916,United States,US-PA-027,Pennsylvania,Centre,Woodward Farmland,40.9131883,-77.3626328,Adult – 1,Call,Not Used,,,,,Zoom F1,Sennheiser ME-62,Telinga Parabola,,S97021142,,,,,"One goldfinch perched on a tree over the road, giving calls.",Spinus tristis,amegfi,Species,32338,,4.60,5,,,
64266551,Audio,American Goldfinch,Spinus tristis,,William D. Kragh,2017-07-24,2017,7,24,1600,Canada,CA-BC-CO,British Columbia,Central Okanagan,"1764 Slateview Cres, ◉ Lake Country CA-BC (50.0152,-119.4370)",50.0151620,-119.4369660,Juvenile,Call,Not Used,,,,,Iphone 5S,Shure MV88,,,S38311757,,,,,"Juvenile bird begging for food from an adult male, at a feeder with nyger thistle seed.",Spinus tristis,amegfi,Species,32338,,4.14,7,,,
259582191,Audio,American Goldfinch,Spinus tristis,,Bruno Drolet,2020-09-01,2020,9,1,1840,Canada,CA-QC-QU,Quebec,Québec,Plaines d'Abraham,46.7997657,-71.2178421,Juvenile – 1,Call,Not Used,,,,,SM4-mini (Wildlife Acoustics),Internal omnidirectional micro,,,S73088801,,,,"Contact call of juvenal recently fledged, very short tail, with its head under wing. No obvious adults around.","Jeune ayant récemment quitté le nid. Nous l'avons localisé par ses vocalises régulières et fortes. Il crie, perché sur une branche, caché sous les feuilles, la tête sous l'aile, queue très courte. Aucun adulte à proximité.",Spinus tristis,amegfi,Species,32338,,4.40,5,,,
67989071,Audio,American Goldfinch,Spinus tristis,,Ted Floyd,2017-09-03,2017,9,3,1720,United States,US-CO-107,Colorado,Routt,Yampavian Ranch--PRIVATE,40.5075542,-107.2057464,Adult Female,Call,Not Used,,,,,Olympus LS-10,RØDE VideoMic Pro,,,S38988068,,,,,,Spinus tristis,amegfi,Species,32338,,3.88,8,,,
166996381,Audio,American Goldfinch,Spinus tristis,,Christopher McPherson,2019-07-05,2019,7,5,616,United States,US-VT-027,Vermont,Windsor,Deweys Mill Pond - Hartford (56 acres),43.6428982,-72.4036152,Adult,Call,Not Used,,,,,Sound Device Mixpre3,Sennheiser ME62,Telinga Pro Univ. MK2,,S57936723,,,,,,Spinus tristis,amegfi,Species,32338,,4.50,4,,,
609177252,Audio,American Goldfinch,Spinus tristis,,Dargan Jaeger,2023-09-23,2023,9,23,700,United States,US-MT-001,Montana,Beaverhead,"(45.249336, -112.6222661) - Laknar Lane, Dillon",45.2493360,-112.6222661,Adult Female – 1,Call; Foraging or Eating,Unspecified,,,,,,,,,S150589291,,,,Female on porch a few feet away; background goldfinch sound is on sunflowers eating of of them,,Spinus tristis,amegfi,Species,32338,,5.00,3,,,
324134951,Audio,American Goldfinch,Spinus tristis,,Magdalena Z,2021-04-08,2021,4,8,715,Canada,CA-ON-WL,Ontario,Wellington,Guelph--University of Guelph (Arboretum),43.5392072,-80.2157650,Adult – 1,Call,Not Used,,,,,LS11 Olympus,Wildtronics Mono-Stereo mics,"22"" parabola",,S85084609,,,,perched 30 ft up on top of a tree; 2 other individuals heard in the background,,Spinus tristis,amegfi,Species,32338,,5.00,3,,,
252373981,Audio,American Goldfinch,Spinus tristis,Corvus corax -- Common Raven; Spizella passerina -- Chipping Sparrow,Sean Smith,2020-07-29,2020,7,29,1730,United States,US-ME-017,Maine,Oxford,Hiram Village,43.8806651,-70.8004395,Juvenile – 5,Call; Feeding Young,Not Used,,,,,cell phone,,,,S71942173,,,,Begging juveniles at feeder,begging fledglings at feeder (Audio),Spinus tristis,amegfi,Species,32338,,3.89,9,,,
214187261,Audio,American Goldfinch,Spinus tristis,Dryobates pubescens -- Downy Woodpecker; Baeolophus bicolor -- Tufted Titmouse; Melanerpes carolinus -- Red-bellied Woodpecker; Zenaida macroura -- Mourning Dove; Spizella pusilla -- Field Sparrow; Cardinalis cardinalis -- Northern Cardinal; Pipilo erythrophthalmus -- Eastern Towhee,Michael S Taylor,2020-03-08,2020,3,8,717,United States,US-MO-017,Missouri,Bollinger,3Cat Acres,37.3587300,-90.0236900,Unknown – 30,Call,Not Used,,,,,Marantz PMD661MKII,Sennheiser ME67 Shotgun,,,S65559958,,,,"Large flock of AMGO visiting Tulip Poplar that has my feeders. I was leaning against the back of the house ca 12 m away from tree but birds did not go to feeder while I was there.  Instead, they remained among the branches of the tree. Number of birds varied as birds came and when but was always about 30-40, minimum. Segments interrupted by approaching car. Final segment interrupted by heat pump switching on.",,Spinus tristis,amegfi,Species,32338,,4.25,4,,,
611520106,Audio,American Goldfinch,Spinus tristis,,Carole Swann,2023-11-24,2023,11,24,1403,United States,US-TN-125,Tennessee,Montgomery,Liberty Park and Marina,36.5064869,-87.3718202,Adult – 1,Call,Not Used,,,,,iPhone Xr,Built-in microphone,,,S155118157,,,,,,Spinus tristis,amegfi,Species,32338,,4.67,3,,,
589736571,Audio,American Goldfinch,Spinus tristis,,Dioni Loïc Sauvé,2023-06-30,2023,6,30,552,Canada,CA-QC-JAM,Quebec,Jamésie,Champs et ancien parc à résidus minier,49.7907030,-74.8634100,Adult Female – 1; Adult Male – 1,"Call; Courtship, Display, or Copulation",Unspecified,,,,,,,,,S143140945,,,,,,Spinus tristis,amegfi,Species,32338,,4.67,3,,,
481715181,Audio,American Goldfinch,Spinus tristis,,Richard Stanton,2022-09-05,2022,9,5,1600,United States,US-MO-019,Missouri,Boone,Vemers Ford Rd.,38.8894963,-92.2049475,,Call,Not Used,,,,,,,,,S118180835,,,,,,Spinus tristis,amegfi,Species,32338,,4.67,3,,,
433504841,Audio,American Goldfinch,Spinus tristis,,Jefferson Ashby,2022-04-09,2022,4,9,724,United States,US-WA-033,Washington,King,Union Bay Natural Area/Montlake Fill,47.6542400,-122.2913700,,Call,Unspecified,,,,,,,,,S106611654,,,,,,Spinus tristis,amegfi,Species,32338,,4.67,3,,,
326618671,Audio,American Goldfinch,Spinus tristis,,David M. Bell,2021-04-15,2021,4,15,748,Canada,CA-BC-CO,British Columbia,Central Okanagan,Kelowna--Johns Family Regional Park,49.7730259,-119.5192337,,Call,Not Used,,,,,Samsung Galaxy S7,Movo PM10,homemade bowl parabola,,S85605365,,,,,,Spinus tristis,amegfi,Species,32338,,4.67,3,,,
