ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
620727578,Audio,American Redstart,Setophaga ruticilla,,James (Jim) Holmes,2024-06-19,2024,6,19,603,United States,US-VA-187,Virginia,Warren,Shenandoah NP--Dickey Ridge Visitor Center,38.8712000,-78.2046000,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070,,,S182529846,,,,pair together calling,Counted one by one,Setophaga ruticilla,amered,Species,33779,,5.00,5,,,
203886131,Audio,American Redstart,Setophaga ruticilla,,Joe Angseesing,2019-01-22,2019,1,22,0,Jamaica,JM-05,Saint Mary,,Green Castle Estate,18.2997870,-76.8154700,,Call,Unspecified,,,,IBC1561117,,,,,S64982231,,,,"Foraging female making a series of calls. Elevation: 120 m. Date added to IBC: February 9, 2019.",,Setophaga ruticilla,amered,Species,33779,,4.22,9,,,
462257551,Audio,American Redstart,Setophaga ruticilla,,Magdalena Z,2022-06-24,2022,6,24,934,Canada,CA-ON-WL,Ontario,Wellington,Atlas square 17TNJ43 - 17TNJ43-new,43.6771278,-80.4466171,Adult Female – 1,Call,Unspecified,,,,,LS11 Olympus,wildtronics mono-stereo,"22"" parabola",,S113706518,,,,,female feeding a BHCO fledgling and making frequent chip calls while searching for food; male nearby and singing,Setophaga ruticilla,amered,Species,33779,,5.00,3,,,
620727533,Audio,American Redstart,Setophaga ruticilla,,James (Jim) Holmes,2024-06-19,2024,6,19,603,United States,US-VA-187,Virginia,Warren,Shenandoah NP--Dickey Ridge Visitor Center,38.8712000,-78.2046000,Adult Male – 1,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070,,,S182529846,,,,,Counted one by one,Setophaga ruticilla,amered,Species,33779,,4.00,4,,,
184509531,Audio,American Redstart,Setophaga ruticilla,Catharus guttatus -- Hermit Thrush,Zak Pohlen,2019-07-17,2019,7,17,551,United States,US-AK-110,Alaska,Juneau City and Borough,Tongass NF--Moose Lake area,58.4057814,-134.5713186,Adult Female – 1,Call,Not Used,,,,,Samsung Galaxy s8,Sennheiser ME66,,,S58263918,,,,,,Setophaga ruticilla,amered,Species,33779,,4.33,3,,,
584125701,Audio,American Redstart,Setophaga ruticilla,,Jeff Ellerbusch,2023-06-11,2023,6,11,718,United States,US-NJ-027,New Jersey,Morris,Mahlon Dickerson Reservation,41.0068481,-74.5876408,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S141301648,,,,female chipping as it foraged along Ogden Mine Railroad,Abundant breeder here; careful 1x1 count but I did not keep location/count breakdown for this species,Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
622294759,Audio,American Redstart,Setophaga ruticilla,,Timothy Spahr,2024-08-08,2024,8,8,534,United States,US-MA-027,Massachusetts,Worcester,Westboro WMA,42.2955958,-71.6157532,,Call,Not Used,,,,,Zoom F3,Sennheiser MKH 8070,,,S190644711,,,,,,Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
621636971,Audio,American Redstart,Setophaga ruticilla,,Jack Yanko,2024-07-17,2024,7,17,908,United States,US-ME-019,Maine,Penobscot,University of Maine--Orono Campus (general area),44.9006093,-68.6694792,Juvenile – 2,Call,Unspecified,,,,,iPhone 8,,,,S187450059,,,,fledgling begging calls,"watched 2 fledge, one stuck around in the same tree as the nest while the other was eager to explore the world and quickly moved out of sight and earshot. being fed regularly only by the male w the female seen only once briefly. didn’t hear any calling from the nest, perhaps these were the last (or only) two to fledge and the female was busy feeding the early fledglings elsewhere",Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
596882821,Audio,American Redstart,Setophaga ruticilla,Poecile atricapillus -- Black-capped Chickadee; Vireo olivaceus -- Red-eyed Vireo,Glen Chapman,2023-07-19,2023,7,19,756,United States,US-NY-041,New York,Hamilton,Mud Creek,43.5991770,-74.5905920,Adult Female – 1,Call,Not Used,,,,,Tascam DR-07X ,Wildtronics Amplified Omni Microphone ,"Wildtronics 11"" Pro Mini Parabola ",,S145213077,,,,,,Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
595308301,Audio,American Redstart,Setophaga ruticilla,Turdus migratorius -- American Robin,Larry Joseph,2023-07-18,2023,7,18,758,Canada,CA-BC-KS,British Columbia,Kitimat-Stikine,Hazelton--Hospital Lake,55.2689454,-127.6465416,Unknown – 1,Call,Not Used,,,,,iPhone 11 Pro ,Sennheiser MKE600 ,Blimp ,,S144927083,,,,Bird was 2-3m from me.,,Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
352608561,Audio,American Redstart,Setophaga ruticilla,,Wil Hershberger,2021-07-06,2021,7,6,428,United States,US-WV-003,West Virginia,Berkeley,"Sleepy Creek WMA, Sleepy Creek road 2.1 mile west of ranger station at last hairpin turn before the top of Third Hill Mtn",39.5117660,-78.1381820,Adult Male – 1; Juvenile – 1,Call; Feeding Young,Unspecified,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S91335356,,,,"Behavior and other notes: Fledgling American Redstart giving calls while begin for food fr om and being fed by an ASY male whom sang occasionally. Distance to source: 12-15 meters. Recording Time: 0551 (UTC -4). Temperature 22.8°C. Habitat: Eastern deciduous forest. Specific location: Sleepy Creek WMA, Sleepy Creek road 2.1 miles west of ranger station at last hairpin turn before the top of Third Hill Mtn. , Berkeley Co., West Virginia. Latitude 39.511766, Longitude -78.138182. Elevation 483 meters. ID’d by: 100% sight and sound. Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordist original file name: WH_21T1267-1269_1271_American Redstart fledgling calls_Berkeley Co WV_ML.wav",Two juveniles capable of short flights being fed by adult ASY male.,Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
163111721,Audio,American Redstart,Setophaga ruticilla,,Jay McGowan,2019-01-22,2019,1,22,725,Dominican Republic,DO-10,Independencia,,PN Sierra de Baoruco--Near Park Sign,18.3413800,-71.6562500,Female,Call,Not Used,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S51933635,,,,Calls from a female-type.,,Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
67430541,Audio,American Redstart,Setophaga ruticilla,,Robert Bochenek,2017-08-29,2017,8,29,1432,United States,US-MI-151,Michigan,Sanilac,Delaware Park,43.6149510,-82.5983477,Adult Male,Call,Not Used,,,,,Samsung S7,,,,S38898542,,,,,,Setophaga ruticilla,amered,Species,33779,,5.00,2,,,
616068902,Audio,American Redstart,Setophaga ruticilla,,Bill Tollefson,2024-03-03,2024,3,3,1109,Belize,BZ-CY,Cayo,,Mountain Pine Ridge--Rio Frio Cave,16.9680750,-89.0033990,Adult – 1,Call,Not Used,,,,,,,,,S163592697,,,,,,Setophaga ruticilla,amered,Species,33779,,4.00,4,,,
517299421,Audio,American Redstart,Setophaga ruticilla,,Delbert Penner,2022-12-17,2022,12,17,907,Belize,BZ-CY,Cayo,,Home,17.3290345,-89.0488202,Adult – 1,Call,Unspecified,,,,,Samsung Galaxy S9 Smartphone,,,,S124137550,,,,,,Setophaga ruticilla,amered,Species,33779,,4.00,4,,,
