ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
207166,Audio,American Robin,Turdus migratorius,,Bob McGuire,2015-06-11,2015,6,11,2013,United States,US-AK,Alaska,,Off Steese Highway; Nome Creek Road,65.2874354,-146.7169189,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,Cee calls. Other Behaviors: Emit Alarm. Equipment Notes: Telinga Pro 7 set on mono mode.,,Turdus migratorius,amerob,Species,28313,,4.80,10,,,
415777801,Audio,American Robin,Turdus migratorius,,Jeff Ellerbusch,2022-02-12,2022,2,12,723,United States,US-NJ-025,New Jersey,Monmouth,Sandy Hook,40.4392518,-73.9869263,,Call; Flight Call; Mechanical Sound,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S102532176,,,,"individual perched up calling, wings and calls in flight while leaving perch from 0:37-0:39",,Turdus migratorius,amerob,Species,28313,,5.00,7,,,
204805,Audio,American Robin,Turdus migratorius,,Jay McGowan,2015-06-27,2015,6,27,759,United States,US-MT-089,Montana,Sanders,Lolo National Forest--Siegel Creek access road,47.3136898,-114.8098755,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S24075876,,,,Pair agitated at presence of recordists. Other Behaviors: Mob. Equipment Notes: Telinga filter engaged.,,Turdus migratorius,amerob,Species,28313,,4.71,7,,,
306069,Audio,American Robin,Turdus migratorius,,Wil Hershberger,2020-03-13,2020,3,13,812,United States,US-WV-003,West Virginia,Berkeley,Wood Song,39.5749560,-78.0544680,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH 8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,"Behavior and other notes: An adult American Robin giving calls. Recording Time: 0812 (UTC -5).  Temperature10C.  Habitat: mixed deciduous woods.  Distance to sound source: 12-13 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_20T0051_American Robin calls_Berkeley Co WV.wav",,Turdus migratorius,amerob,Species,28313,,5.00,5,,,
611595553,Audio,American Robin,Turdus migratorius,,Ethan Denton,2023-04-11,2023,4,11,734,Canada,CA-AB-FN,Alberta,Banff,Bow Valley PP--Mount Lorette Ponds,50.9685100,-115.1090300,Adult – 1,Call,Not Used,,,,,,,,,S133456717,,,,,,Turdus migratorius,amerob,Species,28313,,4.80,5,,,
146906501,Audio,American Robin,Turdus migratorius,,James (Jim) Holmes,2019-03-23,2019,3,23,838,United States,US-CA-055,California,Napa,Las Posadas PUC,38.5741388,-122.4179077,Adult,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S54150000,,,,,,Turdus migratorius,amerob,Species,28313,,4.80,5,,,
594251411,Audio,American Robin,Turdus migratorius,,Vyom Vyas,2023-07-01,2023,7,1,843,United States,US-NY-109,New York,Tompkins,"Columbia Street Park, Ithaca, New York, US",42.4358405,-76.4965614,Unknown – 1,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" Parabola",,S143220527,,,,Alarm call,,Turdus migratorius,amerob,Species,28313,,5.00,4,,,
521892051,Audio,American Robin,Turdus migratorius,,James (Jim) Holmes,2023-01-05,2023,1,5,654,United States,US-AL-085,Alabama,Lowndes,Lowndes WMA--Riggins Tract,32.3425230,-86.6035911,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S125452261,,,,,,Turdus migratorius,amerob,Species,28313,,5.00,4,,,
213807211,Audio,American Robin,Turdus migratorius,Dryobates pubescens pubescens/medianus -- Downy Woodpecker (Eastern),Jay McGowan,2020-03-06,2020,3,6,725,United States,US-NY-109,New York,Tompkins,Myers Point,42.5371252,-76.5506476,Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S65484861,,,,,,Turdus migratorius,amerob,Species,28313,,5.00,4,,,
231833231,Audio,American Robin,Turdus migratorius,Catharus occidentalis -- Russet Nightingale-Thrush; Ptiliogonys cinereus -- Gray Silky-flycatcher; Poecile sclateri -- Mexican Chickadee,Miguel Aguilar @birdnomad,2020-05-05,2020,5,5,1035,Mexico,MX-DIF-012,Ciudad de México,Tlalpan,"Parque Las Maravillas (Bosque), Ciudad de México, MX (19.15, -99.175)",19.1500300,-99.1748393,Adult – 2,Call,Not Used,,,,,Tascam DR-100 Linear PCM,Sennheiser ME 67,,,S68460572,,,,,,Turdus migratorius,amerob,Species,28313,,4.33,6,,,
24987211,Audio,American Robin,Turdus migratorius,,Mike Bailey,2016-02-26,2016,2,26,1100,United States,US-WI-025,Wisconsin,Dane,UW Madison Arboretum--HoNeeUm,43.0547443,-89.4288003,Adult,Call,Unspecified,,,,,Zoom H5,Sennheiser MKE600 shotgun mic.,,,S27832396,,,,,,Turdus migratorius,amerob,Species,28313,,4.75,4,,,
207168,Audio,American Robin,Turdus migratorius,,Bob McGuire,2015-06-11,2015,6,11,2023,United States,US-AK,Alaska,,Off Steese Highway; Nome Creek Road,65.2874354,-146.7169189,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,Cee calls. Other Behaviors: Emit Alarm. Equipment Notes: Telinga Pro 7 set on mono mode.,,Turdus migratorius,amerob,Species,28313,,4.29,7,,,
143830221,Audio,American Robin,Turdus migratorius,,James (Jim) Holmes,2019-03-04,2019,3,4,1801,United States,US-CA-095,California,Solano,Ryer Island,38.2411460,-121.6320200,,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S53410680,,,,,,Turdus migratorius,amerob,Species,28313,,4.00,6,,,
464429961,Audio,American Robin,Turdus migratorius,,Wil Hershberger,2022-07-03,2022,7,3,521,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,,Call,Not Used,,,,,Sound Device 702,Senn. MKH8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,S114287547,,,,"Behavior and other notes: Adult American Robin (sex unknown) giving calls from the lower canopy of the woods. There was an accipiter in a tree just 11 meters away from the AMRO. With each ""tut"" call, the bird shook its entire body and splayed and closed its tail. The ruffling of feathers during these calls can be heard. Recorder HPF on at 80 Hz, -12 dB/octave. Channels: Mono. Vocalization type: Call. Distance to source: 15 meters. Recording Time: 0540 (UTC -4). Temperature 20.0°C. Habitat: eastern deciduous forest. Specific location: Wood Song, 1.5 km WSW of Johnsontown, Berkeley Co., West Virginia. Latitude 39.575464, Longitude -78.056623. Elevation 156 meters. ID’d by: Sight and sound 100%. Playback: No. Recordist original file name: WH_22T0864_American Robin giving calls with accipiter in area_Berkeley Co WV_ML.WAV.wav",,Turdus migratorius,amerob,Species,28313,,5.00,3,,,
349365251,Audio,American Robin,Turdus migratorius,,Sawyer Dawson,2021-06-20,2021,6,20,2004,Canada,CA-ON-MI,Ontario,Middlesex,Hyde Park--Private Property (No Trespassing),42.9947590,-81.3416426,,Call,Unspecified,,,,,,,,,S90548537,,,,Agitated behaviour. Became quite upset as I walked by its nest.,,Turdus migratorius,amerob,Species,28313,,5.00,3,,,
