ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
473499021,Audio,Barred Owl,Strix varia,,Taylor Sturm,2022-08-04,2022,8,4,2116,United States,US-NY-031,New York,Essex,"The Adirondack Park, Minerva US-NY 43.85968, -74.00522",43.8596760,-74.0052240,Adult – 1; Juvenile – 1,Call; Feeding Young,Not Used,,,,,MixPre3,Sennheiser ME 67,,,S116348828,,,,"Juv Barred Owl begging, but then the adult starts calling and flies in with some food and the begging intensifies (listen!)",Pair of fledged juveniles initially spotted on center line of road (!) and got off the road just in time. Adult eventually began calling and came in with food and begging intensified. Magical experience.,Strix varia,brdowl,Species,9117,,5.00,13,,,
473499011,Audio,Barred Owl,Strix varia,,Taylor Sturm,2022-08-04,2022,8,4,2116,United States,US-NY-031,New York,Essex,"The Adirondack Park, Minerva US-NY 43.85968, -74.00522",43.8596760,-74.0052240,Juvenile – 1,Call,Unspecified,,,,,MixPre3,Sennheiser ME 67,,,S116348828,,,,Juv Barred Owl begging ,Pair of fledged juveniles initially spotted on center line of road (!) and got off the road just in time. Adult eventually began calling and came in with food and begging intensified. Magical experience.,Strix varia,brdowl,Species,9117,,5.00,7,,,
282032221,Audio,Barred Owl,Strix varia,,Nick Tepper,2020-11-21,2020,11,21,435,United States,US-MA-017,Massachusetts,Middlesex,Assabet River NWR,42.4085771,-71.4724244,,Call,Used,,,,,Tascam DR-40X,,,,S76479010,,,,Female scream in response to a NSWO wail imitation,,Strix varia,brdowl,Species,9117,,4.83,6,,,
375694541,Audio,Barred Owl,Strix varia,,André BERNARD,2021-10-07,2021,10,7,59,Canada,CA-QC-BM,Quebec,Brome-Missisquoi,"2117 Ch Beattie, Dunham CA-QC (45.1782,-72.7117)",45.1782000,-72.7117000,Unknown – 1,Call,Not Used,,,,,AudioMoth v1.1.0 par/by Open Acoustic Devices,N/A,N/A,,S95711047,,,,,Entendue dans la forêt au nord-est,Strix varia,brdowl,Species,9117,,4.80,5,,,
203918721,Audio,Barred Owl,Strix varia,,Josep del Hoyo,2017-06-21,2017,6,21,0,United States,US-FL-095,Florida,Orange,Mead Botanical Gardens,28.5836000,-81.3586000,Unknown – 1,Call,Unspecified,,,,IBC1525848,,,,,S64823648,,,,"A bird calling. Elevation: 27 m. Date added to IBC: October 29, 2018.",IBC scientific name: Strix varia georgica.,Strix varia,brdowl,Species,9117,,5.00,4,,,
238657631,Audio,Barred Owl,Strix varia,,Jeff Graham,2020-05-23,2020,5,23,2353,United States,US-FL-019,Florida,Clay,Clay - Crowbar (private residence),30.1764870,-81.7073650,Adult – 1,Call,Not Used,,,,,Roland R26,Sennheiser ME62,Parabola/MK2,,S69544702,,,,,Immature begging. Adult double hoots. Glad our heads didn't get clawed.,Strix varia,brdowl,Species,9117,,4.50,4,,,
76176331,Audio,Barred Owl,Strix varia,,Lance Benner,2017-11-24,2017,11,24,2100,United States,US-ME-019,Maine,Penobscot,"Kennebec Road, Hampden",44.7275488,-68.8798571,,Call,Used,,,,,Sony PCM-M10,Sennheiser ME67,,,S40712540,,,,Edits: trimmed and normalized to -3 dB.,"Seen perched silently on a branch after we played northern saw-whet owl, eastern screech owl, and long-eared owl recordings.  Eventually it vocalized for about ten minutes before flying off.",Strix varia,brdowl,Species,9117,,4.25,4,,,
37500081,Audio,Barred Owl,Strix varia,,Steven Biggers,2016-10-16,2016,10,16,640,United States,US-SC-091,South Carolina,York,Faulkner Road,35.1051920,-81.2694073,,Call,Not Used,,,,,Zoom H1,,Audacity editing,,S32058938,,,,,,Strix varia,brdowl,Species,9117,,3.83,6,,,
153850371,Audio,Barred Owl,Strix varia,,Andrew Simon,2019-04-25,2019,4,25,1755,United States,US-MI-125,Michigan,Oakland,Stony Creek Metropark (Oakland Co.),42.7267130,-83.1051350,,Call,Not Used,,,,,,,,,S55407196,,,,"Pair duetting, third individual swooped in and chased them away.",,Strix varia,brdowl,Species,9117,,4.67,3,,,
466021651,Audio,Barred Owl,Strix varia,,Andrew Emlen,2022-07-07,2022,7,7,2114,United States,US-WA-069,Washington,Wahkiakum,"1. Alcyon Farm, 140 Oatfield Rd",46.3237506,-123.4433707,Juvenile – 1,Call,Not Used,,,,,Tascam DR-40,none,none,,S114712792,,,,Additional species: Swainson's Thrush,,Strix varia,brdowl,Species,9117,,4.67,3,,,
