ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
202235011,Audio,Bay-breasted Warbler,Setophaga castanea,,Jay McGowan,2020-01-03,2020,1,3,1005,Panama,PA-8,Panamá,,Cerro Azul--Altos del Frente,9.2016371,-79.4136858,Unknown – 1,Call; Flight Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S63111881,,,,,,Setophaga castanea,babwar,Species,33804,,5.00,4,,,
505994531,Audio,Bay-breasted Warbler,Setophaga castanea,,John Martínez D,2022-11-12,2022,11,12,1134,Colombia,CO-CAL,Caldas,,"Marquetalia-Victoria, Caldas, CO (5.323, -74.928)",5.3231319,-74.9280607,Unknown – 2,Call; Foraging or Eating,Not Used,,,,,Redmi Note 10 pro ,,,,S122452907,,,,,,Setophaga castanea,babwar,Species,33804,,4.33,3,,,
255664471,Audio,Bay-breasted Warbler,Setophaga castanea,,Vincent Giroux,2020-08-15,2020,8,15,1028,Canada,CA-QC-RM,Quebec,Rimouski-Neigette,Parc Beauséjour,48.4342121,-68.5415554,,Call,Unspecified,,,,,,,,,S72432201,,,,,,Setophaga castanea,babwar,Species,33804,,4.33,3,,,
478463481,Audio,Bay-breasted Warbler,Setophaga castanea,Empidonax minimus -- Least Flycatcher; Poecile atricapillus -- Black-capped Chickadee,Brad Bumgardner,2022-08-26,2022,8,26,623,United States,US-WI-079,Wisconsin,Milwaukee,Warnimont County Park (general),42.9396281,-87.8456685,,Call,Not Used,,,,,,,,,S117583989,,,,,Continuing,Setophaga castanea,babwar,Species,33804,,4.00,3,,,
198745811,Audio,Bay-breasted Warbler,Setophaga castanea,,Jay McGowan,2019-12-28,2019,12,28,652,Panama,PA-8,Panamá,,Parque Natural Metropolitano,8.9949993,-79.5459294,Unknown – 1,Call,Unspecified,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S62715067,,,,,,Setophaga castanea,babwar,Species,33804,,4.00,3,,,
612104279,Audio,Bay-breasted Warbler,Setophaga castanea,Buteo nitidus -- Gray-lined Hawk,Bettsi Carolina Quintero,2023-12-08,2023,12,8,959,Venezuela,VE-S,Táchira,,"San Rafel de Cordero, Sector Paramito",7.8306039,-72.1745163,,Call; Foraging or Eating,Unspecified,,,,,OLYMPUS LS 12,SENNHEISER,,,S155944756,,,,,Hembra no reproductiva inmaduro. Y un macho,Setophaga castanea,babwar,Species,33804,,4.50,2,,,
234412531,Audio,Bay-breasted Warbler,Setophaga castanea,,Doug Gochfeld,2020-05-12,2020,5,12,1000,United States,US-NY-047,New York,Kings,Home,40.6361565,-73.9647943,,Call; Flight Call,Unspecified,,,,,,,,,S68927995,,,,,,Setophaga castanea,babwar,Species,33804,,3.67,3,,,
245336071,Audio,Bay-breasted Warbler,Setophaga castanea,,Joshua Brown,2020-06-18,2020,6,18,844,Canada,CA-BC-PC,British Columbia,Peace River,Beatton Provincial Park,56.3267400,-120.9390600,Adult Female – 1,Call,Unspecified,,,,,,,,,S70577415,,,,Female chip call,"3 singing males, 1 female",Setophaga castanea,babwar,Species,33804,,3.25,4,,,
265050241,Audio,Bay-breasted Warbler,Setophaga castanea,,Alex Eberts,2020-09-20,2020,9,20,1115,United States,US-OH-049,Ohio,Franklin,Kiwanis Riverway Park,40.0965430,-83.1095188,,Call,Unspecified,,,,,,,,,S73836048,,,,,,Setophaga castanea,babwar,Species,33804,,3.33,3,,,
631922840,Audio,Bay-breasted Warbler,Setophaga castanea,,Sebastian Tabares Segovia,2025-02-26,2025,2,26,602,Colombia,CO-BOY,Boyacá,,"Boyacá, CO (5.81, -74.118)",5.8098333,-74.1176959,,Call,Unspecified,,,,,Zoom F3,Sennheiser ME66,,,S215563506,,,,,,Setophaga castanea,babwar,Species,33804,,5.00,1,,,
