ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
70998911,Audio,Black-and-white Warbler,Mniotilta varia,,James (Jim) Holmes,2017-10-06,2017,10,6,658,United States,US-AL-113,Alabama,Russell,Fort Mitchell National Cemetery,32.3528260,-85.0200175,,Call,Used,,,,,Olympus LS-11,Sennheiser ME 67,,,S39578748,,,,response to its own song,One singing,Mniotilta varia,bawwar,Species,33685,,4.33,6,,,
125968401,Audio,Black-and-white Warbler,Mniotilta varia,,Marcus Kelly,2018-11-30,2018,11,30,717,United States,US-FL-099,Florida,Palm Beach,Loxahatchee River District - (Restricted Access via AE Trips or Advanced Permission),26.9259322,-80.1402426,Adult Male,Call,Not Used,,,,,,,,,S50315130,,,,TINK and RATTLE,,Mniotilta varia,bawwar,Species,33685,,4.00,5,,,
520760621,Audio,Black-and-white Warbler,Mniotilta varia,,Owen Sinkus,2023-01-03,2023,1,3,854,United States,US-TX-029,Texas,Bexar,Brackenridge Park (HOTE 095),29.4590115,-98.4716392,,Call,Unspecified,,,,,,,,,S125317133,,,,,,Mniotilta varia,bawwar,Species,33685,,4.33,3,,,
440805011,Audio,Black-and-white Warbler,Mniotilta varia,Pipilo erythrophthalmus -- Eastern Towhee,Jeff Kenney,2022-04-23,2022,4,23,901,United States,US-PA-029,Pennsylvania,Chester,State Game Lands 43,40.1748208,-75.7980632,Adult – 2,Call,Not Used,,,,,iPhone Pro 11,,,,S107782753,,,,,,Mniotilta varia,bawwar,Species,33685,,4.33,3,,,
334740791,Audio,Black-and-white Warbler,Mniotilta varia,,Jay McGowan,2021-04-28,2021,4,28,546,United States,US-WV-019,West Virginia,Fayette,"New River Gorge NP--Fern Creek, Endless Wall N Trailhead",38.0625808,-81.0595764,Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S86598888,,,,"Calls from an apparent male, near but apparently different from the male in ML334740051.",,Mniotilta varia,bawwar,Species,33685,,4.33,3,,,
261131691,Audio,Black-and-white Warbler,Mniotilta varia,,Matt Wistrand,2020-09-04,2020,9,4,607,United States,US-IL-043,Illinois,DuPage,"Elsen's Hill, West DuPage Woods Forest Preserve",41.8621000,-88.1725000,Immature Male – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre3,Sennheiser MKH20,Telinga Universal Pro,,S73166588,,,,Young male still learning how to sing (subsong).,,Mniotilta varia,bawwar,Species,33685,,4.33,3,,,
604457551,Audio,Black-and-white Warbler,Mniotilta varia,,Brian Sullivan,2023-07-21,2023,7,21,827,United States,US-PA-115,Pennsylvania,Susquehanna,"3035–3299 Harmony Rd, Susquehanna US-PA 41.95745, -75.69402",41.9574480,-75.6940180,,Call,Not Used,,,,,Zoom F3,Wildtronics Parabola Mic,Feather Light Dish,,S145215798,,,,,,Mniotilta varia,bawwar,Species,33685,,5.00,2,,,
246121191,Audio,Black-and-white Warbler,Mniotilta varia,,Nick Anich,2020-06-23,2020,6,23,807,United States,US-WI-033,Wisconsin,Dunn,Otter Creek easement,45.0928827,-91.8395874,,Call; Feeding Young,Unspecified,,,,,,,,,S70751946,,,,chip notes from young being fed,"squeaky wheel song, family group of 3 seen well, adds to this total.",Mniotilta varia,bawwar,Species,33685,,5.00,2,,,
539095321,Audio,Black-and-white Warbler,Mniotilta varia,Vireo griseus -- White-eyed Vireo; Thryothorus ludovicianus -- Carolina Wren; Polioptila caerulea -- Blue-gray Gnatcatcher; Cardinalis cardinalis -- Northern Cardinal,Tayler Brooks,2022-04-01,2022,4,1,1150,United States,US-TX-001,Texas,Anderson,Gus Engeling WMA--Catfish Creek,31.9672281,-95.8677477,,Call,Not Used,,,,,Sound Devices Mixpre3,Wildtronics Pro Mono Parabolic microphone,"Wildtronics 22"" parabola",,S106026696,,,,,,Mniotilta varia,bawwar,Species,33685,,4.00,3,,,
415220521,Audio,Black-and-white Warbler,Mniotilta varia,,Jay McGowan,2021-05-01,2021,5,1,631,United States,US-WV-019,West Virginia,Fayette,Babcock SP--Grist Mill,37.9797246,-80.9461713,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S86805737,,,,Calls from a foraging female.,,Mniotilta varia,bawwar,Species,33685,,4.50,2,,,
