ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
298821281,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Jorge Guerra,2021-01-17,2021,1,17,931,Cuba,CU-03,La Habana,,"Finca de los Espiritistas, Alberro, Cotorro",23.0450115,-82.2405424,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,LG K11-Alpha smartphone,,,,S79407928,,,,,,Setophaga caerulescens,btbwar,Species,33856,,4.33,6,,,
609541995,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Miles Brengle,2023-10-03,2023,10,3,822,United States,US-NY-061,New York,New York,Central Park,40.7715482,-73.9724819,Female – 1,Call; Foraging or Eating,Unspecified,,,,,Olympus LS-12,,,,S151333259,,,,,"including one female in Ramble vocalizing frequently, at times from &lt;2m away",Setophaga caerulescens,btbwar,Species,33856,,4.67,3,,,
257833841,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Glen Chapman,2020-07-30,2020,7,30,750,United States,US-NY-031,New York,Essex,Putnam Pond,43.8399000,-73.5716500,Adult Female – 1,Call,Not Used,,,,,Sound Devices MixPre-3 ,"Wildtronics pro parabolic microphone, mono, amplified ",Wildtronics 22 inch Parabola ,,S71963348,,,,We later saw it carrying food. ,,Setophaga caerulescens,btbwar,Species,33856,,4.67,3,,,
31716471,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Jory Teltser,2016-07-01,2016,7,1,615,United States,US-ME-011,Maine,Kennebec,New England Music Camp,44.4994740,-69.7700190,Juvenile,Call,Not Used,,,,,iPhone 6,,,,S30781900,,,,Juvenile begging.  A Merlin briefly calls in this recording too.,Adult male feeding fledgling right next to Practice Cabin 16.,Setophaga caerulescens,btbwar,Species,33856,,3.75,4,,,
31716461,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Jory Teltser,2016-07-01,2016,7,1,615,United States,US-ME-011,Maine,Kennebec,New England Music Camp,44.4994740,-69.7700190,Juvenile,Call,Not Used,,,,,,,,,S30781900,,,,Juvenile begging,Adult male feeding fledgling right next to Practice Cabin 16.,Setophaga caerulescens,btbwar,Species,33856,,4.00,3,,,
407071371,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Jay McGowan,2021-12-23,2021,12,23,554,Colombia,CO-MAG,Magdalena,,RNA ProAves El Dorado--Sendero La Cumbre,11.0967750,-74.0653620,Adult Female – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S99343015,,,,Chips from a foraging female who suddenly became agitated about something.,"**Rare (for anywhere in South America). Adult female foraging in tanager/warbler flock about 300m down from La Cumbre (11.0993278, -74.0516231). Photos and audio.",Setophaga caerulescens,btbwar,Species,33856,,4.50,2,,,
337158781,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Brad Walker,2021-05-11,2021,5,11,700,United States,US-NY-109,New York,Tompkins,Sapsucker Woods,42.4787599,-76.4529133,Adult Male – 1,Call,Not Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S87821318,,,,,One female,Setophaga caerulescens,btbwar,Species,33856,,4.50,2,,,
246314671,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Jay McGowan,2020-05-15,2020,5,15,557,United States,US-NY-109,New York,Tompkins,Tareyton Drive yards,42.4706560,-76.4597903,Adult Male – 2,Call; Flying,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S69071610,,,,Calls from two adult males interacting.,,Setophaga caerulescens,btbwar,Species,33856,,4.50,2,,,
163109731,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Jay McGowan,2019-01-22,2019,1,22,725,Dominican Republic,DO-10,Independencia,,PN Sierra de Baoruco--Near Park Sign,18.3413800,-71.6562500,Adult Male,Call,Not Used,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S51933635,,,,,,Setophaga caerulescens,btbwar,Species,33856,,4.50,2,,,
34608861,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Ben Newhouse,2016-07-19,2016,7,19,1000,United States,US-VT-007,Vermont,Chittenden,Burrows Trail,44.3155650,-72.9053800,,Call,Unspecified,,,,,iPhone 4S,,,,S31487697,,,,,,Setophaga caerulescens,btbwar,Species,33856,,4.50,2,,,
70658631,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Darrell Peterson,2017-10-01,2017,10,1,700,United States,US-VA-145,Virginia,Powhatan,Powhatan State Park,37.6780539,-77.9464484,Adult Female,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S39497529,,,,Called only a few times from exposed position as it flitted in a low tree,,Setophaga caerulescens,btbwar,Species,33856,,3.67,3,,,
579560781,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Daniel Jauvin,2023-05-28,2023,5,28,919,Canada,CA-QC-NY,Quebec,Nicolet-Yamaska,WTXXXX - SAINT-FRANÇOIS-DU-LAC - Rang Saint-Jean-Baptiste,46.0374742,-72.8176537,Adult Male – 1,Call,Used,,,,,Sound Devices MixPre-3 II ,Sennheiser ME 66 - K6 ,RØDE BLIMP-R Microphone with Rycote LYRE Mount,,S139635969,,,,Paruline bleue mâle nicheur qui crie.,Sonogramme: mâle chanteur.,Setophaga caerulescens,btbwar,Species,33856,,4.00,2,,,
362950461,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Julia Plummer,2021-08-15,2021,8,15,633,United States,US-PA-027,Pennsylvania,Centre,Moshannon SF/Black Moshannon SP--Allegheny Front/Shingle Mill Trails,40.9460654,-78.0463600,Adult Male – 1,Call,Not Used,,,,,Zoom F1,SGH-6,,,S93256011,,,,,,Setophaga caerulescens,btbwar,Species,33856,,4.00,2,,,
344682931,Audio,Black-throated Blue Warbler,Setophaga caerulescens,Setophaga virens -- Black-throated Green Warbler,Glen Chapman,2021-05-26,2021,5,26,735,United States,US-NY-041,New York,Hamilton,Deep Hole Leanto,44.1030160,-74.3217550,Adult Male – 1,Call,Unspecified,,,,,Tascam DR-07X ,Wildtronics Amplified Omni Microphone ,"Wildtronics 11"" Pro Mini Parabola ",,S89415360,,,,Agitated.,,Setophaga caerulescens,btbwar,Species,33856,,4.00,2,,,
239198181,Audio,Black-throated Blue Warbler,Setophaga caerulescens,,Jay McGowan,2020-05-17,2020,5,17,1109,United States,US-NY-109,New York,Tompkins,Shindagin Hollow SF--Shindagin Hollow Rd.,42.3338153,-76.3400674,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S69239704,,,,,,Setophaga caerulescens,btbwar,Species,33856,,4.00,2,,,
