ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
167829861,Audio,Black-throated Green Warbler,Setophaga virens,,Lucas Bobay,2019-07-09,2019,7,9,820,United States,US-NH-007,New Hampshire,Coos,White Mt. NF--Caps Ridge Trail,44.2993979,-71.3371989,,Call,Not Used,,,,,iPhone 6s,,,,S58058434,,,,,,Setophaga virens,btnwar,Species,33928,,4.25,4,,,
609131127,Audio,Black-throated Green Warbler,Setophaga virens,Setophaga americana -- Northern Parula; Cyanocitta cristata -- Blue Jay,Tom Marvel,2023-09-22,2023,9,22,616,United States,US-MA-001,Massachusetts,Barnstable,"High Head, Pilgrim Heights",42.0563031,-70.1161194,,Call; Flight Call; Flying; Foraging or Eating,Not Used,,,,,Sound Device MixPre 3,Wildtronics Pro Mono,"22"" parabola",,S150471216,,,," Chips at 1 and 34s. Flight calls at 17,25,27,and 36s.  Flight calls are the ascending ones, NOPA are the descending ones. ",Audio has  chip and flight calls of both BTGW and NOPA. Both were side by side foraging in bush. I have used the same audio for NOPA. I have listed the different calls under the audio file comments.,Setophaga virens,btnwar,Species,33928,,4.00,4,,,
274380641,Audio,Black-throated Green Warbler,Setophaga virens,,Brad Walker,2020-09-11,2020,9,11,724,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Unknown – 1,Call,Unspecified,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S73452598,,,,,,Setophaga virens,btnwar,Species,33928,,4.33,3,,,
242807761,Audio,Black-throated Green Warbler,Setophaga virens,Vireo olivaceus -- Red-eyed Vireo; Dryobates pubescens -- Downy Woodpecker,Michael J Good,2020-06-12,2020,6,12,1205,United States,US-ME-009,Maine,Hancock,Acadia NP--Schooner Head Road Marsh,44.3489122,-68.1854868,Adult Male – 1,Call,Unspecified,,,,,,,,,S70226442,,,,,Recorded a never before heard call from this species. The bird did eventually start making a typical Zee Zee Zee Zoo Zee but this was a short buzzy sometime two note call I have not heard before. The recording captured these calls.,Setophaga virens,btnwar,Species,33928,,4.33,3,,,
240766531,Audio,Black-throated Green Warbler,Setophaga virens,Zonotrichia albicollis -- White-throated Sparrow; Leiothlypis ruficapilla -- Nashville Warbler; Setophaga magnolia -- Magnolia Warbler,Glen Chapman,2020-05-23,2020,5,23,1003,United States,US-NY-031,New York,Essex,Sentinel Range slide,44.3106860,-73.9156330,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre-3 ,"Wildtronics pro parabolic microphone, mono, amplified ",Wildtronics 22 inch Parabola ,,S69984003,,,,2 recordings of the same individual.  High pass filter used at 100 Hz.  ,,Setophaga virens,btnwar,Species,33928,,4.33,3,,,
623957659,Audio,Black-throated Green Warbler,Setophaga virens,Cyanocitta cristata -- Blue Jay; Cardinalis cardinalis -- Northern Cardinal; Thryothorus ludovicianus -- Carolina Wren; Polioptila caerulea -- Blue-gray Gnatcatcher,Khloe Campbell,2024-09-20,2024,9,20,643,United States,US-OK-023,Oklahoma,Choctaw,"74523, Antlers US-OK 34.12534, -95.64327",34.1253420,-95.6432720,Adult – 1,Call,Unspecified,,,,, iPad (5th generation), Uniwit Mini Portable Vocal/Instrument Microphone, None,,S195769335,,,,,,Setophaga virens,btnwar,Species,33928,,5.00,2,,,
621278649,Audio,Black-throated Green Warbler,Setophaga virens,,Dan O'Brien,2024-06-21,2024,6,21,810,United States,US-ME-009,Maine,Hancock,Acadia NP--Wonderland Trail,44.2337520,-68.3198708,Adult Male – 1,Call,Unspecified,,,,,,,,,S182864628,,,,,,Setophaga virens,btnwar,Species,33928,,5.00,2,,,
455523681,Audio,Black-throated Green Warbler,Setophaga virens,,Wil Hershberger,2022-06-01,2022,6,1,458,United States,US-ME-009,Maine,Hancock,Acadia NP--Mountain Road,44.3492636,-68.0586827,Adult – 1,Call; Foraging or Eating,Unspecified,,,,,Sound Device 702,Senn. MKH8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,S111858898,,,,"Behavior and other notes: Adult Black-throated Green Warbler giving harsh calls while foraging in a birch. Recorder HPF on at 80Hz, -12dB/octave. Distance to source: 10 meters. Recording Time: 0508 (UTC -4). Temperature 8.3°C. Habitat: Mixed spruce/fir deciduous woods.. Specific location: Schoodic Head access road at work shed., Hancock Co., Maine. Latitude 44.34922, Longitude -68.05891. Elevation 55 meters. ID’d by: sight and sound 100%. Playback: No used. Equipment notes: Recorder HPF on at 40Hz, -18dB/octave. Channels: Mono Recordist original file name: WH_22T0427_poss Black-throated Green Warbler calls_Hancock Co ME_ML.wav",,Setophaga virens,btnwar,Species,33928,,5.00,2,,,
613330164,Audio,Black-throated Green Warbler,Setophaga virens,,Miguel Aguilar @birdnomad,2024-01-01,2024,1,1,730,Mexico,MX-PUE-208,Puebla,Zacatlán,"Río Tecolutla, Puebla, MX (19.935, -97.919)",19.9349032,-97.9191655,Adult – 1,Call,Unspecified,,,,,ZOOM F3, Sennheiser ME 67,,,S157910891,,,,,,Setophaga virens,btnwar,Species,33928,,4.00,3,,,
502562191,Audio,Black-throated Green Warbler,Setophaga virens,Quiscalus mexicanus -- Great-tailed Grackle,Lisa Cancade Hackett,2022-11-09,2022,11,9,857,United States,US-TX-061,Texas,Cameron,UTRGV Brownsville (campus & resacas),25.8954255,-97.4872156,Adult – 1,Call,Unspecified,,,,,Apple iPhone Xs,,Merlin Bird app/Birdnet/Ocenaudio/Peterson Field Guide to Bird Sounds of Eastern North America,,S122123135,,,,chip call,,Setophaga virens,btnwar,Species,33928,,4.00,3,,,
