ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
170650291,Audio,Blackburnian Warbler,Setophaga fusca,,Vincent Giroux,2019-07-30,2019,7,30,1800,Canada,CA-QC-LL,Quebec,Les Laurentides,Val-David,46.0313952,-74.2109199,Juvenile,Call,Unspecified,,,,,,,,,S58578041,,,,Juvenile begging calls. Female feeding youngs.,,Setophaga fusca,bkbwar,Species,33805,,4.25,4,,,
171750241,Audio,Blackburnian Warbler,Setophaga fusca,,Matthew D. Medler,2019-05-26,2019,5,26,751,United States,US-NY-031,New York,Essex,Rattlesnake Mt.,44.4036216,-73.4326758,Adult Male – 1,Call,Not Used,,,,,Tascam DR-100 MKIII,Wildtronics Pro Mono Parabola,Wildtronics 22 parabola,,S56787659,,,,Recorded at 0959.,,Setophaga fusca,bkbwar,Species,33805,,4.33,3,,,
167290311,Audio,Blackburnian Warbler,Setophaga fusca,,Vincent Giroux,2019-07-07,2019,7,7,1026,Canada,CA-QC-JC,Quebec,La Jacques-Cartier,Parc Les Marais du Nord,46.9614160,-71.3929344,,Call,Unspecified,,,,,,,,,S58000735,,,,,,Setophaga fusca,bkbwar,Species,33805,,4.00,4,,,
64039771,Audio,Blackburnian Warbler,Setophaga fusca,,Glen Chapman,2017-07-22,2017,7,22,718,United States,US-NY-031,New York,Essex,Short swing trail,43.8761630,-73.6214370,,Call,Not Used,,,,,Roland R-26,"Wildtronics pro parabolic microphone, mono, amplified",Wildtronics 22 inch Parabola,,S38271780,,,,This Blackburnian warbler was seen for ID though we were not sure if it was a drab male or colorful female.  It was in the same location as the photographs though we are not sure that it is the same individual in the photographs as in the recording.,,Setophaga fusca,bkbwar,Species,33805,,4.00,3,,,
614284435,Audio,Blackburnian Warbler,Setophaga fusca,,Jay McGowan,2023-11-09,2023,11,9,639,Ecuador,EC-N,Napo,,WildSumaco Lodge,-0.6755082,-77.6010758,,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S154081282,,,,,,Setophaga fusca,bkbwar,Species,33805,,4.50,2,,,
275164781,Audio,Blackburnian Warbler,Setophaga fusca,Colibri coruscans -- Sparkling Violetear,Erick Nicolás Patiño Acosta,2020-10-17,2020,10,17,707,Colombia,CO-DC,Distrito Capital de Bogotá,,Parque Metropolitano Simón Bolivar,4.6585763,-74.0936208,Adult Male – 1,Call,Not Used,,,,,TASCAM DR-40,Audio-Technica AT875R,Rycote 15cm Classic-Softie windshield,,S74981648,,,,More information: https://www.xeno-canto.org/598445,,Setophaga fusca,bkbwar,Species,33805,,4.50,2,,,
112247681,Audio,Blackburnian Warbler,Setophaga fusca,,Kai Frueh,2018-07-12,2018,7,12,1342,United States,US-MN-021,Minnesota,Cass,"NF Road 837, Cass Lake US-MN (47.3794,-94.5206)",47.3793940,-94.5206160,,Call,Unspecified,,,,,iPhone 4s,,,,S47244783,,,,,,Setophaga fusca,bkbwar,Species,33805,,3.67,3,,,
51578741,Audio,Blackburnian Warbler,Setophaga fusca,,David Eberly,2016-05-26,2016,5,26,1712,United States,US-VT-027,Vermont,Windsor,Great Hawk Hawkcrest-Sparrow Hawk Rd,43.8680130,-72.8296050,,Call,Not Used,,,,,,,,,S29923710,,,,,,Setophaga fusca,bkbwar,Species,33805,,3.67,3,,,
168722571,Audio,Blackburnian Warbler,Setophaga fusca,,Maria Rose Murnaghan,2019-07-18,2019,7,18,1603,Canada,CA-QC-AG,Quebec,Argenteuil,"1778 Québec 329, Gore, Québec, CA (45.729, -74.278)",45.7290897,-74.2776828,Unknown,Call,Not Used,,,,,Phone - Galaxy S8,,,,S58276712,,,,,"In a group, calling to each other, females or juveniles",Setophaga fusca,bkbwar,Species,33805,,4.00,3,,,
467076431,Audio,Blackburnian Warbler,Setophaga fusca,,George Forsyth,2022-07-11,2022,7,11,954,Canada,CA-NS-KI,Nova Scotia,Kings,"Kemp's, Nollett Beckwith Rd, Kings CA-NS 45.12890, -64.86681",45.1289010,-64.8668090,Adult Female – 1; Juvenile – 1,Call; Feeding Young,Unspecified,,,,,Canon Rebel T7i,Rode VideoMicro,,,S114926880,,,,,,Setophaga fusca,bkbwar,Species,33805,,4.00,2,,,
