ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
341179791,Audio,Blackpoll Warbler,Setophaga striata,,Magdalena Z,2021-05-22,2021,5,22,826,Canada,CA-ON-WL,Ontario,Wellington,Guelph--Wastewater Treatment Plant/Speed River Area,43.5233014,-80.2630234,Adult – 1,Call,Unspecified,,,,,LS11 Olympus,wildtronics mono-stereo,"22"" parabola, headphones",,S88748984,,,,"present in the area and singing intermittently; only heard, I could not locate it ",Recorded,Setophaga striata,bkpwar,Species,33853,,4.25,4,,,
628500733,Audio,Blackpoll Warbler,Setophaga striata,,Alejandro Vidal,2025-01-03,2025,1,3,1015,Costa Rica,CR-SJ,San José,,Casa Pozos de Santa Ana,9.9553906,-84.1925337,Adult – 1,Call; Foraging or Eating,Not Used,,,,,Canon 70D ,Movo VXR10 ,,,S207832007,,,,,"Reinita relativamente grande forrajeando activamente en un P. oocarpa. En las fotos se pueden observar algunas características distintivas de S. striata, como las patas anaranjadas y las estrías tenues en el pecho. La vocalización también fue tomada en consideración para descartar especies similares y confirmar la identificación.",Setophaga striata,bkpwar,Species,33853,,5.00,2,,,
612223653,Audio,Blackpoll Warbler,Setophaga striata,,Jerred Seveyka,2022-07-14,2022,7,14,1234,United States,US-AK-170,Alaska,Matanuska-Susitna Borough,Palmer Hay Flats SGR--Wasilla Creek Boardwalk,61.5504655,-149.2958629,,Call,Not Used,,,,,Tascam DR05,Wildtronics Omni ,Small Parabola,,S115070097,,,,,,Setophaga striata,bkpwar,Species,33853,,4.00,3,,,
610570485,Audio,Blackpoll Warbler,Setophaga striata,,James (Jim) Holmes,2023-10-08,2023,10,8,1236,United States,US-NJ-009,New Jersey,Cape May,Cape Island--CMP--Coral Ave. dune crossing,38.9327948,-74.9651502,,Call,Not Used,,,,,MixPre-3 II,Wildronics Pro Mono,Parabolic Dish,,S151764904,,,,,,Setophaga striata,bkpwar,Species,33853,,4.00,3,,,
102388551,Audio,Blackpoll Warbler,Setophaga striata,,Scott Olmstead,2018-04-03,2018,4,3,544,Ecuador,EC-U,Sucumbíos,,Sani Lodge,-0.4397350,-76.2803360,,Call,Not Used,,,,,Edirol R-09,Sennheiser ME-66,,,S44325307,,,,Constant roaring of Colombian Red Howler Monkey in the bacground.,Seen off and on all morning in the tower tree (ceiba). Female plumage.,Setophaga striata,bkpwar,Species,33853,,4.00,3,,,
621688480,Audio,Blackpoll Warbler,Setophaga striata,,Tabitha Olsen,2024-07-16,2024,7,16,542,United States,US-NH-009,New Hampshire,Grafton,White Mt. NF--Mt. Field,44.1958053,-71.4373541,Adult – 1,Call,Not Used,,,,,Tascam DR-40X,,,,S187302955,,,,,,Setophaga striata,bkpwar,Species,33853,,4.50,2,,,
176789381,Audio,Blackpoll Warbler,Setophaga striata,,Vincent Giroux,2019-09-12,2019,9,12,1015,Canada,CA-QC-RM,Quebec,Rimouski-Neigette,Etang Dollard,48.4364378,-68.5471172,,Call,Unspecified,,,,,,,,,S59709704,,,,,,Setophaga striata,bkpwar,Species,33853,,3.50,4,,,
608859772,Audio,Blackpoll Warbler,Setophaga striata,Setophaga coronata -- Yellow-rumped Warbler,David R. Scott,2023-09-15,2023,9,15,915,Canada,CA-AB-TW,Alberta,Lethbridge,Lethbridge--Sunridge Park,49.6537118,-112.8765023,,Call,Not Used,,,,,Samsung Galaxy S21 5G,,,,S149949759,,,,,,Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
495983341,Audio,Blackpoll Warbler,Setophaga striata,Tolmomyias flaviventris -- Ochre-lored Flatbill,Nick Bayly (SELVA),2022-10-20,2022,10,20,740,Colombia,CO-LAG,La Guajira,,RN Refugio Guajiro_Est 2,11.2899330,-73.2192656,Adult Male – 1,Call,Not Used,,,,,,,,,S121005112,,,,,,Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
484596771,Audio,Blackpoll Warbler,Setophaga striata,,Brian Morse,2022-09-11,2022,9,11,1600,United States,US-NY-055,New York,Monroe,"Yard, Gates",43.1259065,-77.6927657,,Call,Not Used,,,,,,,,,S118835751,,,,,,Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
160974221,Audio,Blackpoll Warbler,Setophaga striata,,MELISSA  SOVAY,2019-05-26,2019,5,26,708,United States,US-MA-017,Massachusetts,Middlesex,Wakefield-Rosemary & Surrounding Area - 42.5036x-71.0520,42.5036631,-71.0517772,,Call,Not Used,,,,,iPhone XS Max,,,,S56754532,,,,,,Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
131072291,Audio,Blackpoll Warbler,Setophaga striata,,Nick Bayly (SELVA),2018-10-17,2018,10,17,545,Colombia,CO-LAG,La Guajira,,Fundacion Iguaraya--reserva privada (acceso restringido-restricted access),11.2993633,-73.2234028,,Call,Not Used,,,,,,,,,S49365059,,,,,La primera llegada masiva de la especie durante esta migración. La gran mayoría de individuos estaban registrados en vuelo activo después de las 6:30. Grupos de 3 a 15 individuos estaban migrando a una altura de 30 a 50 m por encima del bosque con dirección oriente o sur-oriente.,Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
97153551,Audio,Blackpoll Warbler,Setophaga striata,,Paul Marvin,2018-04-29,2018,4,29,655,United States,US-FL-009,Florida,Brevard,Maritime Hammock Sanctuary,27.9563223,-80.5027351,Adult Male,Call; Flight Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S45079629,,,,,,Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
93850121,Audio,Blackpoll Warbler,Setophaga striata,,Paul Marvin,2018-04-10,2018,4,10,700,United States,US-FL-009,Florida,Brevard,Lori Wilson Park,28.3361402,-80.6083331,Adult Male,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S44438785,,,,,"black and white pattern: white cheeks, black cap, pink legs
 
 chips recorded",Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
37451401,Audio,Blackpoll Warbler,Setophaga striata,,Miles Brengle,2016-10-05,2016,10,5,645,United States,US-MA-009,Massachusetts,Essex,Daniel Boone Park and Highland Cemetery,42.6873526,-70.8400583,,Call,Unspecified,,,,,,,,,S31900291,,,,,,Setophaga striata,bkpwar,Species,33853,,3.67,3,,,
