ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
116181971,Audio,Brown Thrasher,Toxostoma rufum,,Dan J. MacNeal,2018-09-22,2018,9,22,727,Canada,CA-ON-WL,Ontario,Wellington,5th Line Property-Oustic,43.6943618,-80.2490856,,Call,Not Used,,,,,iPhone SE,,,,S48665568,,,,,,Toxostoma rufum,brnthr,Species,27795,,4.83,6,,,
71682501,Audio,Brown Thrasher,Toxostoma rufum,,David W Foster,2017-10-12,2017,10,12,650,United States,US-FL-031,Florida,Duval,Reddie Point Preserve,30.3887022,-81.6199476,,Call,Not Used,,,,,Nikon 3200,,,,S39869048,,,,,Especially vocal just after daybreak,Toxostoma rufum,brnthr,Species,27795,,4.75,4,,,
253863691,Audio,Brown Thrasher,Toxostoma rufum,,Darrell Peterson,2020-08-06,2020,8,6,1000,United States,US-VA-145,Virginia,Powhatan,Powhatan State Park,37.6780539,-77.9464484,Unknown – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S72163056,,,,calling from low perch next to trail,,Toxostoma rufum,brnthr,Species,27795,,5.00,3,,,
384769061,Audio,Brown Thrasher,Toxostoma rufum,,James (Jim) Holmes,2021-10-29,2021,10,29,650,United States,US-AL-005,Alabama,Barbour,Eufaula NWR--Houston/Upland Units,31.9950470,-85.0757647,,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S96850071,,,,,,Toxostoma rufum,brnthr,Species,27795,,4.00,5,,,
487368991,Audio,Brown Thrasher,Toxostoma rufum,Corvus brachyrhynchos -- American Crow,Kriss Replogle,2022-09-24,2022,9,24,839,United States,US-NJ-037,New Jersey,Sussex,Wallkill River NWR--Liberty Marsh (Sussex Co.),41.2774724,-74.5320937,Unknown – 1,Call,Not Used,,,,,IPhoneSE w/ Merlin,,,,S119321416,,,,,,Toxostoma rufum,brnthr,Species,27795,,4.67,3,,,
220289871,Audio,Brown Thrasher,Toxostoma rufum,,Charles Law,2020-04-03,2020,4,3,705,United States,US-FL-105,Florida,Polk,Scott Lake,27.9657590,-81.9408614,Adult – 1,Call,Not Used,,,,,Voice memos- iPhone ,Voice memos- iPhone ,,,S66560906,,,,,,Toxostoma rufum,brnthr,Species,27795,,4.67,3,,,
131859521,Audio,Brown Thrasher,Toxostoma rufum,,Michael O'Brien,2018-12-29,2018,12,29,640,United States,US-MD-047,Maryland,Worcester,Chincoteague CBC-MOB's area,38.0459281,-75.3723907,Unknown,Call,Not Used,,,,,Zoom H4n Pro,Sennheiser ME66,,,S51057826,,,,,,Toxostoma rufum,brnthr,Species,27795,,4.67,3,,,
342814971,Audio,Brown Thrasher,Toxostoma rufum,,Lucas Schrader,2021-05-22,2021,5,22,1145,United States,US-OH-129,Ohio,Pickaway,Deer Creek Wildlife Area--Middle Wetland,39.5664752,-83.2508969,Adult – 1,Call,Not Used,,,,,Zoom H5,Wildtronics Pro M/S,"22"" dish",,S88771925,,,,"Heard the bluebird-esque yewr and found the bird low in a foliage row. It started smacking more, seems likely alarmed. We backed off and kept pointing at it for a minute.",,Toxostoma rufum,brnthr,Species,27795,,4.33,3,,,
625790296,Audio,Brown Thrasher,Toxostoma rufum,,James (Jim) Holmes,2024-11-03,2024,11,3,552,United States,US-AL-081,Alabama,Lee,Wood Duck Heritage Preserve,32.6555266,-85.4371884,,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070,,,S201274360,,,,,,Toxostoma rufum,brnthr,Species,27795,,5.00,2,,,
625790294,Audio,Brown Thrasher,Toxostoma rufum,,James (Jim) Holmes,2024-11-03,2024,11,3,552,United States,US-AL-081,Alabama,Lee,Wood Duck Heritage Preserve,32.6555266,-85.4371884,,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070,,,S201274360,,,,,,Toxostoma rufum,brnthr,Species,27795,,5.00,2,,,
