ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
325326011,Audio,Brown-headed Nuthatch,Sitta pusilla,Thryothorus ludovicianus -- Carolina Wren,LynnErla Beegle,2021-04-11,2021,4,11,1650,United States,US-NC-183,North Carolina,Wake,"Foxwood Drive (Beegle's yard) (35.8893402, -78.6553067)",35.8893402,-78.6553067,Juvenile – 1,Call; Feeding Young,Not Used,,,,,,,,,S85350682,,,,"There are SIX BHNU nestlings in the box, but only one nestling was calling when I recorded this. The eyes are not open yet. See photos ","Opened the box on mailbox pole today. They have six (6) young in the box. Eyes still shut. Photo. Compare to same nestlings on April 22, checklist S86087271",Sitta pusilla,bnhnut,Species,26683,,4.33,6,,,
92752291,Audio,Brown-headed Nuthatch,Sitta pusilla,,Steve Raduns,2018-04-03,2018,4,3,1005,United States,US-FL-019,Florida,Clay,Ronnie Van Zant Park,30.0488878,-81.7957878,Adult,Call,Not Used,,,,,,,,,S44217172,,,,,,Sitta pusilla,bnhnut,Species,26683,,4.50,4,,,
83615711,Audio,Brown-headed Nuthatch,Sitta pusilla,,Mark R Johnson,2018-01-27,2018,1,27,745,United States,US-MD-037,Maryland,St. Mary's,Point Lookout State Park,38.0485698,-76.3231802,,Call,Used,,,,,Canon 7D Mark2 camera,,,,S42292826,,,,,,Sitta pusilla,bnhnut,Species,26683,,4.20,5,,,
156602261,Audio,Brown-headed Nuthatch,Sitta pusilla,,Marilyn Westphal,2019-05-04,2019,5,4,800,United States,US-NC-125,North Carolina,Moore,Weymouth Woods Sandhills Nature Preserve,35.1471875,-79.3689895,Adult,Call,Not Used,,,,,Marantz PMD661 MKII,Sennheiser ME66,headphones,,S55927130,,,,,,Sitta pusilla,bnhnut,Species,26683,,4.00,4,,,
112237851,Audio,Brown-headed Nuthatch,Sitta pusilla,,Darrell Peterson,2018-08-25,2018,8,25,800,United States,US-VA-115,Virginia,Mathews,Bethel Beach Natural Area Preserve,37.4106814,-76.2503958,Unknown,Call; Mechanical Sound,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga para bola,,S48068882,,,,Group of 3 feeding and picking at pine cones,"Two groups, one group of 4 and one group of 3",Sitta pusilla,bnhnut,Species,26683,,4.00,4,,,
57525031,Audio,Brown-headed Nuthatch,Sitta pusilla,,Eric Cormier,2017-05-09,2017,5,9,740,United States,US-GA-121,Georgia,Fulton,Benton Woods,33.9054708,-84.3736053,Juvenile,Call,Not Used,,,,,,,,,S36684486,,,,One adult feeding two chicks in nestbox. What sounds like handling noise at the end is the adult exiting the nestbox.,,Sitta pusilla,bnhnut,Species,26683,,4.00,4,,,
72123081,Audio,Brown-headed Nuthatch,Sitta pusilla,,Darrell Peterson,2016-11-13,2016,11,13,0,United States,US-VA-181,Virginia,Surry,Hog Island WMA,37.1809086,-76.6829395,Unknown,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S39966099,,,,,I came specifically to record this species.  I found them in the pine grove near the parking area along the east-west part of the road.,Sitta pusilla,bnhnut,Species,26683,,4.33,3,,,
28346041,Audio,Brown-headed Nuthatch,Sitta pusilla,,Paul Marvin,2016-04-29,2016,4,29,620,United States,US-FL-097,Florida,Osceola,Three Lakes WMA--main unit,27.9648401,-81.0294056,,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S29288641,,,,interactions between two or three birds,,Sitta pusilla,bnhnut,Species,26683,,4.33,3,,,
65961851,Audio,Brown-headed Nuthatch,Sitta pusilla,,Jim Ferrari,2017-08-13,2017,8,13,813,United States,US-GA-207,Georgia,Monroe,"452–718 Holly Grove Rd, Juliette US-GA (33.0690,-83.8414)",33.0690030,-83.8414300,Unknown,Call,Not Used,,,,,Olympus LS-10,,,,S38620325,,,,Group of 4 or 5 Brown-headed Nuthatches vocalizing.,,Sitta pusilla,bnhnut,Species,26683,,4.33,3,,,
620408169,Audio,Brown-headed Nuthatch,Sitta pusilla,,Marcos Eugênio (Birding Guide),2024-04-18,2024,4,18,1031,United States,US-MD-035,Maryland,Queen Anne's,Chesapeake Bay Environmental Center (Horsehead),38.9498830,-76.2305300,Adult – 1,Call,Unspecified,,,,,,,,,S169172813,,,,,,Sitta pusilla,bnhnut,Species,26683,,5.00,2,,,
64458181,Audio,Brown-headed Nuthatch,Sitta pusilla,,Anne Thompson,2017-07-27,2017,7,27,935,United States,US-GA-021,Georgia,Bibb,Tattnall Square Park,32.8330822,-83.6467266,Unknown,Call,Not Used,,,,,"HTC 10, RecForge app",,,,S38348452,,,,,,Sitta pusilla,bnhnut,Species,26683,,3.67,6,,,
623289251,Audio,Brown-headed Nuthatch,Sitta pusilla,,James (Jim) Holmes,2024-08-31,2024,8,31,606,United States,US-AL-113,Alabama,Russell,Uchee Creek Special Opportunity Area (Hitchitie Road access),32.3864361,-85.2356697,,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070,,,S193411376,,,,,,Sitta pusilla,bnhnut,Species,26683,,4.00,3,,,
612054983,Audio,Brown-headed Nuthatch,Sitta pusilla,,LynnErla Beegle,2023-12-08,2023,12,8,742,United States,US-NC-101,North Carolina,Johnston,"NCBA Branch Chapel, 7438 State Highway 96, Selma (35.638, -78.287)",35.6376983,-78.2866297,Adult – 2,Call,Unspecified,,,,,Canon PowerShot SX620 HS,,,,S155939675,,,,,R,Sitta pusilla,bnhnut,Species,26683,,4.00,3,,,
102749701,Audio,Brown-headed Nuthatch,Sitta pusilla,,LynnErla Beegle,2018-05-31,2018,5,31,705,United States,US-NC-183,North Carolina,Wake,Lake Lynn,35.8820127,-78.7001324,Adult,Call,Not Used,,,,,Nikon CoolPix S7000 - MOV file converted to mp3,,,,S46178834,,,,Another BHNU in the background. Recorded at 7:23 am,,Sitta pusilla,bnhnut,Species,26683,,4.00,3,,,
120782681,Audio,Brown-headed Nuthatch,Sitta pusilla,,Robert Dobbs,2018-10-19,2018,10,19,647,United States,US-AL-119,Alabama,Sumter,Ward--Silver Creek (Rew prop.),32.3713715,-88.2776141,,Call,Not Used,,,,,Zoom H4n Pro,Sennheiser ME66/K6,,,S49293861,,,,"Bird(s) seen; responding to mobbing. Amplified to peak at -3 dB, high pass filter at 250 Hz",,Sitta pusilla,bnhnut,Species,26683,,3.75,4,,,
