ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
257722511,Audio,Canada Warbler,Cardellina canadensis,,Jay McGowan,2020-08-09,2020,8,9,738,United States,US-NY-109,New York,Tompkins,Danby SF--Travor Rd.,42.3138788,-76.4314969,Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S72267915,,,,Calls from a male.,Male chipping and seen. Singing in same spot on our way back.,Cardellina canadensis,canwar,Species,34054,,5.00,7,,,
104220081,Audio,Canada Warbler,Cardellina canadensis,,Marky Mutchler,2018-06-12,2018,6,12,921,United States,US-NY-097,New York,Schuyler,"Banfield Rd, Van Etten US-NY (42.2790,-76.6525)",42.2790080,-76.6525330,Adult,Call; Flight Call,Not Used,,,,,MixPre3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S46501062,,,,Initially recording a single bird in scrubby habitat alongside the road. Second bird entered the same bush and both interacted and flew to another part of the bush while calling. Giving both calls and the diagnostic flight call often heard.,,Cardellina canadensis,canwar,Species,34054,,3.80,5,,,
171766041,Audio,Canada Warbler,Cardellina canadensis,,Julia Plummer,2019-08-09,2019,8,9,602,United States,US-PA-027,Pennsylvania,Centre,Moshannon SF--Six Mile Run Rd.,40.9103880,-78.1048040,Adult Male – 1,Call,Not Used,,,,,zoom f1,sgh-6,,,S58854373,,,,,,Cardellina canadensis,canwar,Species,34054,,4.33,3,,,
168821891,Audio,Canada Warbler,Cardellina canadensis,,Eliot Miller,2019-07-19,2019,7,19,708,United States,US-NY-109,New York,Tompkins,Shindagin Hollow SF--Shindagin Hollow Rd.,42.3338153,-76.3400674,,Call,Unspecified,,,,,MixPre3,WildTronics Parabola,,,S58292547,,,,,,Cardellina canadensis,canwar,Species,34054,,4.33,3,,,
625870426,Audio,Canada Warbler,Cardellina canadensis,,Carlos Proaño,2024-10-29,2024,10,29,1050,Ecuador,EC-S,Morona-Santiago,,Jungle Dave's Farm,-3.1541425,-78.5640693,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Zoom H4n Pro,Synco Mic-D1 shotgun,,,S200840820,,,,Observed and recorded at 1720 m.a.s.l. in secondary forest. (photographic evidence -  ML625870476).,,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
624046580,Audio,Canada Warbler,Cardellina canadensis,Megarynchus pitangua -- Boat-billed Flycatcher; Campylorhynchus capistratus -- Rufous-backed Wren,Guillermo Funes,2024-09-21,2024,9,21,1352,El Salvador,SV-LI,La Libertad,,Finca El Espino,13.6966933,-89.2663193,Unknown – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre 3,Roland R-26 ,"Telinga 22"" Parabola",,S196002203,,,,"Era una hembra/inmaduro (la línea del pecho apenas definida). SF 150, N a -3 db",,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
592292981,Audio,Canada Warbler,Cardellina canadensis,,Julia Plummer,2023-07-05,2023,7,5,644,United States,US-PA-027,Pennsylvania,Centre,Moshannon SF--Six Mile Run Rd.,40.9103880,-78.1048040,,Call,Not Used,,,,,Zoom H5,SGH-6,,,S143635471,,,,Pair seemingly agitated because I stopped near them. Male had food in his mouth.,Male carrying food,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
589846921,Audio,Canada Warbler,Cardellina canadensis,,Simón Santiago Santos,2023-06-30,2023,6,30,1020,United States,US-NY-109,New York,Tompkins,Shindagin Hollow SF--Shindagin Hollow Rd.,42.3338153,-76.3400674,,Call,Not Used,,,,,Sound Devices MixPre-3,,,,S143172523,,,,,,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
423441951,Audio,Canada Warbler,Cardellina canadensis,,Jay McGowan,2021-05-18,2021,5,18,606,United States,US-NY-109,New York,Tompkins,Shindagin Hollow SF--Shindagin Hollow Rd.,42.3338153,-76.3400674,Adult Female – 1,Call; Nest Building,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S88459030,,,,Chip calls from a female with nesting material.,"Two males and a female interacting, then female building nest on slope just down from jeep trail.",Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
352262081,Audio,Canada Warbler,Cardellina canadensis,Geothlypis trichas -- Common Yellowthroat,Jim Carroll,2021-06-28,2021,6,28,743,Canada,CA-NB-SJ,New Brunswick,Saint John,Garnett Settlement,45.2879970,-65.8111790,,Call,Not Used,,,,,Zoom H1N,None,,,S91262625,,,,Canada Warblers are calling all around me,,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
350701061,Audio,Canada Warbler,Cardellina canadensis,Catharus fuscescens -- Veery,Rick Keyser,2021-06-23,2021,6,23,1845,United States,US-PA-127,Pennsylvania,Wayne,Buckingham Twnshp--Dillontown Rd.,41.8612433,-75.2657139,Adult Female – 1,Call; Carrying Food,Not Used,,,,,,,,,S90882843,,,,,"Singing; agitated calling while carrying food
 Audio:",Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
240535991,Audio,Canada Warbler,Cardellina canadensis,,Yves E. Gauthier,2020-06-01,2020,6,1,1551,Canada,CA-QC-SAG,Quebec,Saguenay,"La Baie, Ch du Cap-à-l'Ouest, CA-QC 48.36896, -70.86014",48.3689600,-70.8601360,,Call,Unspecified,,,,,,,,,S69947908,,,,Cri d'alarme. Mçâle.,,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
198656811,Audio,Canada Warbler,Cardellina canadensis,,Julien Piolain,2019-06-20,2019,6,20,1940,Canada,CA-QC-SAG,Quebec,Saguenay,Parc de la Rivière-du-Moulin--Secteur sud,48.3994518,-71.0457087,Adult Male – 1,Call,Not Used,,,,,Zoom H4N Pro,,,,S57638784,,,,,,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
198656771,Audio,Canada Warbler,Cardellina canadensis,Seiurus aurocapilla -- Ovenbird,Julien Piolain,2019-06-20,2019,6,20,1940,Canada,CA-QC-SAG,Quebec,Saguenay,Parc de la Rivière-du-Moulin--Secteur sud,48.3994518,-71.0457087,Adult Male – 1,"Call; Courtship, Display, or Copulation",Unspecified,,,,,Zoom H4N Pro,,,,S57638784,,,,,,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
104967761,Audio,Canada Warbler,Cardellina canadensis,,Saurabh Sawant,2018-06-17,2018,6,17,542,United States,US-NY-109,New York,Tompkins,Shindagin Hollow SF--Shindagin Hollow Rd.,42.3338153,-76.3400674,Adult Male,Call,Not Used,,,,,Marantz PMD661,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S46617308,,,,Single note call,,Cardellina canadensis,canwar,Species,34054,,4.50,2,,,
