ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
163109321,Audio,Cape May Warbler,Setophaga tigrina,,Jay McGowan,2019-01-22,2019,1,22,725,Dominican Republic,DO-10,Independencia,,PN Sierra de Baoruco--Near Park Sign,18.3413800,-71.6562500,Adult Male,Call,Not Used,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S51933635,,,,,,Setophaga tigrina,camwar,Species,33781,,4.60,5,,,
96932501,Audio,Cape May Warbler,Setophaga tigrina,,Paul Marvin,2018-04-28,2018,4,28,700,United States,US-FL-009,Florida,Brevard,Lori Wilson Park,28.3361402,-80.6083331,Adult Female,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S45038630,,,,,,Setophaga tigrina,camwar,Species,33781,,3.43,7,,,
106877341,Audio,Cape May Warbler,Setophaga tigrina,,Brian  Collins,2018-06-28,2018,6,28,1012,United States,US-WI-125,Wisconsin,Vilas,Wharton Lake NHAL 08,45.9912100,-89.4602800,,Call,Not Used,,,,,Zoom H4N Pro,Zoom H4N Pro,Wind Screen,,S47075495,,,,Cape May Warbler family with fledglings,"FUCs, FUCp, SLHn; Streamside alders with a border of balsam fir, black spruce, red pine, and cherry; balsam fir and alder understory; Cape May Warbler male and female with two fledglings chasing; Usual yellow breast with black streaks, bold wing bar, orange face, and black crown for the male and streaky, dark, almost siskin-like female; Cape May Warblers are very common breeders in this area.",Setophaga tigrina,camwar,Species,33781,,3.75,4,,,
618059449,Audio,Cape May Warbler,Setophaga tigrina,,Maxfield Weakley,2024-04-27,2024,4,27,923,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,Adult Male – 1,Call,Unspecified,,,,,,,,,S170577399,,,,,,Setophaga tigrina,camwar,Species,33781,,4.50,2,,,
448873001,Audio,Cape May Warbler,Setophaga tigrina,Mimus polyglottos -- Northern Mockingbird; Cardinalis cardinalis -- Northern Cardinal; Tyrannus dominicensis -- Gray Kingbird; Melanerpes carolinus -- Red-bellied Woodpecker; Quiscalus quiscula -- Common Grackle,Kevin Christman,2022-05-15,2022,5,15,745,United States,US-FL-087,Florida,Monroe,Big Pine Key--Palm Villa Neighborhood,24.6884780,-81.3580158,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,,,,,S110203832,,,,This is why it is important to not trust Merlin ID app all the time. Merlin tried to call this a Bay-breasted Warbler as I was watching the male Cape Map call.,,Setophaga tigrina,camwar,Species,33781,,3.67,3,,,
106877241,Audio,Cape May Warbler,Setophaga tigrina,,Brian  Collins,2018-06-28,2018,6,28,1012,United States,US-WI-125,Wisconsin,Vilas,Wharton Lake NHAL 08,45.9912100,-89.4602800,,Call,Not Used,,,,,Zoom H4N Pro,Zoom H4N Pro,Wind Screen,,S47075495,,,,Cape May Warbler family with fledglings,"FUCs, FUCp, SLHn; Streamside alders with a border of balsam fir, black spruce, red pine, and cherry; balsam fir and alder understory; Cape May Warbler male and female with two fledglings chasing; Usual yellow breast with black streaks, bold wing bar, orange face, and black crown for the male and streaky, dark, almost siskin-like female; Cape May Warblers are very common breeders in this area.",Setophaga tigrina,camwar,Species,33781,,4.00,3,,,
242662991,Audio,Cape May Warbler,Setophaga tigrina,,Jay McGowan,2020-05-13,2020,5,13,915,United States,US-NY-109,New York,Tompkins,Tareyton Drive yards,42.4706560,-76.4597903,Adult Male – 1,Call; Flight Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S68971365,,,,,In spruces over Ken's,Setophaga tigrina,camwar,Species,33781,,3.67,3,,,
615279302,Audio,Cape May Warbler,Setophaga tigrina,,Mark Scheel,2024-02-24,2024,2,24,819,United States,US-CA-037,California,Los Angeles,Alhambra Park,34.0978920,-118.1458410,,Call,Unspecified,,,,,,,,,S162819921,,,,High-pitched chip call made 3 times.,"Continuing. Photos. Brilliant male, bright yellow head and breast except red cheek, dark eyeline, and gray cap. Thin but bold black streaking on breast and flanks. Prominent white wing panel. White belly and undertail coverts, white tail spots. Yellow rump.  Making distinctive high-pitched chip call (audio recording)",Setophaga tigrina,camwar,Species,33781,,3.33,3,,,
358869551,Audio,Cape May Warbler,Setophaga tigrina,Piranga ludoviciana -- Western Tanager,Asher  Warkentin,2021-07-18,2021,7,18,900,Canada,CA-AB-SI,Alberta,Calgary,Camp Valaqua,51.5359321,-114.6016663,,Call,Unspecified,,,,,,,,,S92258828,,,,,,Setophaga tigrina,camwar,Species,33781,,3.50,4,,,
94828221,Audio,Cape May Warbler,Setophaga tigrina,,Paul Marvin,2018-04-16,2018,4,16,640,United States,US-FL-009,Florida,Brevard,Lori Wilson Park,28.3361402,-80.6083331,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S44633897,,,,"several present, unknown sex that called",,Setophaga tigrina,camwar,Species,33781,,3.50,4,,,
