ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
218789301,Audio,Carolina Chickadee,Poecile carolinensis,,Wil Hershberger,2020-03-27,2020,3,27,730,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,Adult – 4,Call,Unspecified,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S66327519,,,,"Recording Time: 1907 (UTC -4). Temperature 19C. Habitat: mixed deciduous woods. Distance to sound source: 12-17 meters. Behavior and other notes: Small flock of 4 Carolina Chickadees flying around foraging and calling to each other. Specific location: Latitude 39.575464, Longitude -78.056623. Elevation 156 meters. ID’d by sight and sound; ID confidence 100%. Equipment notes: Recorder HPF on at 80Hz, -12dB/octave.",,Poecile carolinensis,carchi,Species,21836,,4.83,6,,,
342303351,Audio,Carolina Chickadee,Poecile carolinensis,Cyanocitta cristata -- Blue Jay; Mimus polyglottos -- Northern Mockingbird; Zenaida macroura -- Mourning Dove,Mike Austin,2021-05-25,2021,5,25,700,United States,US-TX-201,Texas,Harris,BellaVita Neighborhood (access limited),29.5614783,-95.2287318,Unknown – 1,Call; Foraging or Eating,Not Used,,,,,iPhone 10,,,,S88964379,,,,,,Poecile carolinensis,carchi,Species,21836,,4.80,5,,,
519132201,Audio,Carolina Chickadee,Poecile carolinensis,,Ethan Kang,2023-01-01,2023,1,1,614,United States,US-PA-045,Pennsylvania,Delaware,Greycar Rion Memorial Refuge (my yard) [GRMR-BY],39.8488116,-75.5180149,,Call,Unspecified,,,,,MacBook Air,,,,S125127123,,,,,,Poecile carolinensis,carchi,Species,21836,,5.00,4,,,
226854471,Audio,Carolina Chickadee,Poecile carolinensis,,Wil Hershberger,2020-04-24,2020,4,24,1400,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,Adult – 1,Call; Foraging or Eating,Unspecified,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S67736431,,,,"Behavior and other notes: Adult Carolina Chickadee giving calls while foraging and moving from perch to perch. It appeared to be excited. There were four other conspecifics in the flock with this bird. The other birds were not vocalizing nearly as much. There did not appear to be any predators in the area. Recording Time: 1400 (UTC -4). Temperature 13C.  Habitat: mixed deciduous woods. Distance to sound source: 4-9 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623. Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave.",,Poecile carolinensis,carchi,Species,21836,,5.00,4,,,
288407931,Audio,Carolina Chickadee,Poecile carolinensis,Dryobates pubescens -- Downy Woodpecker,Ryan O'Donnell,2020-12-10,2020,12,10,732,United States,US-AR-113,Arkansas,Polk,Campsite in Ouachita Mountains 9-10Dec2020,34.4337950,-93.9677080,,Call,Unspecified,,,,,Olympus LS-10,Wildtronics Professional Mono-Stereo Parabolic Microphone,,,S77335492,,,,,,Poecile carolinensis,carchi,Species,21836,,4.75,4,,,
67149831,Audio,Carolina Chickadee,Poecile carolinensis,,Darrell Peterson,2017-08-27,2017,8,27,700,United States,US-VA-145,Virginia,Powhatan,powatan wma  powerline trail,37.5470000,-77.9710000,Unknown,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S38849468,,,,,This Carolina chickadee has an unusual call,Poecile carolinensis,carchi,Species,21836,,4.75,4,,,
89100571,Audio,Carolina Chickadee,Poecile carolinensis,,David Gibson,2018-03-09,2018,3,9,1115,United States,US-VA-550,Virginia,Chesapeake,Gibson home,36.8005509,-76.2681577,,Call,Not Used,,,,,Tascam DR-05,Polsen SCL-1075 shotgun,windscreens,,S43520594,,,,,Same bird produced songs and calls. A nice wide spectrum of sounds!,Poecile carolinensis,carchi,Species,21836,,4.40,5,,,
41694461,Audio,Carolina Chickadee,Poecile carolinensis,,Colin Sumrall,2016-12-03,2016,12,3,750,United States,US-TN-093,Tennessee,Knox,Melton Hill Park,35.9511223,-84.2392109,Adult,Call,Not Used,,,,,Tascam DR-05,Audio-Technica ATR-6550,,,S32831600,,,,,,Poecile carolinensis,carchi,Species,21836,,3.67,12,,,
356123491,Audio,Carolina Chickadee,Poecile carolinensis,,Jason Vassallo,2021-07-12,2021,7,12,930,United States,US-IL-119,Illinois,Madison,Horseshoe Lake State Park,38.7039503,-90.0724398,,Call,Unspecified,,,,,,,,,S91653510,,,,,Regular here,Poecile carolinensis,carchi,Species,21836,,4.50,4,,,
292118321,Audio,Carolina Chickadee,Poecile carolinensis,,Matt Wistrand,2020-12-27,2020,12,27,734,United States,US-OH-003,Ohio,Allen,Kendrick Woods State Nature Preserve,40.7530109,-84.3238751,Unknown – 1,Call; Foraging or Eating,Not Used,,,,,,,,,S78174068,,,,Two cuts from the same individual foraging in a pine at the parking lot about 15-20ft above ground.,Exact count,Poecile carolinensis,carchi,Species,21836,,4.50,4,,,
617995262,Audio,Carolina Chickadee,Poecile carolinensis,,Julia Plummer,2024-04-26,2024,4,26,733,United States,US-PA-057,Pennsylvania,Fulton,Meadow Grounds Lake,39.9124239,-78.0550865,,Call,Not Used,,,,,Mixpre3-ii,Sennheiser ME62,"Tellinga 22"" Parabola",,S170337075,,,,,,Poecile carolinensis,carchi,Species,21836,,4.67,3,,,
354647421,Audio,Carolina Chickadee,Poecile carolinensis,,Jonathan Layman,2021-07-01,2021,7,1,859,United States,US-MS-047,Mississippi,Harrison,Camp Wilkes (Restricted Access),30.4247020,-88.9671870,,Call,Not Used,,,,,IPhone 5SE,,,,S91064419,,,,,,Poecile carolinensis,carchi,Species,21836,,4.67,3,,,
150967531,Audio,Carolina Chickadee,Poecile carolinensis,,Guy McGrane,2019-04-13,2019,4,13,900,United States,US-NC-189,North Carolina,Watauga,Blue Ridge Pkwy--US421/MST/Ben Miller area,36.2283221,-81.5000153,,Call,Not Used,,,,,,,,,S54906855,,,,Nice example of the chick-a-dee-dee-dee-dee calls typical for this area.,,Poecile carolinensis,carchi,Species,21836,,4.67,3,,,
539647,Audio,Carolina Chickadee,Poecile carolinensis,,Wil Hershberger,2018-04-25,2018,4,25,938,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5751881,-78.0568421,Adult Male – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH 8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,13.9,,"Adult ""male"" Carolina Chickadee giving calls and gargle calls. Second cut is a gargle call. Equipment Notes: SD 702 HPF on (80Hz, -12dB/octave).",,Poecile carolinensis,carchi,Species,21836,,4.00,4,,,
31096701,Audio,Carolina Chickadee,Poecile carolinensis,,Brian Henderson,2016-02-14,2016,2,14,1356,United States,US-PA-091,Pennsylvania,Montgomery,Upper Schuylkill Valley Park,40.1617888,-75.5080368,,Call,Not Used,,,,,Canon Powershot SX60,,,,S27544019,,,,,,Poecile carolinensis,carchi,Species,21836,,3.45,11,,,
