ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
534357,Audio,Cerulean Warbler,Setophaga cerulea,,Wil Hershberger,2017-05-17,2017,5,17,617,United States,US-WV-003,West Virginia,Berkeley,4.3 km WNW of Jones Spring,39.4789203,-77.7432704,Adult Female – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 62,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,17.0,,"Female Cerulean Warbler giving call notes from deciduous tree within the territory of a male Cerulean Warble recorded in cut 534355 and 534356. Equipment Notes: SD 702 HPF on at 80Hz, -12dB/octave.",,Setophaga cerulea,cerwar,Species,33782,,5.00,11,,,
92006141,Audio,Cerulean Warbler,Setophaga cerulea,,Garrett MacDonald,2017-06-27,2017,6,27,635,United States,US-IN-013,Indiana,Brown,Yellowwood SF--Lucas Hollow (HEE Unit 8),39.1051424,-86.3298563,,Call,Not Used,,,,,iPhone 6,,RODE Rec app,,S37830372,,,,Calls from a close adult female while attempting to mist-net her.,,Setophaga cerulea,cerwar,Species,33782,,4.00,3,,,
147605121,Audio,Cerulean Warbler,Setophaga cerulea,,Garrett MacDonald,2017-07-02,2017,7,2,635,United States,US-IN-013,Indiana,Brown,Yellowwood SF--Lucas Hollow (HEE Unit 8),39.1051424,-86.3298563,,Call,Not Used,,,,,Marantz PMD 661 MKIII,Sennheiser ME 62,"Telinga 22"" parabola",,S37932996,,,,Calls from a fledgling.,,Setophaga cerulea,cerwar,Species,33782,,4.50,2,,,
104485411,Audio,Cerulean Warbler,Setophaga cerulea,,Bates Estabrooks,2018-06-15,2018,6,15,637,United States,US-TN-013,Tennessee,Campbell,Cross Mountain--Tower Rd.--Grissel Branch Bowl,36.2973432,-84.2659307,Adult Female,Call,Not Used,,,,,Zoom H4N Pro,,,,S46563650,,,,,,Setophaga cerulea,cerwar,Species,33782,,4.50,2,,,
238243561,Audio,Cerulean Warbler,Setophaga cerulea,Sitta carolinensis carolinensis -- White-breasted Nuthatch (Eastern); Myiarchus crinitus -- Great Crested Flycatcher; Setophaga petechia [aestiva Group] -- Yellow Warbler (Northern); Pheucticus ludovicianus -- Rose-breasted Grosbeak; Cyanocitta cristata -- Blue Jay; Spinus tristis -- American Goldfinch,Jay McGowan,2020-05-24,2020,5,24,1242,United States,US-NY-117,New York,Wayne,Montezuma NWR--Van Dyne Spoor Rd.,43.0489452,-76.7335796,Adult Male – 1,Call; Flight Call; Foraging or Eating,Not Used,,,,,,,,,S69575030,,,,"Various flight calls (and some closer to chip calls?) from a male foraging and coming in to mob tape. A few very soft, hesitant songs as well (2:14-2:30).",,Setophaga cerulea,cerwar,Species,33782,,4.00,2,,,
147599331,Audio,Cerulean Warbler,Setophaga cerulea,,Garrett MacDonald,2017-06-24,2017,6,24,935,United States,US-IN-105,Indiana,Monroe,HEE--Unit 4,39.3005649,-86.4212465,Adult Female,Call,Not Used,,,,,Marantz PMD 661 MKIII,Sennheiser ME 62,"Telinga 22"" parabola",,S37852740,,,,Calling near nest.,,Setophaga cerulea,cerwar,Species,33782,,4.00,2,,,
100810931,Audio,Cerulean Warbler,Setophaga cerulea,,Garrett MacDonald,2018-05-18,2018,5,18,1157,United States,US-IN-135,Indiana,Randolph,McVey Memorial Forest,40.2687533,-85.1458240,Adult Male,Call,Used,,,,,Marantz PMD 661 MKIII,Sennheiser ME 62,"Telinga 22"" parabola",,S45796456,,,,Zeet call.,"Audio recorded at 40.265686,-85.141667.",Setophaga cerulea,cerwar,Species,33782,,4.00,2,,,
61485371,Audio,Cerulean Warbler,Setophaga cerulea,,Dave Slager,2017-06-17,2017,6,17,656,United States,US-NY-011,New York,Cayuga,Montezuma (NMWMA)--Howland Island,43.0793100,-76.6744200,Adult Female,Call,Not Used,,,,,Marantz PMD661,Sennheiser ME62,"Telinga 22"" Parabola",,S37685612,,,,"Natural chip notes from seen adult female in deciduous forest upper understory at 9:11am. The following cuts are all different individuals: ML61485141,ML61485371,ML61485601,ML61485691. Highpass filter 100 Hz in Adobe Audition.",,Setophaga cerulea,cerwar,Species,33782,,3.50,2,,,
216847,Audio,Cerulean Warbler,Setophaga cerulea,Vireo flavifrons -- Yellow-throated Vireo; Helmitheros vermivorum -- Worm-eating Warbler,Bob McGuire,2016-05-06,2016,5,6,1005,United States,US-WV-065,West Virginia,Morgan,Eidolon Nature Preserve,39.6117900,-78.3421200,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,,,Setophaga cerulea,cerwar,Species,33782,,3.00,4,,,
619032287,Audio,Cerulean Warbler,Setophaga cerulea,Vireo olivaceus -- Red-eyed Vireo; Seiurus aurocapilla -- Ovenbird,Joe Donahue,2024-05-12,2024,5,12,952,United States,US-VA-019,Virginia,Bedford,Radar Road,37.5148491,-79.5087433,Adult Male – 1,Call,Unspecified,,,,,Iphone 13,,,,S174147535,,,,,,Setophaga cerulea,cerwar,Species,33782,,4.00,1,,,
365638771,Audio,Cerulean Warbler,Setophaga cerulea,,David Garrigues,2021-08-29,2021,8,29,1603,Costa Rica,CR-A,Alajuela,,"Calle Flores, Casa De Tito",9.9808421,-84.1933648,Adult Female – 1,Call; Foraging or Eating,Unspecified,,,,,Telefono,,,,S93916327,,,,,"Un hembra, sigue en el higueron.",Setophaga cerulea,cerwar,Species,33782,,3.00,2,,,
