ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
48407991,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Jay McGowan,2017-01-27,2017,1,27,536,Costa Rica,CR-C,Cartago,,PN Tapanti--Sector Tapanti,9.7590273,-83.7838937,Unknown – 1,Call,Not Used,,,,,Marantz PMD 661,Telinga Pro 6,"Telinga 22"" Parabola",,S33974322,,,,,,Setophaga pensylvanica,chswar,Species,33849,,4.33,3,,,
48158111,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,Polyerata decora -- Charming Hummingbird,Jay McGowan,2017-01-22,2017,1,22,507,Costa Rica,CR-P,Puntarenas,,Bosque del Rio Tigre Lodge,8.5211100,-83.3999100,,Call,Not Used,,,,,Marantz PMD 661,Telinga Pro 6,"Telinga 22"" Parabola",,S33916805,,,,,,Setophaga pensylvanica,chswar,Species,33849,,4.33,3,,,
594149501,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Réjean Deschênes,2022-08-15,2022,8,15,656,Canada,CA-QC-AO,Quebec,Abitibi-Ouest,"Saint-Laurent de Gallichan, Rang 10 et 1e de Gallichan.",48.5745911,-79.2605853,Juvenile – 1,Call; Foraging or Eating,Unspecified,,,,,H4nPro,,,,S116966707,,,,Magnifique séance de quémandage d'une jeune paruline à flancs marrons. Je devinais l'adulte au loin chassant des insectes pour sa progéniture et suscitant l'excitation du juvénile encore dépendant.,,Setophaga pensylvanica,chswar,Species,33849,,5.00,2,,,
454116051,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,Geothlypis formosa -- Kentucky Warbler; Seiurus aurocapilla -- Ovenbird,Brad Walker,2022-05-28,2022,5,28,739,United States,US-NY-017,New York,Chenango,Beaver Meadow SF - Gibson Taylor Road,42.6987934,-75.6653946,,Call; Flight Call,Not Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S111510460,,,,,,Setophaga pensylvanica,chswar,Species,33849,,5.00,2,,,
244836581,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Chris Wood,2020-06-21,2020,6,21,833,United States,US-NY-017,New York,Chenango,"Chestnut Rd (42.4857,-75.7277)",42.4857080,-75.7276760,Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono,"Wildtronics 22"" parabola",,S70670354,,,,"Calls from an adult female CSWA which was from 6 - 15 feet away. Sounded oddly like Canada Warbler, which was in the same area and previously interacting with it. Calls oddly low frequency and without the rising portion, often present on CSWA. Bird seen during entire recording, and CAWA had flown to other side of road.",,Setophaga pensylvanica,chswar,Species,33849,,5.00,2,,,
107347801,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Mario Gervais,2018-07-12,2018,7,12,1630,Canada,CA-QC-TM,Quebec,Témiscamingue,Lorrainville - secteur Pont 50 (ancienne voie ferrée),47.3141507,-79.3420172,Adult,Call,Not Used,,,,,Olympus LS-10,,,,S47158191,,,,,,Setophaga pensylvanica,chswar,Species,33849,,5.00,2,,,
63345551,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Malinda Chapman,2017-07-09,2017,7,9,620,United States,US-NY-031,New York,Essex,Boreas Ponds inner gate,43.9810160,-73.9009540,Adult Male,Call,Not Used,,,,,Roland R-26,"wildtronics pro parabolicmicrophone,mono, amplified","wildtronics 22 in parabola,",,S38055719,,,,"annoyed male in tree on edge of road, 4 meters away, visible",,Setophaga pensylvanica,chswar,Species,33849,,5.00,2,,,
28162681,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Manuel Olivier Grosselet,2016-05-03,2016,5,3,600,Mexico,MX-VER-112,Veracruz,Minatitlán,MEX - Veracruz- MInatitlan - Pantano de Santa Alejandrin,17.9753586,-94.5084686,Immature Male,Call,Not Used,,,,,dr 05,wildtronics mono amplified,studio,,S29408379,,,,,,Setophaga pensylvanica,chswar,Species,33849,,3.75,4,,,
239773431,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Brad Walker,2020-05-30,2020,5,30,705,United States,US-NY-109,New York,Tompkins,Arnot Forest--Plots at Irish Hill and Morrell Rds,42.2930453,-76.6550678,Adult Female – 1,Call,Not Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S69846238,,,,,Singing everywhere all throughout the trails,Setophaga pensylvanica,chswar,Species,33849,,3.67,3,,,
198744011,Audio,Chestnut-sided Warbler,Setophaga pensylvanica,,Jay McGowan,2019-12-28,2019,12,28,652,Panama,PA-8,Panamá,,Parque Natural Metropolitano,8.9949993,-79.5459294,Unknown – 1,Call,Unspecified,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S62715067,,,,,,Setophaga pensylvanica,chswar,Species,33849,,3.67,3,,,
