ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
616022769,Audio,Common Grackle,Quiscalus quiscula,Setophaga ruticilla -- American Redstart,Kalin Ocaña,2023-06-08,2023,6,8,1511,Canada,CA-BC-EK,British Columbia,East Kootenay,Fernie - Annex Park,49.5127187,-115.0690944,,Call,Unspecified,,,,,,,,,S140927307,,,,,,Quiscalus quiscula,comgra,Species,33576,,4.89,9,,,
92475641,Audio,Common Grackle,Quiscalus quiscula,,Paul Marvin,2018-04-01,2018,4,1,816,United States,US-FL-009,Florida,Brevard,Jimmy Moore Park,28.1202267,-80.6701355,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S44161766,,,,ten in tree,,Quiscalus quiscula,comgra,Species,33576,,5.00,6,,,
103920231,Audio,Common Grackle,Quiscalus quiscula,,David McQuade,2018-06-10,2018,6,10,625,United States,US-FL-071,Florida,Lee,Dave and Tammy's House (Restricted Access),26.5734690,-81.8406080,,Call,Unspecified,,,,,Marantz PMD 661,Sennheisser ME62,Telinga Parabola,,S46438640,,,,Chack Calls 7:00a grackles were at the feeder,,Quiscalus quiscula,comgra,Species,33576,,4.67,6,,,
224879931,Audio,Common Grackle,Quiscalus quiscula,Sturnus vulgaris -- European Starling; Sphyrapicus varius -- Yellow-bellied Sapsucker,Matthew D. Medler,2020-04-05,2020,4,5,1114,United States,US-NY-099,New York,Seneca,Finger Lakes NF--Horton Pasture and Interloken Trail,42.5446280,-76.7996150,Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3,Telinga Pro 6,"Telinga 22"" Parabola",,S66844324,,,,Recorded at 1135.,,Quiscalus quiscula,comgra,Species,33576,,4.43,7,,,
308759071,Audio,Common Grackle,Quiscalus quiscula,,James (Jim) Holmes,2021-02-17,2021,2,17,854,United States,US-AL-113,Alabama,Russell,Gum Pond,32.4094904,-85.0012029,Adult Male – 1,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S81799435,,,,,,Quiscalus quiscula,comgra,Species,33576,,4.80,5,,,
41855371,Audio,Common Grackle,Quiscalus quiscula,,Paul Marvin,2016-12-05,2016,12,5,620,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S32876138,,,,it's making a few different types of calls,,Quiscalus quiscula,comgra,Species,33576,,4.75,4,,,
312668391,Audio,Common Grackle,Quiscalus quiscula,Zenaida macroura -- Mourning Dove; Turdus migratorius -- American Robin; Thryothorus ludovicianus -- Carolina Wren; Dryobates pubescens -- Downy Woodpecker,James Davis,2021-03-01,2021,3,1,1104,United States,US-TN-165,Tennessee,Sumner,131 Bradford Circle,36.3078742,-86.5820038,Adult – 2,Call,Not Used,,,,,Tascam DR-100 Mk III,,,,S82576893,,,,,,Quiscalus quiscula,comgra,Species,33576,,4.20,5,,,
168713851,Audio,Common Grackle,Quiscalus quiscula,,Frank Pinilla,2019-04-16,2019,4,16,1355,Canada,CA-ON-YO,Ontario,York,Richmond Hill--Pinilla's Home,43.9266513,-79.4589139,Adult Male,Call,Not Used,,,,,iPhone 8,,,,S55024965,,,,Adult male Common Grackle calling near feeder in backyard,,Quiscalus quiscula,comgra,Species,33576,,4.50,4,,,
167925311,Audio,Common Grackle,Quiscalus quiscula,,Parker Davis,2019-06-08,2019,6,8,1805,United States,US-ME-031,Maine,York,Stratton Island,43.5046746,-70.3116417,Adult,Call,Not Used,,,,,Zoom H5,Telinga MK2,"22"" Parabola",,S58123551,,,,Recorded at 6:05pm. Multiple COGRs seemed upset with my presence. They likely had nests nearby.,,Quiscalus quiscula,comgra,Species,33576,,4.50,4,,,
103920201,Audio,Common Grackle,Quiscalus quiscula,,David McQuade,2018-06-10,2018,6,10,625,United States,US-FL-071,Florida,Lee,Dave and Tammy's House (Restricted Access),26.5734690,-81.8406080,,Call,Unspecified,,,,,Marantz PMD 661,,Telinga Parabola,,S46438640,,,,Chack calls 7:01am grackles were at the feeder,,Quiscalus quiscula,comgra,Species,33576,,4.50,4,,,
