ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
171116531,Audio,Common Yellowthroat,Geothlypis trichas,,Brad Walker,2019-08-04,2019,8,4,856,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Female – 1,Call,Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S58735124,,,,Carrying a caterpillar in first segment. Seemed to be right near a nest. ,,Geothlypis trichas,comyel,Species,33749,,4.40,5,,,
610585083,Audio,Common Yellowthroat,Geothlypis trichas,,Gavin Aquila,2023-10-30,2023,10,30,1723,United States,US-CA-073,California,San Diego,South Lake Park,33.1158550,-117.1651930,,Call,Unspecified,,,,,Zoom F3 ,Wildtronics Pro Mono,Wildtronics Standard 22” Parabola,,S153445344,,,,,,Geothlypis trichas,comyel,Species,33749,,5.00,3,,,
279941841,Audio,Common Yellowthroat,Geothlypis trichas,,Brad Walker,2020-08-26,2020,8,26,719,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Adult Male – 1,Call,Not Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S72833150,,,,,,Geothlypis trichas,comyel,Species,33749,,4.67,3,,,
65103171,Audio,Common Yellowthroat,Geothlypis trichas,,Glen Chapman,2017-07-30,2017,7,30,651,United States,US-NY-031,New York,Essex,Connery Pond,44.3094170,-73.9368170,,Call,Not Used,,,,,Roland R-26,"Wildtronics pro parabolic microphone, mono, amplified",Wildtronics 22 inch Parabola,,S38435094,,,,This Yellowthroat was alarming from the edge of Tom Peck Pond.  ID by sound.,,Geothlypis trichas,comyel,Species,33749,,4.67,3,,,
29905601,Audio,Common Yellowthroat,Geothlypis trichas,,Jay McGowan,2016-06-03,2016,6,3,735,United States,US-NY-011,New York,Cayuga,Summerhill SF--Hoag Ave. (Townline to Lick),42.6656022,-76.3560855,Adult Male,Call,Not Used,,,,,Marantz PMD 661,Telinga Pro 8,"Telinga 22"" Parabola",,S30052840,,,,Calls from a male after pishing.,,Geothlypis trichas,comyel,Species,33749,,4.67,3,,,
205640,Audio,Common Yellowthroat,Geothlypis trichas,,Brad Walker,2015-08-30,2015,8,30,826,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Unknown – 1,Call,Used,,,,,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S24816259,,,,Equipment Notes: Telinga filter enabled.,,Geothlypis trichas,comyel,Species,33749,,4.00,4,,,
205634,Audio,Common Yellowthroat,Geothlypis trichas,Cyanocitta cristata -- Blue Jay; Poecile atricapillus -- Black-capped Chickadee,Brad Walker,2015-08-30,2015,8,30,740,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Unknown – 1,Call,Not Used,,,,,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S24816259,,,,Equipment Notes: Telinga filter enabled.,,Geothlypis trichas,comyel,Species,33749,,4.00,4,,,
204560,Audio,Common Yellowthroat,Geothlypis trichas,Dumetella carolinensis -- Gray Catbird,Sean Holt,2015-07-17,2015,7,17,703,United States,US-NY-109,New York,Tompkins,Hammond Hill SF,42.4370524,-76.3054503,Adult – 1; Unknown – 1,Call,Used,,,,,Roland R-26,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,,,Geothlypis trichas,comyel,Species,33749,,4.00,4,,,
202236,Audio,Common Yellowthroat,Geothlypis trichas,,Jay McGowan,2015-06-07,2015,6,7,637,United States,US-NY-097,New York,Schuyler,Arnot Forest--Banfield Rd.,42.2765710,-76.6435840,Adult Male – 1,Call,Used,,,,,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S23811572,,,,Typical call notes. Equipment Notes: Telinga filter engaged.,,Geothlypis trichas,comyel,Species,33749,,4.00,4,,,
534425,Audio,Common Yellowthroat,Geothlypis trichas,,Wil Hershberger,2017-06-18,2017,6,18,550,United States,US-MD-043,Maryland,Washington,7.0 km NNW of Clear Spring,39.7193271,-77.9377520,Adult Male – 1; Immature – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 62,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,20.0,,"Immature Common Yellowthroat begging food from adult male. Very quiet vocalizations. Other Behaviors: Beg. Equipment Notes: SD 702 HPF on at 80 Hz, -12 dB/octave.",,Geothlypis trichas,comyel,Species,33749,,3.50,10,,,
349979221,Audio,Common Yellowthroat,Geothlypis trichas,Melospiza melodia -- Song Sparrow; Vireo gilvus -- Warbling Vireo,Magdalena Z,2021-06-24,2021,6,24,554,Canada,CA-ON-WL,Ontario,Wellington,"Centre Wellington, Ontario, CA (43.647, -80.45)",43.6468824,-80.4497728,Adult – 1,Call,Not Used,,,,,LS11 Olympus,wildtronics mono-stereo,"22"" parabola",,S90690475,,,,,,Geothlypis trichas,comyel,Species,33749,,4.25,4,,,
76303361,Audio,Common Yellowthroat,Geothlypis trichas,,Paul Marvin,2017-11-25,2017,11,25,645,United States,US-FL-009,Florida,Brevard,Merritt Island NWR--Black Point Wildlife Drive,28.6575241,-80.7545391,Female,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S40722231,,,,,,Geothlypis trichas,comyel,Species,33749,,4.33,3,,,
172684001,Audio,Common Yellowthroat,Geothlypis trichas,,Isain Contreras,2019-08-15,2019,8,15,610,Mexico,MX-SIN-001,Sinaloa,Ahome,Plot gpo1,25.6179170,-109.0363752,Juvenile,Call,Not Used,,,,,motog5 plus,,recforge ll,,S59020903,,,,,,Geothlypis trichas,comyel,Species,33749,,4.00,4,,,
627040679,Audio,Common Yellowthroat,Geothlypis trichas,,D Krajnovich,2024-12-02,2024,12,2,730,United States,US-CA-047,California,Merced,Lake Yosemite Co. Park,37.3712500,-120.4286700,Adult Male – 1,Call,Unspecified,,,,,,,,,S204346049,,,,,male,Geothlypis trichas,comyel,Species,33749,,5.00,2,,,
611343075,Audio,Common Yellowthroat,Geothlypis trichas,Zonotrichia albicollis -- White-throated Sparrow,James (Jim) Holmes,2023-11-19,2023,11,19,648,United States,US-AL-087,Alabama,Macon,Tuskegee NF--Beaver ponds,32.4343815,-85.6457233,Adult Male – 1,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S154786085,,,,,male at the dry beaver pond,Geothlypis trichas,comyel,Species,33749,,5.00,2,,,
