ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
178324541,Audio,Connecticut Warbler,Oporornis agilis,,Ross Gallardy,2019-09-22,2019,9,22,627,United States,US-PA-075,Pennsylvania,Lebanon,Swatara SP (Lebanon Co.),40.4830780,-76.5457200,,Call,Unspecified,,,,,,,,,S60022843,,,,,2 seen at 0625 from the parking lot. One actually walking around at the edge of the lot for 5 min! And then another near one of the islands in the soy beans. TG had another so at least four around but probably more.,Oporornis agilis,conwar,Species,33714,,4.60,10,,,
178324571,Audio,Connecticut Warbler,Oporornis agilis,,Ross Gallardy,2019-09-22,2019,9,22,627,United States,US-PA-075,Pennsylvania,Lebanon,Swatara SP (Lebanon Co.),40.4830780,-76.5457200,,Call,Unspecified,,,,,,,,,S60022843,,,,,2 seen at 0625 from the parking lot. One actually walking around at the edge of the lot for 5 min! And then another near one of the islands in the soy beans. TG had another so at least four around but probably more.,Oporornis agilis,conwar,Species,33714,,4.00,6,,,
368804961,Audio,Connecticut Warbler,Oporornis agilis,,Jon Skinner,2021-09-12,2021,9,12,840,United States,US-MA-017,Massachusetts,Middlesex,Fitch's Bridge Rd.,42.6246780,-71.6008640,,Call,Unspecified,,,,,,,,,S94556814,,,,,"brief but great look. strong white eyering, gray head, yellow below. had two birds calling while I observed the 3rd. great find by Scott!",Oporornis agilis,conwar,Species,33714,,4.00,7,,,
179275781,Audio,Connecticut Warbler,Oporornis agilis,,Neil Dowling,2019-09-28,2019,9,28,725,United States,US-MA-027,Massachusetts,Worcester,Westboro WMA,42.2955958,-71.6157532,,Call,Unspecified,,,,,ipnone 8 ,,,,S60174220,,,,,One in stone pile field the other on the south side of golf course field.,Oporornis agilis,conwar,Species,33714,,3.67,6,,,
370422271,Audio,Connecticut Warbler,Oporornis agilis,,Tim Lenz,2021-09-18,2021,9,18,741,United States,US-NY-013,New York,Chautauqua,Lake Erie SP,42.4220913,-79.4281205,,Call,Used,,,,,Pixel 4,,,,S94814852,,,,Bird responded to playback of call in good looking habitat.,"&#x1f534; Chautauqua County bird #249! Calling in dense shrubs along trail at the NE end of the park. Big warbler with gray head and complete white eye ring, walking along branches. Photos and audio.",Oporornis agilis,conwar,Species,33714,,4.00,4,,,
179758291,Audio,Connecticut Warbler,Oporornis agilis,,Larry Therrien,2019-09-30,2019,9,30,610,United States,US-MA-015,Massachusetts,Hampshire,Silvio O. Conte NWR--Fort River Division,42.3396249,-72.5598264,,Call,Not Used,,,,,,,,,S60233466,,,,,"Unusual, recording and marginal photos, immature bird",Oporornis agilis,conwar,Species,33714,,4.00,3,,,
523598631,Audio,Connecticut Warbler,Oporornis agilis,,Daniel Irons,2021-09-19,2021,9,19,1458,United States,US-MD-029,Maryland,Kent,Eastern Neck National Wildlife Refuge,39.0347918,-76.2258053,,Call,Unspecified,,,,,,,,,S94914281,,,,,In the same spot Jonathan had it this morning. Photos and recordings,Oporornis agilis,conwar,Species,33714,,4.50,2,,,
488782961,Audio,Connecticut Warbler,Oporornis agilis,,Jay McGowan,2022-09-29,2022,9,29,749,United States,US-NY-109,New York,Tompkins,Cornell Research Ponds Unit II (restricted access),42.5034956,-76.4374457,Immature – 1,Call,Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S119640734,,,,Chips from an immature coming in to mob tape. Later segments in response to CONW call notes.,"*Rare migrant. Immature at NE corner of woods, calling then seen. Photos.  Reminder: restricted area, do not access without permission from ponds manager Benj Sterrett.",Oporornis agilis,conwar,Species,33714,,4.50,2,,,
485885371,Audio,Connecticut Warbler,Oporornis agilis,Cyanocitta cristata -- Blue Jay,Eric M. Hall,2022-09-20,2022,9,20,700,United States,US-PA-129,Pennsylvania,Westmoreland,Pleasant Valley Park,40.4104511,-79.6893284,Immature – 2,Call,Not Used,,,,,iPhone,,,,S119085254,,,,"Two birds chipping, within 30 meters of each other.","Two birds travelling together, calling back and forth. First seen in forest bordering meadow of goldenrod, off Hank's Trail. Single bird seen later, in overgrown hedgerow along ""Farm Road"" (other side of meadow), may have been one of earlier two birds.",Oporornis agilis,conwar,Species,33714,,4.50,2,,,
487343261,Audio,Connecticut Warbler,Oporornis agilis,,Norman Levey,2022-09-25,2022,9,25,855,United States,US-MA-017,Massachusetts,Middlesex,St. Anne's Marsh and Meadow (Lincoln),42.4205553,-71.3406900,,Call; Foraging or Eating,Unspecified,,,,,Sony PCM-D100,integrated stereo pair,wind suppression,,S119397389,,,,,"Reliable in this spot every early Fall and findable if I put in the effort and get the timing right. Bird stayed in and foraged in thicket; photo impossible. Partially obscured views of active bird showed unmarked tripartite coloring: olive on dorsal, darker full hood blending to conspicuous dull yellow undersides. Illusion of long body and short tail (extended undertail coverts). Decent audio of chip notes despite prominent Eastern chipmunk.",Oporornis agilis,conwar,Species,33714,,3.67,3,,,
374040341,Audio,Connecticut Warbler,Oporornis agilis,,Jack Jerrild,2021-10-01,2021,10,1,705,United States,US-CT-001,Connecticut,Fairfield,Trout Brook Valley Conservation Area,41.2529034,-73.3398342,Adult Male – 1,Call,Unspecified,,,,,,,,,S95429742,,,,,Flushed practically from between my legs into the corn patch. Adult male.,Oporornis agilis,conwar,Species,33714,,3.67,3,,,
370174601,Audio,Connecticut Warbler,Oporornis agilis,,Jeremy Nance,2021-09-17,2021,9,17,714,United States,US-CT-001,Connecticut,Fairfield,Trout Brook Valley Conservation Area,41.2529034,-73.3398342,,Call,Unspecified,,,,,,,,,S94771378,,,,,"FOY. northern hedgerow in orchard, adjacent to pumpkin patch overgrown with mugwort. heard blackpoll-like ‘zeep’ flight call then it popped up for 15 seconds and called a few times before diving back into brushy hedgerow. exactly the same spot where one hung out for several days in mid-September 2016.",Oporornis agilis,conwar,Species,33714,,3.67,3,,,
451755491,Audio,Connecticut Warbler,Oporornis agilis,,Skye Haas,2022-05-21,2022,5,21,1121,United States,US-MI-041,Michigan,Delta,Peninsula Point,45.6704443,-86.9660568,,Call,Unspecified,,,,,,,,,S110885757,,,,,,Oporornis agilis,conwar,Species,33714,,4.00,2,,,
