ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
274370831,Audio,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,,Brad Walker,2020-10-25,2020,10,25,934,United States,US-NY-109,New York,Tompkins,Arnot Forest--Plots at Irish Hill and Morrell Rds,42.2930453,-76.6550678,Adult Male – 1,Call,Not Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S75388404,,,,,,Junco hyemalis,slcjun,Group,32844,,5.00,5,,,
126648381,Audio,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,,Jay McGowan,2018-10-30,2018,10,30,759,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Adult Male,Call,Used,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S49557298,,,,Chip calls from an apparent male after mob tape.,,Junco hyemalis,slcjun,Group,32844,,4.60,5,,,
613662164,Audio,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,,Ethan Kang,2024-01-17,2024,1,17,1454,United States,US-PA-045,Pennsylvania,Delaware,Greycar Rion Memorial Refuge (my yard) [GRMR-BY],39.8488116,-75.5180149,,Call,Unspecified,,,,,,,,,S159159654,,,,,,Junco hyemalis,slcjun,Group,32844,,5.00,3,,,
454326541,Audio,Dark-eyed Junco,Junco hyemalis,,Ben Newhouse,2022-05-21,2022,5,21,650,United States,US-CA-037,California,Los Angeles,Angeles NF--Buckhorn Campground,34.3457038,-117.9152620,,Call,Unspecified,,,,,H1 Zoom,MKE600 ,Foam windscreen,,S110896476,,,,,Call: Short crisp call given repeatedly. Pitch ranges from 2k to 20k.,Junco hyemalis,daejun,Species,32842,,5.00,3,,,
418968001,Audio,Dark-eyed Junco,Junco hyemalis,Spinus tristis -- American Goldfinch; Sitta carolinensis -- White-breasted Nuthatch; Cyanocitta cristata -- Blue Jay; Corvus brachyrhynchos -- American Crow; Zenaida macroura -- Mourning Dove,Daniel Jauvin,2022-02-19,2022,2,19,1039,Canada,CA-QC-NY,Quebec,Nicolet-Yamaska,SAINT-FRANCOIS-DU-LAC - Ma cour - Rg Grande-Terre,46.0735507,-72.8447306,Adult – 8,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre-3 II,Sennheiser ME 66 - K6 unt,RØDE BLIMP-R Microphone with Rycote LYRE Mount,,S103203487,,,,"Plusieurs types de cris donnés aux mangeoires. Le plus commun (tew-tew-tew calls): ""tiou-tiou-tiou"" variés (Ex: 0:01, 0:30). Des trilles de fréquence rapide mais brèves (Ex: 0:03, 0:22, 0:33, 0:40, 1:23, 1:30). Un cri bourdonnant: ""ziiiiiii"" (Ex: 0:12 à 0:20, 2:14 à 2:19). Des chips: ""tik tik"" (Ex: 0:07, 1:12, 2:05).","Plusieurs types de cris donnés aux mangeoires. Le plus commun (tew-tew-tew calls): ""tiou-tiou-tiou"". Des trilles de fréquence rapide mais brèves. Un cri bourdonnant: ""ziiiiiii"". Des chips: ""tik tik"".",Junco hyemalis,daejun,Species,32842,,5.00,3,,,
249566231,Audio,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,,Julia Plummer,2020-07-14,2020,7,14,707,United States,US-PA-123,Pennsylvania,Warren,Allegheny NF--Hearts Content Recreation Area,41.6917040,-79.2521532,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,Zoom F1,SGH-6,,,S71499627,,,,,,Junco hyemalis,slcjun,Group,32844,,4.67,3,,,
103365551,Audio,Dark-eyed Junco,Junco hyemalis,,Martha Fischer,2018-05-27,2018,5,27,1830,United States,US-NY-109,New York,Tompkins,Carter Creek 1,42.3583962,-76.6543525,Adult,Call,Not Used,,,,,Sound Devices MixPre 3,Telinga Pro 8,Telinga parabola,,S46326283,,,,,,Junco hyemalis,daejun,Species,32842,,4.67,3,,,
29905611,Audio,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,,Jay McGowan,2016-06-03,2016,6,3,735,United States,US-NY-011,New York,Cayuga,Summerhill SF--Hoag Ave. (Townline to Lick),42.6656022,-76.3560855,Adult,Call,Not Used,,,,,Marantz PMD 661,Telinga Pro 8,"Telinga 22"" Parabola",,S30052840,,,,"Calls from a pair, probably mostly from the female, apparently near nest or most likely fledglings.",,Junco hyemalis,slcjun,Group,32844,,4.67,3,,,
306067,Audio,Dark-eyed Junco,Junco hyemalis,,Wil Hershberger,2020-03-12,2020,3,12,1333,United States,US-WV-003,West Virginia,Berkeley,Wood Song,39.5749560,-78.0544680,Adult Male – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH 8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,"Behavior and other notes: A male Dark-eyed Junco giving quiet, warbling vocalizations and smack calls while perched in a Virginia Pine. Recording Time: 1333 (UTC -5).  Temperature 17.7C.  Habitat: mixed deciduous woods.  Distance to sound source: 8.5 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_20T0046_Dark-eyed Junco male giving warbling vocs_Berkeley Co WV_ML.wav",,Junco hyemalis,daejun,Species,32842,,4.00,4,,,
410032541,Audio,Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,,Jeff Ellerbusch,2022-01-26,2022,1,26,742,United States,US-NJ-035,New Jersey,Somerset,Fairview Farm Wildlife Preserve,40.7022581,-74.6996035,,Call; Flight Call; Flying; Mechanical Sound,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S101506974,,,,"calls, flight calls, wings (birds calling in flight and briefly before taking off, prominent calls at 0:02 mark is in flight)",,Junco hyemalis,slcjun,Group,32844,,4.00,4,,,
