ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
539863,Audio,Downy Woodpecker (Eastern),Dryobates pubescens pubescens/medianus,,Wil Hershberger,2018-05-28,2018,5,28,1955,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5753659,-78.0568957,Juvenile – 3,Call,Not Used,,,,,Sound Devices MixPre-6,Sennheiser ME 66,,,,,25.0,,"Downy Woodpecker nest with young calling. Using the ME 66 with out a wind cover. Mic was on a boom and held at the nest entrance. The parents were calling from trees near the nest and the young became quiet until I placed the mic in the nest hole entrance. Equipment Notes: Recorder's HPF on (80Hz, -18dB/octave). Elevation: 176 m.",,Dryobates pubescens,dowwoo1,Group,11288,,5.00,8,,,
367769351,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2021-09-08,2021,9,8,638,United States,US-CA-073,California,San Diego,Tijuana River Valley--Bird & Butterfly Garden (Myers Ranch),32.5538589,-117.0846190,,Call,Unspecified,,,,,,,,,S94369870,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.88,8,,,
147240231,Audio,Downy Woodpecker (Eastern),Dryobates pubescens pubescens/medianus,,Brad Walker,2019-03-24,2019,3,24,843,United States,US-NY-109,New York,Tompkins,Lindsay-Parsons Biodiversity Preserve (FLLT),42.3101677,-76.5216895,Adult Male,Call; Mechanical Sound,Not Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S54170000,,,,Drumming on a dead aspen. Two other birds landed nearby and had an aggressive encounter and this bird gave a hoarser rattle (5:48).,,Dryobates pubescens,dowwoo1,Group,11288,,4.67,6,,,
100388531,Audio,Downy Woodpecker (Eastern),Dryobates pubescens pubescens/medianus,,Jay McGowan,2018-05-12,2018,5,12,1000,United States,US-NY-099,New York,Seneca,Montezuma NWR--Wildlife Drive,42.9817483,-76.7353284,Unknown,Call,Not Used,,,,,Sound Devices MixPre-3,Telinga Pro 6,"Telinga 22"" Parabola",,S45599386,,,,,,Dryobates pubescens,dowwoo1,Group,11288,,3.76,17,,,
124756741,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2018-11-22,2018,11,22,659,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S50125767,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.33,6,,,
259492221,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2020-09-01,2020,9,1,622,United States,US-CA-073,California,San Diego,"Trails west of Bird & Butterfly area (32.554, -117.089)",32.5543619,-117.0887427,,Call,Not Used,,,,,,,,,S73064484,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.75,4,,,
145058041,Audio,Downy Woodpecker,Dryobates pubescens,,Carole Swann,2019-03-12,2019,3,12,1030,United States,US-TN-149,Tennessee,Rutherford,Clyde Ave,35.9814175,-86.5305352,Adult Female,Call; Mechanical Sound,Not Used,,,,,Samsung Galaxy J7,,,,S53747195,,,,Drumming and call by female Downy Woodpecker.  Photo is of the recorded bird.,,Dryobates pubescens,dowwoo,Species,11287,,4.75,4,,,
51878761,Audio,Downy Woodpecker (Eastern),Dryobates pubescens pubescens/medianus,,Jay McGowan,2017-02-22,2017,2,22,1206,United States,US-NY-109,New York,Tompkins,Sapsucker Woods--Wilson Trail North,42.4804057,-76.4532351,,Call,Not Used,,,,,Samsung Galaxy S7,,,,S34652615,,,,Soft calls from interacting birds.,,Dryobates pubescens,dowwoo1,Group,11288,,3.77,13,,,
112147351,Audio,Downy Woodpecker,Dryobates pubescens,,Noah H,2018-08-24,2018,8,24,1900,United States,US-MA-003,Massachusetts,Berkshire,Hoosac Range Trail (BNRC),42.6945718,-73.0641173,Unknown,Call,Not Used,,,,,IPhone SE,,,,S48052832,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.40,5,,,
96331681,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2018-04-24,2018,4,24,635,United States,US-FL-009,Florida,Brevard,Merritt Island NWR--Dummitt Grove,28.7119122,-80.7341480,Adult Female,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH20,Telinga Parabola,,S44914323,,,,upset by nearby Red-bellied Woodpeckers,,Dryobates pubescens,dowwoo,Species,11287,,4.40,5,,,
