ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
367769351,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2021-09-08,2021,9,8,638,United States,US-CA-073,California,San Diego,Tijuana River Valley--Bird & Butterfly Garden (Myers Ranch),32.5538589,-117.0846190,,Call,Unspecified,,,,,,,,,S94369870,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.88,8,,,
124756741,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2018-11-22,2018,11,22,659,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S50125767,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.33,6,,,
259492221,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2020-09-01,2020,9,1,622,United States,US-CA-073,California,San Diego,"Trails west of Bird & Butterfly area (32.554, -117.089)",32.5543619,-117.0887427,,Call,Not Used,,,,,,,,,S73064484,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.75,4,,,
145058041,Audio,Downy Woodpecker,Dryobates pubescens,,Carole Swann,2019-03-12,2019,3,12,1030,United States,US-TN-149,Tennessee,Rutherford,Clyde Ave,35.9814175,-86.5305352,Adult Female,Call; Mechanical Sound,Not Used,,,,,Samsung Galaxy J7,,,,S53747195,,,,Drumming and call by female Downy Woodpecker.  Photo is of the recorded bird.,,Dryobates pubescens,dowwoo,Species,11287,,4.75,4,,,
112147351,Audio,Downy Woodpecker,Dryobates pubescens,,Noah H,2018-08-24,2018,8,24,1900,United States,US-MA-003,Massachusetts,Berkshire,Hoosac Range Trail (BNRC),42.6945718,-73.0641173,Unknown,Call,Not Used,,,,,IPhone SE,,,,S48052832,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.40,5,,,
96331681,Audio,Downy Woodpecker,Dryobates pubescens,,Paul Marvin,2018-04-24,2018,4,24,635,United States,US-FL-009,Florida,Brevard,Merritt Island NWR--Dummitt Grove,28.7119122,-80.7341480,Adult Female,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH20,Telinga Parabola,,S44914323,,,,upset by nearby Red-bellied Woodpeckers,,Dryobates pubescens,dowwoo,Species,11287,,4.40,5,,,
95434931,Audio,Downy Woodpecker,Dryobates pubescens,,Lateefah Williams,2018-04-14,2018,4,14,0,United States,US-IL-091,Illinois,Kankakee,Bourbonnais,41.1417300,-87.8750400,,Call,Unspecified,,,,,,,,,S44726351,,,,,,Dryobates pubescens,dowwoo,Species,11287,,4.50,4,,,
225497451,Audio,Downy Woodpecker,Dryobates pubescens,Setophaga pinus -- Pine Warbler; Larus delawarensis -- Ring-billed Gull,Germ Germain,2020-04-19,2020,4,19,1518,Canada,CA-ON-OT,Ontario,Ottawa,Britannia CA (general location),45.3711229,-75.7915535,Adult Female – 1,Call; Foraging or Eating,Unspecified,,,,,Zoom H1,,,,S67497169,,,,Female adult calling and foraging in a tree.,,Dryobates pubescens,dowwoo,Species,11287,,5.00,3,,,
203113971,Audio,Downy Woodpecker,Dryobates pubescens,,Julia Plummer,2020-01-26,2020,1,26,801,United States,US-PA-027,Pennsylvania,Centre,Bald Eagle SP--Bullit Run,40.9873655,-77.7047968,Adult – 1,Call,Not Used,,,,,Zoom F1,SGH-6,,,S63795486,,,,One called near me then another called (same descending call) from other side of Bald Eagle Creek (though I don't think you can hear it in the recording).,,Dryobates pubescens,dowwoo,Species,11287,,5.00,3,,,
94266441,Audio,Downy Woodpecker,Dryobates pubescens,,Jocelyn Lauzon,2018-03-21,2018,3,21,620,Canada,CA-QC-LL,Quebec,Les Laurentides,Mont-Tremblant National Park,46.3209435,-74.5561520,Unknown,Call,Not Used,,,,,Sound Devices 633,Audio-Technica AT4022,SASS,,S43971318,,,,'Whinny' Call,,Dryobates pubescens,dowwoo,Species,11287,,4.20,5,,,
