ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
127551381,Audio,Eastern Bluebird,Sialia sialis,,Kaleb Kroeker,2018-12-07,2018,12,7,1346,United States,US-KS-169,Kansas,Saline,Kroeker Farm,38.8595688,-97.7236944,,Call,Not Used,,,,,Moto X 1st Gen.,,,,S50499201,,,,Chatter calls as they were scolding the screech-owl.,,Sialia sialis,easblu,Species,27881,,4.50,8,,,
586018511,Audio,Eastern Bluebird (Eastern),Sialia sialis sialis/bermudensis,,Brian Shulist,2023-06-18,2023,6,18,523,Canada,CA-ON-RE,Ontario,Renfrew,Wilno; Hwy 60; Wilno Hills Moraine/Kame,45.5042915,-77.5762634,Juvenile – 5,Call; Feeding Young,Not Used,,,,,Samsung Galaxy Tab E Lite: model SM-T113,,,,S141924730,,,,Three feedings of nestlings in nest box. The 2nd was by the female and she calls at 23.5 secs to alert the young. The young fledged the next day so they were probably ~18 days old when this recording was done.,"Continuing active nest box. Updated: the 5 young would successfully fledge the next day, June 19th.",Sialia sialis,easblu1,Group,27882,,5.00,3,,,
143989251,Audio,Eastern Bluebird,Sialia sialis,,Robert O'Connell,2019-03-05,2019,3,5,700,United States,US-ME-005,Maine,Cumberland,The Yardbirds,43.8200080,-70.2723410,Unknown,Call,Not Used,,,,,Zoom H4N Pro,Built In,Windsock,,S53488091,,,,,,Sialia sialis,easblu,Species,27881,,4.25,4,,,
277289771,Audio,Eastern Bluebird,Sialia sialis,,Glen Chapman,2020-11-04,2020,11,4,823,United States,US-NY-031,New York,Essex,Bull Rock Rd,43.8181950,-73.4963030,,Call,Not Used,,,,,Sound Devices MixPre-3 ,"Wildtronics pro parabolic microphone, mono, amplified ",Wildtronics 22 inch Parabola ,,S75819656,,,,Chatter calls from a group of 4 Eastern Bluebirds interacting closely.  High pass filter used at 50 Hz. ,Singing!,Sialia sialis,easblu,Species,27881,,4.67,3,,,
270052101,Audio,Eastern Bluebird,Sialia sialis,Cyanocitta cristata -- Blue Jay,Glen Chapman,2020-10-06,2020,10,6,755,United States,US-NY-031,New York,Essex,Bull Rock Rd,43.8181950,-73.4963030,Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3 ,"Wildtronics pro parabolic microphone, mono, amplified ",Wildtronics 22 inch Parabola ,,S74491905,,,,,,Sialia sialis,easblu,Species,27881,,4.67,3,,,
174775991,Audio,Eastern Bluebird,Sialia sialis,,Brian Shulist,2019-08-30,2019,8,30,655,Canada,CA-ON-RE,Ontario,Renfrew,Wilno; Hwy 60; Wilno Hills Moraine/Kame,45.5042915,-77.5762634,Adult,Call,Not Used,,,,,Samsung Galaxy Tab E Lite: model SM-T113,,,,S59370780,,,,Predator warning calls by the adult(s) tending their fledged young. I had not seen the adult female but she likely was present and probably calling with the male in this recording. I have heard them give these call when a bird of prey or other threat is seen. Also see ML176629481 recording of Sept 10th of similar calls by the same  birds.,,Sialia sialis,easblu,Species,27881,,4.25,4,,,
236246841,Audio,Eastern Bluebird,Sialia sialis,Poecile carolinensis -- Carolina Chickadee; Cardinalis cardinalis -- Northern Cardinal,Anne Thompson,2020-05-18,2020,5,18,1125,United States,US-GA-021,Georgia,Bibb,31204 Macon,32.8415559,-83.6803722,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,"LG V50, RecForge app ",,,,S69267304,,,,Scolding at a Red-bellied Woodpecker near a nest hole,Scolding near the nest cavity,Sialia sialis,easblu,Species,27881,,4.00,4,,,
164715531,Audio,Eastern Bluebird,Sialia sialis,,Russ Wigh,2019-06-17,2019,6,17,1602,United States,US-GA-051,Georgia,Chatham,34 Peregrine Crossing,31.9179190,-81.0501981,Male,Call,Not Used,,,,,SD 722,Sennheiser ME66,Rycote Softie,,S57466095,,,,"A microphone with furry cover placed in the bird garden caused alarm for several species.  This short note, clearly thrush-like is not in the Library of Natural Sounds to the best of my knowledge.  This is the male of a pair nesting about 20m away. I suspect it is an alarm note given the reaction of other feeder birds.  This pair and others often feed on a tube of meal worms.",,Sialia sialis,easblu,Species,27881,,4.00,4,,,
57524671,Audio,Eastern Bluebird,Sialia sialis,,Eric Cormier,2015-05-04,2015,5,4,0,United States,US-GA-121,Georgia,Fulton,Benton Woods,33.9054708,-84.3736053,,Call; Flight Call,Unspecified,,,,,,,,,S29043118,,,,also wing-noise,,Sialia sialis,easblu,Species,27881,,4.00,4,,,
305709341,Audio,Eastern Bluebird,Sialia sialis,,Kristy Brig,2021-02-07,2021,2,7,1711,United States,US-VA-177,Virginia,Spotsylvania,Yard,38.2469554,-77.5632410,Adult Male – 1,Call; Foraging or Eating,Unspecified,,,,,,,,,S80684813,,,,,,Sialia sialis,easblu,Species,27881,,4.33,3,,,
