ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
497847391,Audio,Eastern Phoebe,Sayornis phoebe,,Nathaniel Sharp,2022-07-20,2022,7,20,600,United States,US-VT-015,Vermont,Lamoille,Mt. Mansfield VCE banding station,44.5282278,-72.8153121,Juvenile – 1,Call,Not Used,,,,,Google Pixel 2,,,,S115457628,,,,,"2 new bandings, both free-flying juveniles",Sayornis phoebe,easpho,Species,16840,,4.50,4,,,
118564711,Audio,Eastern Phoebe,Sayornis phoebe,,Nick Kiehl,2018-10-12,2018,10,12,835,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,Unknown,Call,Not Used,,,,,Zoom H5,,,,S49137294,,,,Perched about 25 feet up.,,Sayornis phoebe,easpho,Species,16840,,4.00,5,,,
62526791,Audio,Eastern Phoebe,Sayornis phoebe,,Bill Tollefson,2017-07-02,2017,7,2,1535,United States,US-IA-171,Iowa,Tama,"IA, Tama - Tama County Farm",41.9155500,-92.3466500,Juvenile,Call,Not Used,,,,,Olympus LS-P2,internal,n/a,,S37950938,,,,,,Sayornis phoebe,easpho,Species,16840,,3.83,6,,,
525203211,Audio,Eastern Phoebe,Sayornis phoebe,,Gwen HK,2023-01-10,2023,1,10,604,United States,US-FL-099,Florida,Palm Beach,Loxahatchee NWR--Marsh Trail,26.4928139,-80.2168894,,Call,Not Used,,,,,TASCAM DR-100MKIII,Sennheiser Shotgun,,,S125872501,,,,,,Sayornis phoebe,easpho,Species,16840,,4.67,3,,,
230300261,Audio,Eastern Phoebe,Sayornis phoebe,Vireo griseus -- White-eyed Vireo; Zenaida macroura -- Mourning Dove,Blaine Carnes,2020-04-30,2020,4,30,1710,United States,US-TX-059,Texas,Callahan,T & P Lake,32.3872097,-99.3763161,Adult – 1,Call,Not Used,,,,,Tascam DR-40,Audio-Technica AT875R,,,S68332585,,,,,,Sayornis phoebe,easpho,Species,16840,,4.67,3,,,
224046201,Audio,Eastern Phoebe,Sayornis phoebe,Cardinalis cardinalis -- Northern Cardinal,Gregg Friesen,2020-04-14,2020,4,14,845,United States,US-KS-079,Kansas,Harvey,Harvey Co. West Park,38.0773902,-97.5816098,Adult Male – 1,Call,Unspecified,,,,,MixPre 3 II,Senheiser MKE 600,Wind Screen,,S67181369,,,,,,Sayornis phoebe,easpho,Species,16840,,4.67,3,,,
158165021,Audio,Eastern Phoebe,Sayornis phoebe,,Joanna Reuter,2019-05-12,2019,5,12,1216,United States,US-MO-019,Missouri,Boone,Chert Hollow Farm,39.0971869,-92.3515463,Adult,Call; Mechanical Sound,Unspecified,,,,,Samsung Galaxy J3 using Hi-Res Audio Recorder Version 0.10.76,,,,S56192193,,,,"This phoebe flew at me and did a series of bill clicks and alarm calls to draw attention away from the recently fledged young. The recording contains three definite bill clicks: at the 0.5, 0.7, and 1.3 second marks. (I think the vertical line at the 0.2 second mark is just recording noise.) The bird was within 10 feet of me for most of the recording, and thereafter I left the area to avoid distressing them any more.","Having noticed this morning that the nest at the house was empty, I was not surprised to encounter a couple of the recently fledged young with short tails in the brush along the power line. However, one of the parents noticed me, decided it was unhappy with me being there, and flew at me making an alarm call and a clicking noise that I've never heard from a phoebe. It flew at me from the direction of the young, and the clicking occurred only during the flight; later it sat in trees in the opposite direction of the young, very effectively drawing my attention away from them. I made a quick recording then backed off to give them space. Online research indicates that the clicking is a bill snap.
 
 Eric also saw one of the members of this phoebe pair act very defensive; a week or two ago, he saw it dive bomb a wren (memory says House Wren) that had popped up from the azaleas west of the house onto the retaining wall below the phoebe nest.",Sayornis phoebe,easpho,Species,16840,,4.00,4,,,
60926701,Audio,Eastern Phoebe,Sayornis phoebe,,Gregory Zbitnew,2017-06-10,2017,6,10,907,Canada,CA-QC-CO,Quebec,Les Collines-de-l'Outaouais,CA-Quebec-Luskville-De La Sapinière - 45.486x-75.992,45.4864108,-75.9915437,,Call,Not Used,,,,,Zoom H2N,,,,S37504234,,,,Drainage ditch sounds in the background,,Sayornis phoebe,easpho,Species,16840,,4.00,4,,,
60442021,Audio,Eastern Phoebe,Sayornis phoebe,,Glen Chapman,2017-06-01,2017,6,1,1027,United States,US-NY-113,New York,Warren,Amy's Park,43.6464833,-73.6534753,,Call,Not Used,,,,,Roland R-26,"Wildtronics pro parabolic microphone, mono, amplified",Wildtronics 22 inch Parabola,,S37391049,,,,Chip call of Eastern Phoebe near nest. Seen for ID.,Young in nest,Sayornis phoebe,easpho,Species,16840,,4.00,4,,,
20848341,Audio,Eastern Phoebe,Sayornis phoebe,,Paul Marvin,2015-11-07,2015,11,7,634,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,,Call,Not Used,,,,,,,,,S25744648,,,,not seen hidden in palm trees,,Sayornis phoebe,easpho,Species,16840,,4.00,4,,,
