ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
384770161,Audio,Eastern Towhee,Pipilo erythrophthalmus,,James (Jim) Holmes,2021-10-29,2021,10,29,650,United States,US-AL-005,Alabama,Barbour,Eufaula NWR--Houston/Upland Units,31.9950470,-85.0757647,,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S96850071,,,,,,Pipilo erythrophthalmus,eastow,Species,33136,,4.43,7,,,
108934141,Audio,Eastern Towhee,Pipilo erythrophthalmus,,Brad Walker,2018-07-28,2018,7,28,713,United States,US-NY-109,New York,Tompkins,Lindsay-Parsons Biodiversity Preserve (FLLT),42.3101677,-76.5216895,Adult Male,Call,Not Used,,,,,Sound Devices MixPre-3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S47494992,,,,Response to pishing. Same male as ML####4511,,Pipilo erythrophthalmus,eastow,Species,33136,,5.00,4,,,
578522941,Audio,Eastern Towhee,Pipilo erythrophthalmus,,Julia Plummer,2023-05-26,2023,5,26,708,United States,US-PA-027,Pennsylvania,Centre,Sproul SF--Stone Trail,41.1266035,-77.9345068,Adult Male – 1,Call,Not Used,,,,,Zoom H5,Sennheiser ME62,"Telinga 22"" Parabola",,S139285189,,,,,,Pipilo erythrophthalmus,eastow,Species,33136,,5.00,3,,,
87510721,Audio,Eastern Towhee,Pipilo erythrophthalmus,,David W Foster,2018-02-25,2018,2,25,735,United States,US-FL-031,Florida,Duval,Thomas Creek WMA--Acree Rd,30.4653327,-81.8181727,,Call,Unspecified,,,,,Nikon D7500,Rode VideoMic Pro,,,S43195037,,,,,,Pipilo erythrophthalmus,eastow,Species,33136,,5.00,3,,,
375524481,Audio,Eastern Towhee,Pipilo erythrophthalmus,,Alexandre Terrigeol,2021-10-06,2021,10,6,724,Canada,CA-QC-CB,Quebec,La Côte-de-Beaupré,RNF du Cap-Tourmente,47.0780936,-70.7855538,,Call; Foraging or Eating,Not Used,,,,,,,,,S95685932,,,,,Toujours présente,Pipilo erythrophthalmus,eastow,Species,33136,,4.20,5,,,
336375941,Audio,Eastern Towhee,Pipilo erythrophthalmus,,Sean Smith,2021-05-08,2021,5,8,1945,United States,US-ME-017,Maine,Oxford,Mountain Division Trail,44.0021344,-70.9473461,,Call,Not Used,,,,,,,,,S87706500,,,,,"AUDIO.  Calling duet at one spot, then another at a different place @ miles 48-48.5",Pipilo erythrophthalmus,eastow,Species,33136,,4.25,4,,,
98683691,Audio,Eastern Towhee,Pipilo erythrophthalmus,,Darrell Peterson,2018-05-04,2018,5,4,700,United States,US-GA-089,Georgia,DeKalb,Michelle Obama Trail,33.6947982,-84.3118715,Adult Male,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S45390312,,,,This call was heard many times at many locations around this area.  It doesn't sound like the ones that I hear in Virginia,,Pipilo erythrophthalmus,eastow,Species,33136,,4.25,4,,,
26131551,Audio,Eastern Towhee,Pipilo erythrophthalmus,,Colin Sumrall,2016-03-25,2016,3,25,816,United States,US-TN-093,Tennessee,Knox,Melton Hill Park,35.9511223,-84.2392109,Adult,Call,Not Used,,,,,Tascam DR-05,Audio-Technica ATR-6550,,,S28532849,,,,,,Pipilo erythrophthalmus,eastow,Species,33136,,4.00,6,,,
139494,Audio,Eastern Towhee,Pipilo erythrophthalmus,Pheucticus ludovicianus -- Rose-breasted Grosbeak; Seiurus aurocapilla -- Ovenbird; Setophaga magnolia -- Magnolia Warbler,Brad Walker,2015-05-19,2015,5,19,627,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Adult Female – 1,Call,Not Used,,,,,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S23528294,,,,Calling after being flushed off a nest on the side of the trail. The nest was at the base of a small honeysuckle in a patch of goldenrod and contained at least two nestlings. Other Behaviors: Emit Alarm. Equipment Notes: Telinga Pro 6 filter was engaged for this recording.,,Pipilo erythrophthalmus,eastow,Species,33136,,4.00,4,,,
269602421,Audio,Eastern Towhee,Pipilo erythrophthalmus,Corvus brachyrhynchos -- American Crow,Nathaniel Sharp,2020-09-13,2020,9,13,808,United States,US-VT-003,Vermont,Bennington,Merck Forest,43.2741734,-73.1735730,Adult – 1,Call,Unspecified,,,,,Roland R-07,,,,S73537159,,,,,,Pipilo erythrophthalmus,eastow,Species,33136,,4.33,3,,,
