ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
244863131,Audio,European Starling,Sturnus vulgaris,,Brad Walker,2020-05-22,2020,5,22,656,United States,US-NY-083,New York,Rensselaer,"Coopers Pond, Brunswick",42.7363667,-73.6531746,Juvenile – 1,Call,Unspecified,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S69448865,,,,,,Sturnus vulgaris,eursta,Species,27571,,4.71,7,,,
457171351,Audio,European Starling,Sturnus vulgaris,,Brian Shulist,2022-06-04,2022,6,4,535,Canada,CA-ON-RE,Ontario,Renfrew,European Starling nest site; 17870 Hwy 60; Wilno,45.5038133,-77.5766450,Juvenile,Call,Not Used,,,,,Samsung Galaxy Tab E Lite: model SM-T113,,,,S112086093,,,,Food begging calls from the nest box. Windy day.,,Sturnus vulgaris,eursta,Species,27571,,4.80,5,,,
612784790,Audio,European Starling,Sturnus vulgaris,,Peter Boesman,2023-10-30,2023,10,30,1115,Australia,AU-TAS-KIN,Tasmania,Kingborough,"Missionary Road, North Bruny, Tasmania, AU (-43,137, 147,359)",-43.1374566,147.3589835,,Call,Unspecified,,,,,Olympus LS-05,Telinga Pro-X,,,S153377986,,,,,,Sturnus vulgaris,eursta,Species,27571,,4.60,5,,,
365103561,Audio,European Starling,Sturnus vulgaris,Passer domesticus -- House Sparrow,Jim Kirker,2021-08-30,2021,8,30,1005,New Zealand,NZ-AUK-007,Auckland,Auckland City,Auckland - Remuera Gardens Retirement Village,-36.8860063,174.8159647,Adult – 1,Call,Not Used,,,,,Samsung cellphone with RecForge II Pro,,,,S93926983,,,,European Starling calling on a fine late winter morning in Remuera 30/08/21,"Perched on a utility line, preening and calling for at least five minutes before flying off.",Sturnus vulgaris,eursta,Species,27571,,4.60,5,,,
203909461,Audio,European Starling,Sturnus vulgaris,,Josep del Hoyo,2015-06-10,2015,6,10,0,Romania,RO-TL,Tulcea,,Ultima Frontiera,45.3779552,29.5649815,,Call,Unspecified,,,,IBC1457502,,,,,S64822053,,,,"Calls of juveniles. Elevation: 0 m. Date added to IBC: January 17, 2018.",IBC scientific name: Sturnus vulgaris vulgaris.,Sturnus vulgaris,eursta,Species,27571,,4.33,6,,,
612059350,Audio,European Starling,Sturnus vulgaris,,Guillaume Joyal,2021-07-17,2021,7,17,1045,Canada,CA-QC-DU,Quebec,Drummond,Rue Tousignant,45.8603270,-72.5027278,,Call,Not Used,,,,,,,,,S91883797,,,,,,Sturnus vulgaris,eursta,Species,27571,,4.60,5,,,
582382921,Audio,European Starling,Sturnus vulgaris,Apus apus -- Common Swift; Passer montanus -- Eurasian Tree Sparrow,African Googre,2023-06-06,2023,6,6,1900,Ukraine,UA-12,Dnipropetrovs'ka Oblast',,Сквер 6-ї лікарні (6th city hospital garden square),48.5169157,35.0854408,Juvenile – 5,Call,Not Used,,,,,iPhone 12 mini,,,,S140699544,,,,,,Sturnus vulgaris,eursta,Species,27571,,4.60,5,,,
242491851,Audio,European Starling,Sturnus vulgaris,,Ramit Singal,2020-06-11,2020,6,11,851,Australia,AU-TAS-DEV,Tasmania,Devonport,Tasmanian Arboretum,-41.2276100,146.3013800,Adult – 1,Call; Mechanical Sound,Not Used,,,,,Sound Devices MixPre-3,Sennheiser ME62,"Telinga 22"" parabola",,S70294618,,,,"At the end, bird flew off (wing beats in audio)",,Sturnus vulgaris,eursta,Species,27571,,4.33,6,,,
475811551,Audio,European Starling,Sturnus vulgaris,,James (Jim) Holmes,2022-08-16,2022,8,16,616,United States,US-LA-103,Louisiana,St. Tammany,Big Branch Marsh NWR--Lake Rd.,30.2781896,-89.9543972,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S117056176,,,,,,Sturnus vulgaris,eursta,Species,27571,,4.14,7,,,
59074911,Audio,European Starling,Sturnus vulgaris,,David Brown,2017-05-23,2017,5,23,1033,United States,US-PA-081,Pennsylvania,Lycoming,Residential Montoursville,41.2483641,-76.9059679,,Call,Not Used,,,,,Sony PCM-M10,Sennheiser ME66,,,S37089002,,,,,,Sturnus vulgaris,eursta,Species,27571,,4.14,7,,,
585053311,Audio,European Starling,Sturnus vulgaris,,Marc Regnier,2023-06-15,2023,6,15,750,United States,US-SC-019,South Carolina,Charleston,Magnolia Plantation & Gardens,32.8746855,-80.0863409,,Call,Unspecified,,,,,zoom h6 ,Senn MKE 600,,,S141662066,,,,"""Jeer""",,Sturnus vulgaris,eursta,Species,27571,,4.40,5,,,
581391311,Audio,European Starling,Sturnus vulgaris,,Mark Lewis,2023-05-29,2023,5,29,1000,United Kingdom,GB-SCT-ABE,Scotland,Aberdeen,St Fittick's Community Park,57.1337670,-2.0652550,Adult – 1,Call; Feeding Young; Flight Call,Not Used,,,,,Tascam DR100 mk3,Line Audio OM1,Parabola,,S140552742,,,,,,Sturnus vulgaris,eursta,Species,27571,,4.40,5,,,
397983171,Audio,European Starling,Sturnus vulgaris,Fringilla coelebs -- Common Chaffinch,Richard Schofield,2021-12-22,2021,12,22,816,New Zealand,NZ-OTA-072,Otago,Clutha District,Balclutha Lawn Cemetery,-46.2286786,169.7604675,Juvenile – 2,Call,Unspecified,,,,,"Nokia 2, TA-1007, 7.1.1, RecForge II Version 1.2.8.4g",,,,S99238811,,,,At least 2 juveniles in pine trees. Chaffinch in background,,Sturnus vulgaris,eursta,Species,27571,,4.40,5,,,
395141751,Audio,European Starling,Sturnus vulgaris,,Jerred Seveyka,2021-12-04,2021,12,4,1440,United States,US-WA-077,Washington,Yakima,Yakima Sportman State Park,46.5917164,-120.4564838,,Call,Unspecified,,,,,Tascam DR05,Wildtronics Pro Mono Amplified,Parabola,,S98525655,,,,Mimic calls of American Robin and California Quail,,Sturnus vulgaris,eursta,Species,27571,,4.40,5,,,
239860771,Audio,European Starling,Sturnus vulgaris,,Steve Rose,2020-05-30,2020,5,30,810,United States,US-CA-057,California,Nevada,Rosemary Ln. ponds,39.0518517,-121.1775684,,Call,Unspecified,,,,,,,,,S69861260,,,,'jeer' calls from a flock ~20 perched in tree. Rosemary Lane 30 May20,,Sturnus vulgaris,eursta,Species,27571,,4.40,5,,,
