ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
625402970,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Johan Chaves,2024-10-25,2024,10,25,832,Costa Rica,CR-SJ,San José,,Esquipulas (town),9.4961330,-84.0478992,Adult Female – 1,Call; Flight Call; Foraging or Eating,Not Used,,,,,Zoom F3,Omnidirectional lavalier,SONY PBR 400 parabola,,S200223130,,,,"Bird being harassed by Chestnut sided warbler, giving this call, as the Chestnut sided left it then made a different call which I add on this list",,Vermivora chrysoptera,gowwar,Species,33679,,4.50,2,,,
57240161,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Vicky & Gordon Tucker,2017-05-07,2017,5,7,753,United States,US-IL-029,Illinois,Coles,Fox Ridge State Park,39.4032396,-88.1512594,,Call,Used,,,,,H2N Zoom,,,,S36625853,,,,,Campground Pond area,Vermivora chrysoptera,gowwar,Species,33679,,3.67,3,,,
107839881,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Cole Bauer,2018-07-15,2018,7,15,725,United States,US-MN-035,Minnesota,Crow Wing,Upgaard WMA,46.6626325,-94.1665649,Juvenile,Call,Not Used,,,,,iPhone SE,,,,S47216536,,,,Fledgling begging call,"2 males plus a fledgling, who appeared old enough to forage on its own, but also did a lot of begging whenever the father came nearby.",Vermivora chrysoptera,gowwar,Species,33679,,3.33,3,,,
625402971,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Johan Chaves,2024-10-25,2024,10,25,832,Costa Rica,CR-SJ,San José,,Esquipulas (town),9.4961330,-84.0478992,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,Zoom F3,Omnidirectional lavalier,SONY PBR 400 parabola,,S200223130,,,,,,Vermivora chrysoptera,gowwar,Species,33679,,5.00,1,,,
445987921,Audio,Golden-winged Warbler,Vermivora chrysoptera,Dumetella carolinensis -- Gray Catbird,Jeff Kenney,2022-05-08,2022,5,8,1132,United States,US-PA-029,Pennsylvania,Chester,Pickering Creek Trail,40.1012179,-75.5532682,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,iPhone 11 Pro,,,,S109370721,,,,,"Rare* - female bird, found by local champion Ashley Rathman. Watched the bird forage for several minutes at the top of the hill before disappearing, later refound at the pipeline cut. BQ and others have photos. 1* stills from cell video and audio of chip notes attached.",Vermivora chrysoptera,gowwar,Species,33679,,3.50,2,,,
170342991,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Peter Hawrylyshyn,2019-07-29,2019,7,29,731,Canada,CA-ON-SC,Ontario,Simcoe,Minesing Wetlands - North Simcoe Rail Trail,44.4111862,-79.8142180,Adult Male,Call,Not Used,,,,,,,,,S58550793,,,,chip calls -- bird seen,One adult male (molting without much of a tail) was most active - - singing and calling. A second bird (with a tail) stayed mostly hidden in bushes (? immature male),Vermivora chrysoptera,gowwar,Species,33679,,3.00,3,,,
166410351,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Jeff Hullstrung,2019-06-28,2019,6,28,645,United States,US-VT-007,Vermont,Chittenden,Charlotte Park and Wildlife Refuge,44.3319531,-73.2515403,Male,Call,Unspecified,,,,,Olympus LSP4,,,,S57820358,,,,Chip notes made near nest site,"Adult pair, 3 young in nest.",Vermivora chrysoptera,gowwar,Species,33679,,3.00,2,,,
614948388,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Gabriel Leite,2024-02-15,2024,2,15,721,Costa Rica,CR-P,Puntarenas,,Reserva Biológica Bosque Nuboso Monteverde,10.3026404,-84.7956911,,Call,Used,,,,,Mix Pre 3,Sennheiser 67,,,S161575730,,,,,,Vermivora chrysoptera,gowwar,Species,33679,,3.00,1,,,
455036831,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Michael S Taylor,2022-05-18,2022,5,18,1142,United States,US-MN-133,Minnesota,Rock,Blue Mounds SP--Mound and Cliffline trails,43.7027145,-96.1825991,Unknown – 1,Call,Not Used,,,,,Sound Devices MixPre-3,Sennheiser ME62 Shotgun,"Telinga 22"" Parabola",,S110583527,,,,Not certain of ID. Pointed towards a Least Flycatcher but caught this in background. Audio and habitat consistent the Golden-winged Warbler.,,Vermivora chrysoptera,gowwar,Species,33679,,3.00,1,,,
59465671,Audio,Golden-winged Warbler,Vermivora chrysoptera,,DJ McNeil,2017-05-27,2017,5,27,600,United States,US-PA-061,Pennsylvania,Huntingdon,State Game Lands 67,40.2501165,-78.1803074,Adult Female,Call,Not Used,,,,,Roland,Sennheiser,Rycote Softie,,S37187952,,,,Male and female chip calls as the female constructed a nest,Numerous males singing. Audio recording included of a female constructing a nest with a male nearby.,Vermivora chrysoptera,gowwar,Species,33679,,2.50,2,,,
112247471,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Kai Frueh,2018-07-12,2018,7,12,1342,United States,US-MN-021,Minnesota,Cass,"NF Road 837, Cass Lake US-MN (47.3794,-94.5206)",47.3793940,-94.5206160,,Call,Not Used,,,,,iPhone 4s,,,,S47244783,,,,,,Vermivora chrysoptera,gowwar,Species,33679,,2.33,3,,,
99060671,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Brian Henderson,2018-05-06,2018,5,6,1444,United States,US-PA-091,Pennsylvania,Montgomery,Morwood Rd. Yard,40.3226527,-75.4130501,,Call,Used,,,,,Nikon D500,,,,S45382149,,,,"Other species: American Robin, House Wren.","New yardbird #110, and a real surprise.  Male, singing sporadically.  Dark eyemask and throat, white cheek and supercilium stripes, golden crown, large golden wing patch on greenish-gray wings, gray back and flanks, white belly and undertail.  No indication of Blue-wing hybridization.  (This bird has been looked for but not seen since Sunday May 6.  It likely moved on that night.)",Vermivora chrysoptera,gowwar,Species,33679,,2.50,2,,,
621431525,Audio,Golden-winged Warbler,Vermivora chrysoptera,Catharus fuscescens -- Veery; Setophaga pensylvanica -- Chestnut-sided Warbler,Brian Sullivan,2024-06-26,2024,6,26,622,United States,US-MN-137,Minnesota,St. Louis,"Sax-Zim Bog--Admiral Rd., 3.0 mi S of CR 27",47.2628058,-92.6266766,,Call,Not Used,,,,,Zoom F3,Wildtronics Parabola Mic,Feather Light Dish,,S184453758,,,,,,Vermivora chrysoptera,gowwar,Species,33679,,2.00,1,,,
621005158,Audio,Golden-winged Warbler,Vermivora chrysoptera,Melospiza georgiana -- Swamp Sparrow; Geothlypis trichas -- Common Yellowthroat,Blake Rodgers,2024-06-30,2024,6,30,728,United States,US-WI-073,Wisconsin,Marathon,Bitzke Birdwalk,45.0939594,-89.3395913,,Call,Unspecified,,,,,,,,,S184576750,,,,,,Vermivora chrysoptera,gowwar,Species,33679,,2.00,1,,,
465992611,Audio,Golden-winged Warbler,Vermivora chrysoptera,,Scott Harris,2022-07-08,2022,7,8,650,United States,US-WI-017,Wisconsin,Chippewa,171st St,45.1159380,-91.3282671,,Call,Unspecified,,,,,,,,,S114640199,,,,,Chip calls of at least three in a family in deciduous forest.,Vermivora chrysoptera,gowwar,Species,33679,,1.00,2,,,
