ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
477168731,Audio,Gray Catbird,Dumetella carolinensis,,Ethan Denton,2022-08-14,2022,8,14,1252,Canada,CA-AB-EL,Alberta,Edmonton,Strathcona Riverside Nature Trail,53.6384522,-113.3073691,,Call,Not Used,,,,,,,,,S116935768,,,,,,Dumetella carolinensis,grycat,Species,27758,,4.92,12,,,
403077381,Audio,Gray Catbird,Dumetella carolinensis,,Guy McGrane,2021-12-30,2021,12,30,635,United States,US-NC-055,North Carolina,Dare,Alligator River NWR--Miltail Road Boat Launch,35.7953152,-75.8856462,,Call,Unspecified,,,,,Sony PCM-M10,,,,S99740366,,,,"This seems to me to be one of the best recordings I have made. The foreground catbird is very clear and gives 2 different kinds of calls--the standard meow calls and the double click calls that I have never before been able to get on a recording. Also, for comparison, the yellow-bellied sapsucker gives two or three of its very similar meows, and when viewed in the spectogram so close together the difference is accentuated.",,Dumetella carolinensis,grycat,Species,27758,,4.43,7,,,
159704581,Audio,Gray Catbird,Dumetella carolinensis,,Matthew D. Medler,2019-05-18,2019,5,18,545,United States,US-NY-109,New York,Tompkins,Stewart Park,42.4607910,-76.5068525,Adult,Call,Not Used,,,,,Tascam DR-100 MKIII,Wildtronics Pro Mono Parabola,"Wildtronics 22"" Parabola",,S56434867,,,,Recorded at 0628.,,Dumetella carolinensis,grycat,Species,27758,,4.33,6,,,
169147201,Audio,Gray Catbird,Dumetella carolinensis,,Kenny Frisch,2019-07-10,2019,7,10,839,United States,US-NY-055,New York,Monroe,Aunt Cindy's house,43.1896935,-77.7725896,,Call,Not Used,,,,,Canon 60D,Rode VideoMicro,,,S58089394,,,,,,Dumetella carolinensis,grycat,Species,27758,,4.75,4,,,
70913491,Audio,Gray Catbird,Dumetella carolinensis,,James (Jim) Holmes,2017-10-05,2017,10,5,636,United States,US-AL-035,Alabama,Conecuh,Burnt Corn Creek at Jane's Mill Road,31.2719725,-87.1691818,,Call,Not Used,,,,,Olympus LS-11,Sennheiser ME 67,,,S39562240,,,,two birds on this recording,"Counted one by one. There were 8 different birds feeding on the road (east of the bridge) as I first arrived Just Before Sunrise.  When I walked the east side my count was 17.
 Six more along west side of bridge.",Dumetella carolinensis,grycat,Species,27758,,4.17,6,,,
162800041,Audio,Gray Catbird,Dumetella carolinensis,,Martha Fischer,2019-05-04,2019,5,4,855,United States,US-NY-109,New York,Tompkins,Michigan Hollow FLT,42.3210972,-76.4778129,,Call,Not Used,,,,,Sound Devices MixPre3,WildTronics Monaural,"WildTronics 22"" parabola",,S55905052,,,,,,Dumetella carolinensis,grycat,Species,27758,,4.50,4,,,
467040031,Audio,Gray Catbird,Dumetella carolinensis,,Joey McCracken,2022-07-11,2022,7,11,1604,United States,US-WA-073,Washington,Whatcom,Wickersham area of Samish River,48.6530746,-122.2054918,Adult – 1,Call,Not Used,,,,,,,,,S114897201,,,,,"Continuing pair at (48.6540559, -122.2043717) flying around the downed power line right behind the 20 mph yellow corner street sign. One was calling and one was singing. The calling one was pretty friendly but the singing one was skittish. Photos and audio recorded.",Dumetella carolinensis,grycat,Species,27758,,5.00,3,,,
465765551,Audio,Gray Catbird,Dumetella carolinensis,,Matt Tarr,2022-07-08,2022,7,8,841,United States,US-NH-001,New Hampshire,Belknap,"Crystal Lake Road, Gilmanton Ironworks",43.4346730,-71.3114800,Adult – 1,Call,Not Used,,,,,,,,,S114639096,,,,6:00 AM,,Dumetella carolinensis,grycat,Species,27758,,5.00,3,,,
462258281,Audio,Gray Catbird,Dumetella carolinensis,Vireo olivaceus -- Red-eyed Vireo; Corvus brachyrhynchos -- American Crow; Cardinalis cardinalis -- Northern Cardinal,Magdalena Z,2022-06-24,2022,6,24,934,Canada,CA-ON-WL,Ontario,Wellington,Atlas square 17TNJ43 - 17TNJ43-new,43.6771278,-80.4466171,Adult – 1,Call; Carrying Food,Not Used,,,,,LS11 Olympus,wildtronics mono-stereo,"22"" parabola",,S113706518,,,,agitated; two types of calls,calling; quite agitated,Dumetella carolinensis,grycat,Species,27758,,5.00,3,,,
462258221,Audio,Gray Catbird,Dumetella carolinensis,,Magdalena Z,2022-06-24,2022,6,24,934,Canada,CA-ON-WL,Ontario,Wellington,Atlas square 17TNJ43 - 17TNJ43-new,43.6771278,-80.4466171,Adult – 1,Call; Carrying Food,Not Used,,,,,LS11 Olympus,wildtronics mono-stereo,"22"" parabola",,S113706518,,,,moving through dense understory cover and sounding quite agitated,calling; quite agitated,Dumetella carolinensis,grycat,Species,27758,,5.00,3,,,
