ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
344595791,Audio,Hooded Warbler,Setophaga citrina,Seiurus aurocapilla -- Ovenbird; Setophaga fusca -- Blackburnian Warbler; Zenaida macroura -- Mourning Dove; Contopus virens -- Eastern Wood-Pewee,Seth Buddy,2021-06-02,2021,6,2,618,United States,US-NC-021,North Carolina,Buncombe,Rattlesnake Lodge Trail (from Ox Creek Rd.),35.6677913,-82.4752879,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Tascam DR-100MKIII,Wildtronics Pro Mono,"Wildtronics 22"" parabola; windscreen",,S89473623,,,,"I love two things about this HOWA: 1.) How he starts his song with a chip, and 2.) how he changes songs at 1:55 after a false start!  Singing and foraging from a hickory on a steep slope (approx 4 meters up, but at my level due to the slope). Windy!",,Setophaga citrina,hoowar,Species,33778,,4.88,16,,,
261131771,Audio,Hooded Warbler,Setophaga citrina,,Matthew D. Medler,2020-07-04,2020,7,4,815,United States,US-NY-101,New York,Steuben,Urbana SF—Finger Lakes Trail to Huckleberry Bog,42.4778160,-77.2420950,Adult Female – 1,Call; Carrying Food,Not Used,,,,,Sound Devices MixPre-3,Telinga Pro 6,"Telinga 22"" parabola",,S71131288,,,,Recorded at 1156.,,Setophaga citrina,hoowar,Species,33778,,4.67,6,,,
620804564,Audio,Hooded Warbler,Setophaga citrina,,James (Jim) Holmes,2024-06-19,2024,6,19,1210,United States,US-VA-061,Virginia,Fauquier,G.R. Thompson WMA--Trillium Trail,38.9536926,-78.0267139,,Call,Not Used,,,,,MixPre-3 II,Sennheiser MKH 8070 ,,,S182532243,,,,,,Setophaga citrina,hoowar,Species,33778,,4.75,4,,,
630256842,Audio,Hooded Warbler,Setophaga citrina,,Enrique Mejía,2025-02-01,2025,2,1,944,Honduras,HN-OC,Ocotepeque,,Home,14.4092397,-88.9513653,,Call; Foraging or Eating,Unspecified,,,,,iPhone 11 Pro Max,,,,S212144105,,,,,,Setophaga citrina,hoowar,Species,33778,,4.50,4,,,
89304091,Audio,Hooded Warbler,Setophaga citrina,,James (Jim) Holmes,2014-12-08,2014,12,8,650,Bahamas,BS-GT,North Abaco and Grand Cay,,Abaco--Robert's Nursery,26.7166986,-77.3375326,,Call,Not Used,,,,,Olympus LS11,Sennheiser ME66,,,S20843664,,,,,"Robert's abandoned nursery, male
 <a href=""http://www.xeno-canto.org/205927""></a>",Setophaga citrina,hoowar,Species,33778,,3.67,9,,,
620461798,Audio,Hooded Warbler,Setophaga citrina,Myiarchus crinitus -- Great Crested Flycatcher; Molothrus ater -- Brown-headed Cowbird; Contopus virens -- Eastern Wood-Pewee,Chris Wood,2024-06-14,2024,6,14,535,United States,US-NY-109,New York,Tompkins,Lindsay-Parsons Biodiversity Preserve (FLLT),42.3101677,-76.5216895,Adult Female – 1,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" parabola",,S181357520,,,,,,Setophaga citrina,hoowar,Species,33778,,4.67,3,,,
281860051,Audio,Hooded Warbler,Setophaga citrina,,Dan J. MacNeal,2020-09-11,2020,9,11,943,Canada,CA-ON-WL,Ontario,Wellington,Guelph--University of Guelph (Arboretum),43.5392072,-80.2157650,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,iPhone 8,,,,S73458389,,,,Chip,"Continuing male found by Matt Iles yesterday. Heard first chipping, foraging low in fairly dense understory popping out into the open occasionally.yellow face with black hood and throat.",Setophaga citrina,hoowar,Species,33778,,4.67,3,,,
622657042,Audio,Hooded Warbler,Setophaga citrina,,James (Jim) Holmes,2024-08-16,2024,8,16,733,United States,US-AL-051,Alabama,Elmore,Fort Toulouse/Jackson Historic SP,32.5075974,-86.2516304,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S191668475,,,,,Male,Setophaga citrina,hoowar,Species,33778,,4.00,4,,,
233345,Audio,Hooded Warbler,Setophaga citrina,,Bob McGuire,2018-05-18,2018,5,18,1100,United States,US-NY-097,New York,Schuyler,Arnot Forest,42.2779773,-76.6597468,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,,,Setophaga citrina,hoowar,Species,33778,,4.00,4,,,
259813791,Audio,Hooded Warbler,Setophaga citrina,,Adrian Hinkle,2020-08-29,2020,8,29,1117,United States,US-CA-045,California,Mendocino,Miner Hole Rd.,38.9424545,-123.7201309,Adult Male – 1,Call,Not Used,,,,,,,,,S72970671,,,,"Calling from willow thicket. About halfway down Miner Hole Road, maybe 50m past where the trail first enters through a short section with complete canopy. ","Adult male. First heard and recorded chip note, then saw: bright yellow warbler at mid and lower level in willows, full black hood with yellow face, prominent dark eye, dark bill, greenish upperparts, obvious white flashes on tail edges. About halfway down trail on left, just after the place where there is a short section of canopy over the trail.",Setophaga citrina,hoowar,Species,33778,,4.00,4,,,
