ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
358484801,Audio,House Finch,Haemorhous mexicanus,,Ben Johnson,2021-08-02,2021,8,2,647,United States,US-UT-057,Utah,Weber,Glasmann Pond Park,41.1807826,-111.9517841,Adult Male – 1,Call,Not Used,,,,,,,,,S92655055,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.75,4,,,
237013,Audio,House Finch,Haemorhous mexicanus,,Bob McGuire,2018-06-24,2018,6,24,1356,United States,US-NY-109,New York,Tompkins,Whitted Road,42.4183523,-76.4327351,Adult Female – 2,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,Most of the singing done by one female.,,Haemorhous mexicanus,houfin,Species,32034,,4.00,6,,,
110958961,Audio,House Finch,Haemorhous mexicanus,,Paul Marvin,2018-01-28,2018,1,28,645,United States,US-CA-073,California,San Diego,Upper Otay Reservoir ,32.6506602,-116.9343490,,Call; Flight Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S42307637,,,,"not seen well, presumed male",,Haemorhous mexicanus,houfin,Species,32034,,5.00,3,,,
53074001,Audio,House Finch,Haemorhous mexicanus,,Ken Chamberlain,2017-04-01,2017,4,1,1100,United States,US-OR-051,Oregon,Multnomah,Home - SW Carolina St,45.4786720,-122.7126969,Adult Male,Call,Not Used,,,,,iPhone,iPhone,,,S35619975,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.00,7,,,
357620731,Audio,House Finch,Haemorhous mexicanus,,Gavin Aquila,2021-07-28,2021,7,28,800,United States,US-CA-073,California,San Diego,Batiquitos Lagoon--north side trails,33.0916690,-117.2960981,,Call; Flight Call,Unspecified,,,,,iPhone XR ,Rode VideoMic NTG,Rycote Mini Windscreen ,,S92419302,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.20,5,,,
71304501,Audio,House Finch,Haemorhous mexicanus,,Pat Goltz,2017-10-08,2017,10,8,1720,United States,US-AZ-019,Arizona,Pima,"El Camino del Cerro, Tucson",32.2886927,-111.1141562,,Call,Not Used,,,,,ZOOM H1,,,,S39718550,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.67,3,,,
225354721,Audio,House Finch,Haemorhous mexicanus,,Pat Goltz,2020-04-19,2020,4,19,1705,United States,US-AZ-019,Arizona,Pima,"El Camino del Cerro, Tucson",32.2886927,-111.1141562,Adult Female – 1,Call,Unspecified,,,,,,,,,S67509473,,,,"ZOOM H1 I learned something new. I had heard this song before, but had no idea what it was. FEMALE! On second thought, perhaps an immature of unknown gender. See photo.",All at once!,Haemorhous mexicanus,houfin,Species,32034,,4.25,4,,,
143859871,Audio,House Finch,Haemorhous mexicanus,,Richard Littauer,2019-03-05,2019,3,5,845,United States,US-VT-023,Vermont,Washington,"15 State St, Montpelier US-VT (44.2603,-72.5759)",44.2602570,-72.5759500,Adult Male,Call,Not Used,,,,,Nikon D500,,,,S53457894,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.25,4,,,
147915021,Audio,House Finch,Haemorhous mexicanus,,Jordan P,2019-03-29,2019,3,29,1420,United States,US-TX-027,Texas,Bell,my birding place,30.9827634,-97.6724700,,Call,Unspecified,,,,,,,,,S54342826,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.00,6,,,
216092791,Audio,House Finch,Haemorhous mexicanus,,I'm Birding Right Now (Teresa & Miles Tuffli),2020-02-12,2020,2,12,1542,United States,US-CA-097,California,Sonoma,Santa Rosa Creek Trail - Fulton Road to Willowside Road,38.4449847,-122.7946186,,Call,Unspecified,,,,,,,,,S64404793,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.00,4,,,
190647911,Audio,House Finch,Haemorhous mexicanus,,Paul Marvin,2019-11-30,2019,11,30,638,United States,US-CA-073,California,San Diego,Malcolm X Library sage scrub,32.7114916,-117.0783055,Adult Female – 1,Call; Flight Call,Unspecified,,,,,,,,,S61866364,,,,"one female, takes flight at end",,Haemorhous mexicanus,houfin,Species,32034,,4.00,4,,,
85128421,Audio,House Finch,Haemorhous mexicanus,,Robert Bochenek,2018-02-08,2018,2,8,1110,United States,US-MI-125,Michigan,Oakland,Danbrooke,42.5315082,-83.4196615,Adult,Call,Not Used,,,,,Olympus WS-822,Audio Technica ATR 6550,,,S42591746,,,,"House Finches jostling for feeder spots, other bird sounds were DEJU and other feeder birds.",,Haemorhous mexicanus,houfin,Species,32034,,4.00,4,,,
508223701,Audio,House Finch,Haemorhous mexicanus,Zonotrichia atricapilla -- Golden-crowned Sparrow; Corvus brachyrhynchos -- American Crow; Branta canadensis -- Canada Goose,Liam Ragan,2022-11-24,2022,11,24,827,Canada,CA-BC-CP,British Columbia,Capital,Saanich--Panama Flats,48.4763354,-123.4029007,Adult – 16,Call,Not Used,,,,,Zoom H1n,None,Deadcat + Handheld Mini-Tripod,,S122940499,,,,I was trying to get a recording of the Palm Warbler when I caught a glimpse of movement out of the corner of my eye and turned to see the immature Sharp-shinned I spotted earlier (see photos) be-lining it for a bush full of at-the-time mostly silent House Finch. Reoriented the mic and got this recording of the finches collectively giving alarm calls as the SSHA dove in and I believe missed ,,Haemorhous mexicanus,houfin,Species,32034,,4.33,3,,,
191569311,Audio,House Finch,Haemorhous mexicanus,Corvus brachyrhynchos -- American Crow; Cardinalis cardinalis -- Northern Cardinal; Melanerpes carolinus -- Red-bellied Woodpecker; Cyanocitta cristata -- Blue Jay,valerie heemstra,2019-12-05,2019,12,5,750,United States,US-NY-119,New York,Westchester,Mariandale Retreat and Conference Center,41.1751079,-73.8718849,Adult Female – 2; Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices MIXPRE3,Sennheiser Omni K6,22 inch parabola,,S62022486,,,,Various musical chip notes from 3 birds foraging 25 feet up in tree  (1 male and 2 females); bird pictured is male in adjacent tree.,,Haemorhous mexicanus,houfin,Species,32034,,4.33,3,,,
172911231,Audio,House Finch,Haemorhous mexicanus,,Paul Marvin,2019-08-17,2019,8,17,615,United States,US-CA-073,California,San Diego,"Lower Otay Lake, trail on west side of lake",32.6244617,-116.9316681,Adult Female,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH20,Telinga Parabola,,S59051711,,,,,,Haemorhous mexicanus,houfin,Species,32034,,4.33,3,,,
