ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
387459421,Audio,House Sparrow,Passer domesticus,,Vishnu Vinod,2021-11-12,2021,11,12,1541,United Arab Emirates,AE-DU,Dubai,,Al Marmoom DCR--general area,24.8515150,55.3464980,Adult,Call; Foraging or Eating,Not Used,,,,,OnePlus 7,,,,S97474857,,,,,Observed on a tree during dusk.,Passer domesticus,houspa,Species,31261,,4.88,8,,,
211312851,Audio,House Sparrow,Passer domesticus,,Jay McGowan,2020-02-23,2020,2,23,1646,United States,US-NY-109,New York,Tompkins,Stewart Park,42.4607910,-76.5068525,Unknown – 15,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S64928016,,,,Calls from a group going to roost in a cedar next to the boathouse.,,Passer domesticus,houspa,Species,31261,,4.75,8,,,
34691341,Audio,House Sparrow,Passer domesticus,,Lakshmikant Neve,2016-09-10,2016,9,10,642,India,IN-MH-JG,Maharashtra,Jalgaon,Bhusawal Thermal Power Station (BTPS)--Ganesh Mandir & 400KV,21.0436029,75.8520720,Adult Male,Call,Not Used,,,,,Mobile,NA,NA,,S31503027,,,,pair alwaya seen at same location & both have no fear of me...now they sit very nearer comfortably.Female sat on  pole & Male watching her.As soon as female flew from pole call notes/pitch change at last seconds of audio,,Passer domesticus,houspa,Species,31261,,4.71,7,,,
99279871,Audio,House Sparrow,Passer domesticus,,Ian Hearn,2018-05-09,2018,5,9,1300,United States,US-ID-027,Idaho,Canyon,2417 Southside Boulevard (Private),43.5450471,-116.5324457,Adult Male,Call; Flight Call,Not Used,,,,,Canon Powershot SX 50 HS,,,,S45488241,,,,,,Passer domesticus,houspa,Species,31261,,4.43,7,,,
203887271,Audio,House Sparrow,Passer domesticus,,Joe Angseesing,2016-05-03,2016,5,3,0,United Kingdom,GB-ENG-GLS,England,Gloucestershire,"Cheltenham (51.8869, -2.1138)",51.8869000,-2.1138000,Adult Male – 1,Call,Unspecified,,,,IBC1138082,,,,,S64981406,,,,"Male Calling. Elevation: 53 m. Date added to IBC: June 22, 2016.",IBC scientific name: Passer domesticus domesticus.,Passer domesticus,houspa,Species,31261,,4.67,6,,,
395640541,Audio,House Sparrow,Passer domesticus,,Jesse Morris,2021-12-12,2021,12,12,920,Canada,CA-MB-EL,Manitoba,Winnipeg,Enniskillen & Aikins,49.9333680,-97.1237630,,Call,Unspecified,,,,,Zoom H1n,,,,S98785955,,,,,,Passer domesticus,houspa,Species,31261,,4.80,5,,,
617769728,Audio,House Sparrow,Passer domesticus,,Paulo Narciso,2024-03-18,2024,3,18,1020,Portugal,PT-08-LO,Faro,Loulé,Junto ao estádio municipal,37.1334279,-8.0172543,Adult Male – 1,Call,Unspecified,,,,,,,,,S165304048,,,,,Colónia.,Passer domesticus,houspa,Species,31261,,5.00,4,,,
586618561,Audio,House Sparrow,Passer domesticus,,James (Jim) Holmes,2023-06-18,2023,6,18,620,United States,US-FL-061,Florida,Indian River,Hampton Inn Vero Beach I-95,27.6378225,-80.5187342,,Call,Not Used,,,,,MixPre3-II,Wildtronics Pro Mono,Parabolic dish,,S141916942,,,,,,Passer domesticus,houspa,Species,31261,,5.00,4,,,
570725411,Audio,House Sparrow,Passer domesticus,,Paulo Narciso,2023-04-10,2023,4,10,1020,Portugal,PT-08-LO,Faro,Loulé,Junto ao estádio municipal,37.1334279,-8.0172543,Adult Female – 1,Call; Carrying Food,Unspecified,,,,,,,,,S133278927,,,,,,Passer domesticus,houspa,Species,31261,,5.00,4,,,
556378571,Audio,House Sparrow,Passer domesticus,,Paulo Narciso,2023-04-10,2023,4,10,1020,Portugal,PT-08-LO,Faro,Loulé,Junto ao estádio municipal,37.1334279,-8.0172543,Adult Male – 1,Call,Unspecified,,,,,,,,,S133278927,,,,Chamamento de alarme.,,Passer domesticus,houspa,Species,31261,,5.00,4,,,
546666051,Audio,House Sparrow,Passer domesticus,,João Tomás,2023-03-14,2023,3,14,726,Spain,ES-CL-SL,Castilla y León,Salamanca,Barruecopardo--Pueblo y alrededores,41.0743011,-6.6595339,,Call,Unspecified,,,,,Zoom H5.,,,,S130916846,,,,Reclamos de aves en el dormidero.,,Passer domesticus,houspa,Species,31261,,5.00,4,,,
218130421,Audio,House Sparrow,Passer domesticus,,Carl Hughes,2020-03-25,2020,3,25,1204,Canada,CA-BC-CP,British Columbia,Capital,My house near Quicks Bottom Park,48.4982050,-123.3953798,,Call,Unspecified,,,,,,,,,S66226655,,,,,,Passer domesticus,houspa,Species,31261,,5.00,4,,,
104796711,Audio,House Sparrow,Passer domesticus,,Nelson Conceição,2018-06-17,2018,6,17,1955,Portugal,PT-08-TA,Faro,Tavira,"Mato De Santo Espírito, Tavira, Faro, PT (37,138, -7,631)",37.1381023,-7.6305448,,Call,Not Used,,,,,Huawei P8 Lite with RecForge II,,,,S46630433,,,,,,Passer domesticus,houspa,Species,31261,,3.59,39,,,
101186851,Audio,House Sparrow,Passer domesticus,,Nelson Conceição,2018-05-20,2018,5,20,1725,Portugal,PT-08-TA,Faro,Tavira,"Mato de Santo Espirito, Tavira, Faro, PT (37,138, -7,63)",37.1377061,-7.6298118,Adult Male,Call,Not Used,,,,,,,,,S45870654,,,,,,Passer domesticus,houspa,Species,31261,,3.70,20,,,
609478616,Audio,House Sparrow,Passer domesticus,,ADRIAN GRILLI,2023-10-01,2023,10,1,818,Argentina,AR-B-LZ,Buenos Aires,Lomas de Zamora,"Jardin 3 - 364 General Capdevila, Banfield, Provincia de Buenos Aires.",-34.7427771,-58.3811877,,Call,Not Used,,,,,,,,,S151150502,,,,,,Passer domesticus,houspa,Species,31261,,4.75,4,,,
