ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
534429,Audio,Indigo Bunting,Passerina cyanea,,Wil Hershberger,2017-06-18,2017,6,18,632,United States,US-MD-043,Maryland,Washington,7.0 km NNW of Clear Spring,39.7192941,-77.9377949,Adult Male – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 62,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,20.0,,"Male Indigo Bunting scolding from White Pines along roadside. Perhaps I was close to a nest. Equipment Notes: SD 702 HPF on at 80 Hz, -12 dB/octave.",,Passerina cyanea,indbun,Species,34317,,4.27,11,,,
105156921,Audio,Indigo Bunting,Passerina cyanea,,Ryan Sanderson,2018-06-21,2018,6,21,1948,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,Adult Male,Call,Not Used,,,,,Zoom H5,Wildtronics Pro Amplified Mono Stereo Parabolic Microphone,"22"" Parabola",,S46708125,,,,,,Passerina cyanea,indbun,Species,34317,,4.50,4,,,
359884261,Audio,Indigo Bunting,Passerina cyanea,,Jim Fuehrmeyer,2021-07-21,2021,7,21,717,United States,US-IN-169,Indiana,Wabash,Asherwood (ACRES),40.7379029,-85.9299973,Unknown – 1,Call,Not Used,,,,,iPhone7,Internal only,none,,S92083184,,,,,,Passerina cyanea,indbun,Species,34317,,5.00,3,,,
353111041,Audio,Indigo Bunting,Passerina cyanea,Troglodytes aedon -- Northern House Wren,Glen Chapman,2021-06-30,2021,6,30,1645,United States,US-NY-031,New York,Essex,Bull rock Rd,43.8105720,-73.4898680,Adult Male – 1,"Call; Courtship, Display, or Copulation",Not Used,,,,,Sound Devices MixPre-3 ,"Wildtronics pro parabolic microphone, mono, amplified ",Wildtronics 22 inch Parabola ,,S91039822,,,,Seen during recording. ,,Passerina cyanea,indbun,Species,34317,,5.00,3,,,
114612381,Audio,Indigo Bunting,Passerina cyanea,,Mark Greene,2018-08-22,2018,8,22,1246,United States,US-TN-095,Tennessee,Lake,Mississippi River--Fritz Landing Boat Launch,36.2385561,-89.5837398,Adult Female,Call,Not Used,,,,,iPhone 6,,,,S48007628,,,,,,Passerina cyanea,indbun,Species,34317,,4.00,4,,,
202238,Audio,Indigo Bunting,Passerina cyanea,,Jay McGowan,2015-06-07,2015,6,7,642,United States,US-NY-097,New York,Schuyler,Arnot Forest--Banfield Rd.,42.2765710,-76.6435840,Adult Male – 1,Call,Used,,,,,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S23811572,,,,Chip notes. Equipment Notes: Telinga filter engaged.,,Passerina cyanea,indbun,Species,34317,,4.00,4,,,
249513581,Audio,Indigo Bunting,Passerina cyanea,Spinus tristis -- American Goldfinch; Catharus fuscescens -- Veery; Chordeiles minor -- Common Nighthawk,Sean Smith,2020-07-14,2020,7,14,1900,United States,US-ME-017,Maine,Oxford,Mountain Division Trail,44.0021344,-70.9473461,Adult Male – 1,Call,Not Used,,,,,cell phone,,,,S71504882,,,,Territorial male,,Passerina cyanea,indbun,Species,34317,,5.00,2,,,
246028811,Audio,Indigo Bunting,Passerina cyanea,Catharus fuscescens -- Veery; Dryobates villosus -- Hairy Woodpecker,Sean Smith,2020-06-26,2020,6,26,1840,United States,US-ME-017,Maine,Oxford,Mountain Division Trail,44.0021344,-70.9473461,Juvenile Female – 1,Call,Not Used,,,,,cell phone,,,,S70860618,,,,Streaked juvenile without blue coloration,2 calling juveniles & 2 singing adults,Passerina cyanea,indbun,Species,34317,,5.00,2,,,
175641491,Audio,Indigo Bunting,Passerina cyanea,,Jay McGowan,2019-08-30,2019,8,30,729,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Adult Female – 1; Adult Male – 1; Juvenile – 1,Call,Not Used,,,,,Sound Devices MixPre3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S59370501,,,,"Calls from an adult female, then begging calls from a juvenile attended by an adult male.",,Passerina cyanea,indbun,Species,34317,,5.00,2,,,
31406781,Audio,Indigo Bunting,Passerina cyanea,,Jay McGowan,2016-07-16,2016,7,16,829,United States,US-NY-011,New York,Cayuga,Summerhill SF--Dresser Rd. Bog,42.6665320,-76.3178480,,Call,Not Used,,,,,Marantz PMD 661,Telinga Pro 8,"Telinga 22"" Parabola",,S30706466,,,,Calls from adults and juveniles. Likely same family recorder earlier.,Male and female with several fledglings in a foraging group along road.,Passerina cyanea,indbun,Species,34317,,5.00,2,,,
87184551,Audio,Indigo Bunting,Passerina cyanea,,Juan D Astorga,2018-02-23,2018,2,23,900,Costa Rica,CR-A,Alajuela,,Andromeda,9.9548770,-84.3770260,Adult Male,Call,Not Used,,,,,Camara Nikon P600,,,,S43121237,,,,,,Passerina cyanea,indbun,Species,34317,,3.71,7,,,
67072091,Audio,Indigo Bunting,Passerina cyanea,,Brad Walker,2017-08-26,2017,8,26,700,United States,US-NY-109,New York,Tompkins,Lindsay-Parsons Biodiversity Preserve (FLLT),42.3101677,-76.5216895,Juvenile,Call,Not Used,,,,,Nagra Ares BB+,Wildtronics Pro Amplified Mono-Stereo Parabolic Microphone,"Wildtronics 22"" Parabola",,S38828993,,,,"In a group of four birds, three juveniles and one adult female.",,Passerina cyanea,indbun,Species,34317,,4.00,3,,,
28211241,Audio,Indigo Bunting,Passerina cyanea,,Paul Marvin,2016-04-26,2016,4,26,1030,United States,US-FL-087,Florida,Monroe,Dry Tortugas NP--Garden Key,24.6276000,-82.8728000,Female,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S29430696,,,,at fountain,,Passerina cyanea,indbun,Species,34317,,3.40,10,,,
465072571,Audio,Indigo Bunting,Passerina cyanea,,Marie Giroux,2022-07-05,2022,7,5,920,Canada,CA-QC-QU,Quebec,Québec,"Saint-Augustin-de-Desmaures, chemin du Roy",46.7280000,-71.5100000,Adult Male – 1,Call,Unspecified,,,,,,,,,S114467443,,,,Comportement agité.,Franchement nombreux à chanter dans les boisés le long des champs. Vus et/ou entendus.,Passerina cyanea,indbun,Species,34317,,4.00,3,,,
163380151,Audio,Indigo Bunting,Passerina cyanea,,Albert Linkowski,2019-06-08,2019,6,8,1817,United States,US-CA-081,California,San Mateo,Long Ridge OSP--Peter's Creek Trailhead (SM Co.),37.2898275,-122.1546151,Immature Male,Call,Not Used,,,,,iPhone7,internal,none,,S57217013,,,,,"Immature male, continuing bird, first reported from this location by Chris Harwood. Often but not always associated with another bunting, seen often flying together, in one point when seen them in flight, I thought  both looked very alike, there is then possibility that in fact there might be two Indigo Buntings. From gate take obscure unfrequented trail along park border line to the right ( one with no bike sign) go up about 100 meters to closest conifers, bunting/s often flying and singing between those trees and cluster of large oaks a few hundred meters below.",Passerina cyanea,indbun,Species,34317,,4.00,3,,,
