ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
239166201,Audio,Kentucky Warbler,Geothlypis formosa,,James (Jim) Holmes,2020-05-27,2020,5,27,848,United States,US-CA-113,California,Yolo,Grasslands Regional Park,38.4959689,-121.6941027,Adult – 1,Call,Unspecified,,,,,Olympus LS11,Sennheiser ME67,,,S69729527,,,,another birder had recently played tape ,"stakeout, heard calling and voice recorded,
 seen multiple times but always briefly skulking low/on ground and then in flight when flushed.  yellow warbler with olive green back and characteristic black face mask with yellow eyeline with partial yellow spectacle.",Geothlypis formosa,kenwar,Species,33734,,4.60,10,,,
166091781,Audio,Kentucky Warbler,Geothlypis formosa,,Wil Hershberger,2019-06-27,2019,6,27,500,United States,US-MD-043,Maryland,Washington,"Indian Springs WMA, two-track road",39.7194064,-77.9381753,Adult,Call,Not Used,,,,,Sound Device 702,Senn. 8020,30” Roche Parabola,,S57753379,,,,"Kentucky Warbler, possibly a female, giving calls from thick brush along the two-track road. It was foraging the entire time of the recording. Recorded at 11-13 meters at 0545. Recorder HPF on at 80Hz, -12dB/octave.",,Geothlypis formosa,kenwar,Species,33734,,5.00,3,,,
168467111,Audio,Kentucky Warbler,Geothlypis formosa,,Wil Hershberger,2019-07-16,2019,7,16,455,United States,US-MD-043,Maryland,Washington,"Indian Springs WMA, two-track road",39.7194064,-77.9381753,Adult Male,Call,Not Used,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S58220401,,,,"Adult male Kentucky Warbler at 16-17 meters giving call notes while preening from a somewhat concealed perch at the east edge of the woods. Recorder HPF on at 80Hz, -12dB/octave.",,Geothlypis formosa,kenwar,Species,33734,,4.67,3,,,
163635831,Audio,Kentucky Warbler,Geothlypis formosa,,Marie Hosch,2019-06-09,2019,6,9,1257,United States,US-KY-199,Kentucky,Pulaski,Lake Cumberland WMA--Beech Grove,37.1053727,-84.7009828,,Call,Not Used,,,,,Roland R-26,Seinnheiser ME66,Rycote Softie,,S57231880,,,,"2 adults calling to each other - 1 near the ground, 1 about 30 feet up in a tree. Higher one was a male, didn't get a good look at the other.",,Geothlypis formosa,kenwar,Species,33734,,4.67,3,,,
141995431,Audio,Kentucky Warbler,Geothlypis formosa,,Daniel Irons,2018-06-15,2018,6,15,709,United States,US-MD-035,Maryland,Queen Anne's,Tuckahoe SP--Pee Wee's Trail,38.9561225,-75.9443133,,Call,Not Used,,,,,,,,,S46693785,,,,,Very careful count. Mostly all singing males.,Geothlypis formosa,kenwar,Species,33734,,4.67,3,,,
102943221,Audio,Kentucky Warbler,Geothlypis formosa,,Tom Johnson,2018-06-02,2018,6,2,704,United States,US-NJ-011,New Jersey,Cumberland,James Moore Rd.,39.2785768,-75.0361919,,Call,Not Used,,,,,Marantz PMD661 mkII,Sennheiser ME62,Telinga Pro Universal parabola + MK2,,S46228670,,,,response to pishing,focused on audio-recording this species,Geothlypis formosa,kenwar,Species,33734,,4.67,3,,,
621331815,Audio,Kentucky Warbler,Geothlypis formosa,Hylocichla mustelina -- Wood Thrush,James Wheat,2024-07-06,2024,7,6,1940,United States,US-KY-215,Kentucky,Spencer,Taylorsville Lake SP ,38.0245004,-85.2661134,Adult Male – 1,Call,Not Used,,,,,iPhone XR using Merlin app,iPhone XR using Merlin app,Audacity to amplify and trim,,S185746710,,,,Chip notes only,,Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
610257508,Audio,Kentucky Warbler,Geothlypis formosa,Setophaga ruticilla -- American Redstart,Delbert Penner,2023-10-03,2023,10,3,616,Belize,BZ-OW,Orange Walk,,BE_BMF03,17.4447724,-88.9611132,Adult – 1,Call,Not Used,,,,,Samsung Galaxy A52,Sennheiser MKE400,,,S151341116,,,,,,Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
347661831,Audio,Kentucky Warbler,Geothlypis formosa,Thryothorus ludovicianus -- Carolina Wren; Vireo griseus -- White-eyed Vireo; Corvus brachyrhynchos -- American Crow; Sitta carolinensis -- White-breasted Nuthatch; Zenaida macroura -- Mourning Dove,Trevor Sleight,2021-06-13,2021,6,13,727,United States,US-NC-101,North Carolina,Johnston,Howell Woods Env. Learning Center,35.3705751,-78.2975006,,Call,Unspecified,,,,,iphone 12 pro,RODE videomic me,,,S90104611,,,,"Kentucky Warbler observed calling from 30 feet up on small vine, CAWR singing ",,Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
338745041,Audio,Kentucky Warbler,Geothlypis formosa,,Kent Fiala,2021-05-15,2021,5,15,1821,United States,US-NC-135,North Carolina,Orange,Seven Mile Creek Natural Area,36.0575359,-79.1443168,Adult – 1,Call,Not Used,,,,,,,,,S88230320,,,,,,Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
335031051,Audio,Kentucky Warbler,Geothlypis formosa,,Wil Hershberger,2021-05-06,2021,5,6,519,United States,US-WV-039,West Virginia,Kanawha,"25136, Montgomery US-WV 38.15771, -81.33438",38.1577100,-81.3343850,Adult Male – 1,Call; Foraging or Eating,Unspecified,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S87294499,,,,"Behavior and other notes: Adult male Kentucky Warbler giving calls. It was chased off its perch by a female conspecific. Recording Time: 0700 (UTC -4).  Temperature 4.0C.  Habitat: Eastern Deciduous Forest.  Distance to sound source: 8-10 meters.  Specific location: Morris Creek Watershed, Kanawha Co., WV. Lat/Long: 38.159234374220034, -81.3340236935074.  Elevation 244 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_21T0418_Kentucky Warbler male calls_Kanawha Co WV_ML.wav ",,Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
248862281,Audio,Kentucky Warbler,Geothlypis formosa,,Matt Wistrand,2020-07-09,2020,7,9,708,United States,US-IN-013,Indiana,Brown,Brown County SP--Trail 8,39.1625093,-86.2495959,Juvenile – 1,Call,Unspecified,,,,,,,,,S71284265,,,,Adult male (presumed father) can be heard in the background,,Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
166376011,Audio,Kentucky Warbler,Geothlypis formosa,,Darrell Peterson,2019-06-30,2019,6,30,600,United States,US-VA-145,Virginia,Powhatan,Powhatan WMA--southern section,37.5434204,-78.0075109,,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S57815373,,,,"Calls from a group of 4 individuals, two young and two adult. The young flew well, but were still fairly scraggly feathered","along the trail in thick forest.  Singing calling.  One group of 4 included 2 young and 2 adults others were single  Surprisingly, this was a common sound along the trail this morning,  Mostly calls but some good songs as well, and the young birds was a bonus.",Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
106120371,Audio,Kentucky Warbler,Geothlypis formosa,,Mark R Johnson,2018-07-01,2018,7,1,1205,United States,US-MD-025,Maryland,Harford,Susquehanna State Park,39.6050864,-76.1521454,,Call,Not Used,,,,,Canon 7D Mark2 camera,,,,S46920966,,,,,,Geothlypis formosa,kenwar,Species,33734,,5.00,2,,,
113038641,Audio,Kentucky Warbler,Geothlypis formosa,,Kai Frueh,2018-07-30,2018,7,30,642,United States,US-MO-019,Missouri,Boone,6780 W Bruce Ln,39.1222540,-92.4378780,,Call,Used,,,,,iPhone 4s,,,,S47539512,,,,,,Geothlypis formosa,kenwar,Species,33734,,4.00,3,,,
