ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
584153641,Audio,Louisiana Waterthrush,Parkesia motacilla,,Jeff Ellerbusch,2023-06-11,2023,6,11,718,United States,US-NJ-027,New Jersey,Morris,Mahlon Dickerson Reservation,41.0068481,-74.5876408,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S141301648,,,,"agitated adult pair giving chips, high chips and high tink calls in alarm, almost certainly as a reaction to my presence (I was probably right near a nest site considering their behavior and me being along the bog edge on Pine Swamp Trail), the closest adult was carrying insects",,Parkesia motacilla,louwat,Species,33675,,5.00,4,,,
162717941,Audio,Louisiana Waterthrush,Parkesia motacilla,,Jay McGowan,2019-01-21,2019,1,21,1615,Dominican Republic,DO-10,Independencia,,Rabo de Gato,18.3162597,-71.5801077,Adult,Call,Not Used,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S51932985,,,,,,Parkesia motacilla,louwat,Species,33675,,4.67,3,,,
66131591,Audio,Louisiana Waterthrush,Parkesia motacilla,,Paul Marvin,2017-08-15,2017,8,15,806,United States,US-FL-095,Florida,Orange,Tosohatchee WMA,28.4952470,-80.9501839,,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S38657768,,,,,,Parkesia motacilla,louwat,Species,33675,,4.00,4,,,
609017291,Audio,Louisiana Waterthrush,Parkesia motacilla,,Karen Rubinstein,2023-09-19,2023,9,19,732,Panama,PA-4,Chiriquí,,The Sisters (privada),8.7475780,-82.4139580,,Call; Foraging or Eating,Unspecified,,,,,Iphone using Merlin,,,,S150261336,,,,,,Parkesia motacilla,louwat,Species,33675,,5.00,2,,,
596320781,Audio,Louisiana Waterthrush,Parkesia motacilla,,Brian Sullivan,2023-07-21,2023,7,21,845,United States,US-PA-115,Pennsylvania,Susquehanna,"4001–4199 Harmony Rd, Susquehanna US-PA 41.96431, -75.67104",41.9643070,-75.6710410,,Call; Flight Call,Used,,,,,,,,,S145215718,,,,,,Parkesia motacilla,louwat,Species,33675,,5.00,2,,,
528140481,Audio,Louisiana Waterthrush,Parkesia motacilla,,Steven Mlodinow,2023-01-15,2023,1,15,930,Mexico,MX-BCS-002,Baja California Sur,La Paz,Sierra de La Laguna - core area,23.5498290,-109.9761080,,Call,Used,,,,,,,,,S126405613,,,,,Photos. Recorded. Near Valle Primero,Parkesia motacilla,louwat,Species,33675,,5.00,2,,,
474946241,Audio,Louisiana Waterthrush,Parkesia motacilla,,James (Jim) Holmes,2022-08-13,2022,8,13,715,United States,US-AL-081,Alabama,Lee,Chewacla SP,32.5539033,-85.4775810,,Call,Unspecified,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S116836709,,,,,one at bridge and one near buildings,Parkesia motacilla,louwat,Species,33675,,5.00,2,,,
360949241,Audio,Louisiana Waterthrush,Parkesia motacilla,,Kyle Matera,2021-08-11,2021,8,11,1109,United States,US-FL-099,Florida,Palm Beach,Green Cay Wetlands & Nature Center,26.4861584,-80.1607561,Adult – 1,Call,Unspecified,,,,,,,,,S93089105,,,,,FOS.  Cypress boardwalk.,Parkesia motacilla,louwat,Species,33675,,4.00,3,,,
157096241,Audio,Louisiana Waterthrush,Parkesia motacilla,,Jay Gilliam,2019-04-24,2019,4,24,1230,United States,US-IA-117,Iowa,Lucas,Stephens State Forest--Lucas Unit,41.0138430,-93.4812927,Adult,Call,Not Used,,,,,Canon Vixia HFS-200,Canon DM-100,,,S55369865,,,,Chip notes,Audio; known nesting location,Parkesia motacilla,louwat,Species,33675,,4.00,3,,,
624604932,Audio,Louisiana Waterthrush,Parkesia motacilla,,Delbert Penner,2024-09-06,2024,9,6,1645,Belize,BZ-CY,Cayo,,Aguacate Lagoon,17.3227800,-89.0741200,Adult – 1,Call,Used,,,,,Samsung Galaxy A52 Smartphone,Sennheiser MKE400,,,S194210193,,,,,,Parkesia motacilla,louwat,Species,33675,,4.50,2,,,
