ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
79020051,Audio,Magnolia Warbler,Setophaga magnolia,,Alfonso Auerbach,2017-12-23,2017,12,23,607,Honduras,HN-FM,Francisco Morazán,,Camino que conduce a Bosque Ripario,14.0777904,-87.3417600,,Call,Not Used,,,,,,,,,S41265263,,,,,,Setophaga magnolia,magwar,Species,33800,,4.50,4,,,
549062881,Audio,Magnolia Warbler,Setophaga magnolia,,Michael O'Brien,2023-03-21,2023,3,21,1500,Belize,BZ-OW,Orange Walk,,Lamanai Maya site,17.7646280,-88.6520934,,Call,Unspecified,,,,,iPhone,,,,S131489232,,,,,,Setophaga magnolia,magwar,Species,33800,,4.67,3,,,
127475971,Audio,Magnolia Warbler,Setophaga magnolia,,Blaine Carnes,2018-11-28,2018,11,28,1615,Belize,BZ-OW,Orange Walk,,Freshwater Creek Forest Reserve--Orange Walk portion,18.0061587,-88.3591130,,Call,Not Used,,,,,Tascam DR-40,Audio-Technica AT875R,,,S50522030,,,,,,Setophaga magnolia,magwar,Species,33800,,4.67,3,,,
75632021,Audio,Magnolia Warbler,Setophaga magnolia,,Jay McGowan,2017-09-09,2017,9,9,748,United States,US-NY-099,New York,Seneca,Montezuma NWR--Towpath Rd.,43.0038224,-76.7457005,Immature,Call; Flight Call,Used,,,,,Sound Devices MixPre3,Sennheiser MKH 20,"Telinga 22"" Parabola",,S39083920,,,,"One ""cheep"" call then flight calls from a perched bird.",,Setophaga magnolia,magwar,Species,33800,,4.67,3,,,
184170041,Audio,Magnolia Warbler,Setophaga magnolia,,Jay McGowan,2019-09-17,2019,9,17,738,United States,US-NY-109,New York,Tompkins,Cornell Research Ponds Unit I (restricted access),42.5046294,-76.4657396,Immature – 1,Call; Flight Call,Not Used,,,,,Sound Devices MixPre-3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S59872141,,,,,,Setophaga magnolia,magwar,Species,33800,,4.33,3,,,
263781591,Audio,Magnolia Warbler,Setophaga magnolia,,Jay McGowan,2020-09-16,2020,9,16,721,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Unknown – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S73663085,,,,,,Setophaga magnolia,magwar,Species,33800,,5.00,2,,,
248816271,Audio,Magnolia Warbler,Setophaga magnolia,,Will Johnson,2020-07-11,2020,7,11,1020,United States,US-NC-011,North Carolina,Avery,Blue Ridge Pkwy--Beacon Heights,36.0824363,-81.8292189,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,iPhone 7,,,,S71358861,,,,,"Pair seen feeding fledgling ~50 yards north of the parking lot. Magnolia Warblers are found each breeding season around Beacon Heights, but to my knowledge, this is the first instance of nesting being confirmed here. Both adult birds were easily detectable by their distinct call note (recording below). The female was particularly vocal as she actively gathered food in the vicinity of the fledgling, always giving the largest insects to the fledgling and keeping the smaller ones for herself. The male was mostly silent, and never fed the fledgling while I was there. Interestingly, I watched the female chase the male away from the fledgling four times while I was there, and sometimes he would fly across the road and not return to the female for extended periods of time. Photos and recording below:",Setophaga magnolia,magwar,Species,33800,,4.00,3,,,
70752621,Audio,Magnolia Warbler,Setophaga magnolia,,Matt Wangerin,2017-10-01,2017,10,1,751,United States,US-NC-081,North Carolina,Guilford,Price Park--Highwoods Trail & Collection Pond,36.1106940,-79.8769140,,Call,Not Used,,,,,iPhone,,,,S39493472,,,,,,Setophaga magnolia,magwar,Species,33800,,3.67,6,,,
545879991,Audio,Magnolia Warbler,Setophaga magnolia,,Steve Hampton,2023-03-03,2023,3,3,610,Belize,BZ-SC,Stann Creek,,Hopkins-Sittee River area,16.8332215,-88.2816696,,Call,Unspecified,,,,,,,,,S130055518,,,,,,Setophaga magnolia,magwar,Species,33800,,4.00,3,,,
175959261,Audio,Magnolia Warbler,Setophaga magnolia,Poecile atricapillus -- Black-capped Chickadee,Brad Walker,2019-09-06,2019,9,6,718,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Unknown – 2,Call,Unspecified,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S59549374,,,,Response to Eastern Screech-Owl mobbing tape. ,,Setophaga magnolia,magwar,Species,33800,,4.00,3,,,
