ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
171111241,Audio,Mourning Dove,Zenaida macroura,,Steven Biggers,2019-08-04,2019,8,4,730,United States,US-SC-091,South Carolina,York,Faulkner Road,35.1051920,-81.2694073,,Call,Not Used,,,,,Zoom H1,,,,S58739271,,,,,,Zenaida macroura,moudov,Species,2373,,4.00,7,,,
64708561,Audio,Mourning Dove,Zenaida macroura,,Robert Bochenek,2017-07-30,2017,7,30,807,United States,US-MI-125,Michigan,Oakland,Halsted Rd.,42.5333873,-83.4191908,Adult,Call,Not Used,,,,,Samsung S7 Cellphone,,,,S38390479,,,,,,Zenaida macroura,moudov,Species,2373,,3.64,11,,,
27058141,Audio,Mourning Dove,Zenaida macroura,,Anonymous,2016-03-27,2016,3,27,1135,United States,US-LA-053,Louisiana,Jefferson Davis,The Lodge At Thornwell,30.0647182,-92.8085124,,Call,Not Used,,,,,Marantz PMD 661,Sennheiser ME 67,,,S28821285,,,,,,Zenaida macroura,moudov,Species,2373,,3.75,8,,,
476564891,Audio,Mourning Dove,Zenaida macroura,,Paul Fenwick,2022-07-14,2022,7,14,1654,United States,US-CA-053,California,Monterey,US-CA-Carmel Valley Village-336 El Caminito Rd,36.4884780,-121.7212130,Adult – 1,Call,Not Used,,,,,MixPre3,Wildtronics,Parabola,,S115143746,,,,,,Zenaida macroura,moudov,Species,2373,,3.83,6,,,
251125461,Audio,Mourning Dove,Zenaida macroura,,Phoebe Barnes,2020-07-22,2020,7,22,1843,United States,US-CA-087,California,Santa Cruz,DeLaveaga Park--east side/Brookwood Dr.,36.9990911,-121.9916296,Adult – 1,Call,Not Used,,,,,iPhone 11 Pro,,,,S71756912,,,,,,Zenaida macroura,moudov,Species,2373,,3.83,6,,,
254532861,Audio,Mourning Dove,Zenaida macroura,Pipilo erythrophthalmus -- Eastern Towhee,Gary Leavens,2020-08-09,2020,8,9,940,United States,US-FL-095,Florida,Orange,Wekiwa Springs SP--Sand Lake Parking,28.7190353,-81.4740985,Adult – 1,Call,Not Used,,,,,,,,,S72251260,,,,,,Zenaida macroura,moudov,Species,2373,,3.83,6,,,
482839691,Audio,Mourning Dove,Zenaida macroura,Peucaea carpalis -- Rufous-winged Sparrow; Callipepla gambelii -- Gambel's Quail,Thomas Barnwell,2022-09-10,2022,9,10,620,United States,US-AZ-021,Arizona,Pinal,"Backyard, Sugar Ln, Tucson US-AZ",32.5377600,-110.8776320,Adult – 1,Call,Not Used,,,,,iPhone 13 Pro,Sennheiser ME66,,,S118430835,,,,,,Zenaida macroura,moudov,Species,2373,,4.00,6,,,
223967541,Audio,Mourning Dove,Zenaida macroura,,valerie heemstra,2020-04-15,2020,4,15,925,United States,US-NY-119,New York,Westchester,Rockefeller SP Preserve--Rockwood Hall,41.1158745,-73.8650465,Adult – 1,Call,Unspecified,,,,,Sound Devices MIXPRE-3,Sennheiser Omni K6,22 inch parabola,,S67289670,,,,Bird about 20 feet up in bare deciduous tree.,,Zenaida macroura,moudov,Species,2373,,3.67,6,,,
622860897,Audio,Mourning Dove,Zenaida macroura,,Rick Keyser,2024-08-17,2024,8,17,1020,United States,US-PA-127,Pennsylvania,Wayne,Upper Delaware SRR--Dillontown,41.8669442,-75.2642602,Adult Male – 1,Call,Not Used,,,,,Tasca DR-05X,,,,S192504436,,,,,"Counter-singing; a paired male making the ""nest-call"" 
 Audio:",Zenaida macroura,moudov,Species,2373,,4.33,3,,,
589962481,Audio,Mourning Dove,Zenaida macroura,Cardinalis cardinalis -- Northern Cardinal,Z .,2023-07-01,2023,7,1,1005,United States,US-NY-047,New York,Kings,Bedford- Stuyvesant,40.6906427,-73.9350649,Juvenile – 1,Call,Unspecified,,,,,iphone,,,,S143225988,,,,"fledgling mourning dove - mostly solo now - calling throughout the day the last week or so. iphone 8"" from the bird making the sound on the other side of the windowscreen","fledgling/juvenile mourning dove making calls all week that stumped me and merlin (e.w. pewee? no) recorded while about 8"" from the iphone feeding at the windowsill (it was still getting fed yesterday by parents, but seems to be in the weening process)",Zenaida macroura,moudov,Species,2373,,3.67,6,,,
163393591,Audio,Mourning Dove,Zenaida macroura,,Colin Sumrall,2019-06-09,2019,6,9,740,United States,US-TN-093,Tennessee,Knox,Melton Hill Park,35.9511223,-84.2392109,Adult,Call,Not Used,,,,,Tascam DR-05,Audio-Technica ATR-6550,,,S57223625,,,,,,Zenaida macroura,moudov,Species,2373,,3.67,6,,,
248659681,Audio,Mourning Dove,Zenaida macroura,Agelaius phoeniceus -- Red-winged Blackbird,Charles Hundertmark,2020-07-10,2020,7,10,822,United States,US-CO-013,Colorado,Boulder,Walden Ponds Wildlife Habitat--Walden & Sawhill Ponds all together,40.0442530,-105.1867721,Unknown – 1,Call,Unspecified,,,,,iPhone 6s,Rode VideoMic Pro,,,S71319087,,,,,,Zenaida macroura,moudov,Species,2373,,3.67,6,,,
148505651,Audio,Mourning Dove,Zenaida macroura,,Gregory Zbitnew,2019-03-29,2019,3,29,817,Canada,CA-ON-OT,Ontario,Ottawa,DEWBERRY TRAIL,45.4084159,-75.5455434,Unknown,Call,Not Used,,,,,Zoom H2N,,,,S54331064,,,,,I did not see the bird. I only heard it.,Zenaida macroura,moudov,Species,2373,,3.57,7,,,
147736541,Audio,Mourning Dove,Zenaida macroura,,Robert O'Connell,2019-03-16,2019,3,16,900,United States,US-ME-005,Maine,Cumberland,The Yardbirds,43.8200080,-70.2723410,Unknown,Call,Not Used,,,,,Zoom H4N Pro,Built In,None,,S53929519,,,,,,Zenaida macroura,moudov,Species,2373,,3.67,6,,,
518056861,Audio,Mourning Dove,Zenaida macroura,,Ethan Kang,2022-12-29,2022,12,29,800,United States,US-PA-045,Pennsylvania,Delaware,Greycar Rion--Front Yard Recording,39.8489410,-75.5180080,,Call,Not Used,,,,,Samsung Galaxy Note 20,,,,S124876302,,,,Wing sound,,Zenaida macroura,moudov,Species,2373,,3.50,6,,,
