ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
356099081,Audio,Mourning Warbler,Geothlypis philadelphia,Passerina cyanea -- Indigo Bunting; Melospiza melodia -- Song Sparrow,Magdalena Z,2021-07-22,2021,7,22,629,Canada,CA-ON-WL,Ontario,Wellington,"7359 Wellington County Road 51, Ariss, Ontario, CA (43.595, -80.342)",43.5951251,-80.3424583,Adult Female – 1,Call,Not Used,,,,,LS11 Olympus,wildtronics mono-stereo,"22"" parabola, headphones",,S92130844,,,,"female seen well; carrying food, foraging low in vegetation; alarmed to my presence; male singing further away but not recorded and not seen","male singing, female carrying food and alarm calling, nestlings chirping; female recorded",Geothlypis philadelphia,mouwar,Species,33729,,5.00,5,,,
249650461,Audio,Mourning Warbler,Geothlypis philadelphia,Vireo olivaceus -- Red-eyed Vireo; Cyanocitta cristata -- Blue Jay; Mniotilta varia -- Black-and-white Warbler; Catharus guttatus -- Hermit Thrush; Seiurus aurocapilla -- Ovenbird,Nathaniel Sharp,2020-07-04,2020,7,4,705,United States,US-VT-023,Vermont,Washington,Bliss Road,44.3788527,-72.4031183,Adult Male – 1,Call; Carrying Food,Not Used,,,,,Roland R-07,,,,S71115414,,,,,,Geothlypis philadelphia,mouwar,Species,33729,,4.60,5,,,
339248821,Audio,Mourning Warbler,Geothlypis philadelphia,,Brad Walker,2021-05-16,2021,5,16,812,United States,US-NY-109,New York,Tompkins,Arnot Forest--Plots at Irish Hill and Morrell Rds,42.2930453,-76.6550678,Adult Male – 1,Call,Used,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S88268740,,,,Response to playback from the Merlin app.,,Geothlypis philadelphia,mouwar,Species,33729,,4.67,3,,,
62616421,Audio,Mourning Warbler,Geothlypis philadelphia,,Jay McGowan,2017-07-04,2017,7,4,708,United States,US-NY-017,New York,Chenango,New Michigan SF--North Rd.,42.5859972,-75.7237172,Adult Male,Call,Not Used,,,,,Marantz PMD 661,Telinga Pro 8,"Telinga 22"" Parabola",,S37967897,,,,Calls from an agitated male with a fledgling nearby. Begging calls from the fledgling audible at 0:23-0:29 as the male dropped down to feed.,"Agitated male at CCC intersection, eventually dropping down to feed an unseen fledgling.",Geothlypis philadelphia,mouwar,Species,33729,,4.67,3,,,
510136441,Audio,Mourning Warbler,Geothlypis philadelphia,,Bettsi Carolina Quintero,2022-12-04,2022,12,4,1630,Venezuela,VE-S,Táchira,,San Rafael de Cordero––arriba de hidrosuroeste,7.8361749,-72.1625495,,Call,Unspecified,,,,,,,,,S123471675,,,,,,Geothlypis philadelphia,mouwar,Species,33729,,4.25,4,,,
472993661,Audio,Mourning Warbler,Geothlypis philadelphia,,William Buswell,2022-08-03,2022,8,3,857,United States,US-NY-053,New York,Madison,Colgate University Forest (Bike and XC Ski Trails),42.8138600,-75.5358439,,Call,Used,,,,,,,,,S116272662,,,,Mourning warbler giving chip calls deep in thickets after playback was used,,Geothlypis philadelphia,mouwar,Species,33729,,4.33,3,,,
472993501,Audio,Mourning Warbler,Geothlypis philadelphia,,William Buswell,2022-08-03,2022,8,3,857,United States,US-NY-053,New York,Madison,Colgate University Forest (Bike and XC Ski Trails),42.8138600,-75.5358439,,Call,Used,,,,,,,,,S116272662,,,,Mourning warbler giving chip calls deep in thickets after playback was used,,Geothlypis philadelphia,mouwar,Species,33729,,4.33,3,,,
620729171,Audio,Mourning Warbler,Geothlypis philadelphia,,David Nicosia,2024-06-22,2024,6,22,852,United States,US-NY-017,New York,Chenango,"Rabbit Path, McDonough, New York, US (42.51, -75.833)",42.5101999,-75.8334383,,Call,Unspecified,,,,,,,,,S183071562,,,,,,Geothlypis philadelphia,mouwar,Species,33729,,5.00,2,,,
447559991,Audio,Mourning Warbler,Geothlypis philadelphia,Thryothorus ludovicianus -- Carolina Wren,Richard Stanton,2022-05-12,2022,5,12,1215,United States,US-MO-019,Missouri,Boone,Twin Lakes Recreation Area,38.9268984,-92.3788834,,Call,Not Used,,,,,,,,,S109788343,,,,Chip notes,,Geothlypis philadelphia,mouwar,Species,33729,,5.00,2,,,
376710121,Audio,Mourning Warbler,Geothlypis philadelphia,,Johan Chaves,2021-10-10,2021,10,10,925,Costa Rica,CR-P,Puntarenas,,"Calle La Platanilla, Tarrazú CR-San José 9.48390, -84.05163",9.4838990,-84.0516330,,Call,Unspecified,,,,,,,,,S95933141,,,,,,Geothlypis philadelphia,mouwar,Species,33729,,5.00,2,,,
107789471,Audio,Mourning Warbler,Geothlypis philadelphia,,Evan Griffis,2018-07-13,2018,7,13,648,United States,US-NY-109,New York,Tompkins,Shindagin Hollow SF--Shindagin Hollow Rd.,42.3338153,-76.3400674,Unknown,Call,Used,,,,,Sound Devices MixPre-3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S47253997,,,,,,Geothlypis philadelphia,mouwar,Species,33729,,5.00,2,,,
