ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
70650131,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Paul Marvin,2015-04-08,2015,4,8,930,United States,US-CA-073,California,San Diego,Kitchen Creek Rd.--creek crossing,32.7523339,-116.4522994,,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S39524413,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,4,,,
573811481,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Carl Hughes,2023-05-12,2023,5,12,700,Canada,CA-BC-OS,British Columbia,Okanagan-Similkameen,"Airbnb Hedges Butte Ranch, Marron Valley Road, (Private Ranch),British Columbia, CA (49.408,",49.4082154,-119.7249751,,Call,Unspecified,,,,,,,,,S137704251,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,5.00,2,,,
483884031,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Lisa Cancade Hackett,2022-09-08,2022,9,8,0,Canada,CA-ON-NP,Ontario,Nipissing,"Oak Ridge Fen, Nipissing County, CA",46.4694099,-79.4953968,Adult – 3,Call; Flight Call,Unspecified,,,,,AudioMoth 1.8.1,,waterproof case,,S118694741,,,,daytime migration,,Leiothlypis ruficapilla,naswar,Species,33704,,4.50,2,,,
482123391,Audio,Nashville Warbler,Leiothlypis ruficapilla,Corvus corax -- Common Raven; Mniotilta varia -- Black-and-white Warbler,Lisa Cancade Hackett,2022-09-05,2022,9,5,24,Canada,CA-ON-NP,Ontario,Nipissing,"Oak Ridge Fen, Nipissing County, CA",46.4694099,-79.4953968,Unknown – 1,Call,Unspecified,,,,,AudioMoth 1.8.1,,waterproof case,,S118290579,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,4.50,2,,,
114967841,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Brad Walker,2018-09-15,2018,9,15,806,United States,US-NY-109,New York,Tompkins,Arnot Forest--Plots at Irish Hill and Morrell Rds,42.2930453,-76.6550678,Unknown,Call,Not Used,,,,,Sound Devices MixPre-3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S48521857,,,,Calls and a chase sequence.,,Leiothlypis ruficapilla,naswar,Species,33704,,4.50,2,,,
198273711,Audio,Nashville Warbler,Leiothlypis ruficapilla,Poecile carolinensis -- Carolina Chickadee; Corthylio calendula -- Ruby-crowned Kinglet; Thryothorus ludovicianus -- Carolina Wren; Pipilo erythrophthalmus -- Eastern Towhee,Tom Reed,2020-01-09,2020,1,9,755,United States,US-NJ-009,New Jersey,Cape May,Cape Island--Cape May Point SP (CMPSP),38.9338272,-74.9550854,Unknown – 1,Call,Unspecified,,,,,,,,,S63202571,,,,"Along upland-marsh interface along yellow trail, at east end of pines; associating with Yellow-rumped Warblers and Ruby-crowned Kinglet.",*rare in Jan; presumably continuing; with YRWAs and RCKI at east edge of pines. audio.,Leiothlypis ruficapilla,naswar,Species,33704,,3.50,4,,,
595980301,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Brian Shulist,2023-07-17,2023,7,17,1017,Canada,CA-ON-RE,Ontario,Renfrew,Wilno; Hwy 60; Wilno Hills Moraine/Kame,45.5042915,-77.5762634,Adult – 1,Call,Not Used,,,,,Samsung Galaxy Tab E Lite: model SM-T113,,,,S145169366,,,,Adult notes while performing a broken wing distraction display on the ground. Probably a female.,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
482129471,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Lisa Cancade Hackett,2022-09-06,2022,9,6,16,Canada,CA-ON-NP,Ontario,Nipissing,"Oak Ridge Fen, Nipissing County, CA",46.4694099,-79.4953968,Unknown – 1,Call,Unspecified,,,,,AudioMoth 1.8.1,,waterproof case,,S118291915,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
482123361,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Lisa Cancade Hackett,2022-09-05,2022,9,5,24,Canada,CA-ON-NP,Ontario,Nipissing,"Oak Ridge Fen, Nipissing County, CA",46.4694099,-79.4953968,Unknown – 1,Call,Unspecified,,,,,AudioMoth 1.8.1,,waterproof case,,S118290579,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
467500771,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Alex Lamoreaux,2017-02-22,2017,2,22,1230,United States,US-FL-001,Florida,Alachua,*Snake Pit (private residence),29.6492346,-82.3102677,Female – 1,Call,Not Used,,,,,iPhone 5S,,,,S34645670,,,,,Continuing female calling and feeding on jelly. Recording and photos.,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
274380871,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Brad Walker,2020-09-11,2020,9,11,724,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Unknown – 1,Call,Unspecified,,,,,Sound Devices Mix-Pre 3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S73452598,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
242243241,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Richard Ackley,2020-06-09,2020,6,9,711,United States,US-CA-061,California,Placer,Blackwood Canyon,39.1044422,-120.2012615,,Call; Foraging or Eating,Not Used,,,,,,,,,S70254551,,,,Seemed to be common in the area just uphill from the street blocking guard (preventing motor access) just past the bridge. This is a recording of a single bird's call note.,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
243083621,Audio,Nashville Warbler,Leiothlypis ruficapilla,,David M. Bell,2020-05-09,2020,5,9,1848,Canada,CA-BC-CO,British Columbia,Central Okanagan,Rose Valley Regional Park,49.8916707,-119.5683331,Unknown – 1,Call,Not Used,,,,,Samsung Galaxy S7,,,,S68777378,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,3.67,3,,,
626831149,Audio,Nashville Warbler,Leiothlypis ruficapilla,Euphonia godmani -- West Mexican Euphonia,Garrett MacDonald,2024-11-18,2024,11,18,837,Mexico,MX-COL-007,Colima,Manzanillo,Camino Playa del Oro--Inland Side,19.1544000,-104.5051590,,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S202925970,,,,,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
250159421,Audio,Nashville Warbler,Leiothlypis ruficapilla,,Matthew D. Medler,2020-06-28,2020,6,28,820,United States,US-NY-019,New York,Clinton,Gadway Sandstone Pavement Barrens Preserve,44.9514006,-73.7537373,Adult – 1,Call,Not Used,,,,,Sound Devices MixPre-3,Telinga Pro 6,"Telinga 22"" parabola",,S70939966,,,,Recorded at 1140.,,Leiothlypis ruficapilla,naswar,Species,33704,,4.00,2,,,
