ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
337365371,Audio,Northern Cardinal,Cardinalis cardinalis,,James (Jim) Holmes,2021-04-29,2021,4,29,1805,United States,US-FL-087,Florida,Monroe,Key Largo Hammocks State Botanical Site,25.1758333,-80.3694444,Adult Male – 1,Call,Unspecified,,,,,Olympus LS11,Sennheiser ME67,,,S86685885,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,12,,,
81497091,Audio,Northern Cardinal,Cardinalis cardinalis,,Tom Reed,2018-01-11,2018,1,11,725,United States,US-NJ-009,New Jersey,Cape May,Cape Island--Cape May Point SP (CMPSP),38.9338272,-74.9550854,,Call,Not Used,,,,,Roland R-26,Sennheiser ME67,,,S41819060,,,,,,Cardinalis cardinalis,norcar,Species,34224,,4.36,11,,,
101113031,Audio,Northern Cardinal,Cardinalis cardinalis,,James (Jim) Holmes,2018-05-20,2018,5,20,619,United States,US-DC-001,District of Columbia,District of Columbia,Kenilworth Park and Aquatic Gardens,38.9133204,-76.9443433,Adult Male,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S45852739,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,5,,,
249823,Audio,Northern Cardinal,Cardinalis cardinalis,,Wil Hershberger,2015-05-28,2015,5,28,1940,United States,US-WV-003,West Virginia,Berkeley,"First Hairpin, Sleepy Creek Rd, SCWMA, Hedgesville US-WV (39.4980,-78.1373)",39.4979910,-78.1373220,Adult Male – 1,Call,Unspecified,,,,,Sound Devices 702,Telinga DAT Pro 7,Telinga Parabola,,,,,,"Sleepy Creek road 0.5 miles west of ranger station. ""Adult male Northern Cardinal giving chip calls. Habitat: Deciduous woods. Distance: 9 meters. Equipment note: Telinga Pro 7 HPF on.""",,Cardinalis cardinalis,norcar,Species,34224,,5.00,5,,,
310448821,Audio,Northern Cardinal,Cardinalis cardinalis,Thryothorus ludovicianus -- Carolina Wren,Tom Marvel,2021-02-22,2021,2,22,631,United States,US-FL-021,Florida,Collier,Picayune Strand SF--Belle Mead Horse Trail,26.1406552,-81.6538940,Adult Female – 1,Call,Not Used,,,,,Sound Device MixPre 3,Rode NTG 2,,,S82145880,,,,Chip note is from female. ,,Cardinalis cardinalis,norcar,Species,34224,,4.38,8,,,
612541661,Audio,Northern Cardinal,Cardinalis cardinalis,,David Drews,2023-12-22,2023,12,22,1640,United States,US-WI-049,Wisconsin,Iowa,6681 Leaches Crossing Rd-General,43.1385372,-90.2349761,Adult – 1,Call; Mechanical Sound,Unspecified,,,,,ZoomF3,Rode NTG2,,,S156895982,,,,"Nearly dark. Bird calling from bushes after I apparently disturbed it by walking by. Moving from spot to spot on occasion, but never far.","One at the feeders at the outset. Two (perhaps one) rustled then called from shrubs in the draw within a few meters of me as I walked by. Recorded with Merlin on an iPhone using its internal mic and also with a Zoom F3 and Rode NTG2 shotgun mic. No headphones, so I couldn't be sure the mic was optimally positioned or if I was generating handling noise. The evening was quiet overall, so it could make for an interesting experiment. The iPhone recording and one of the Zoom/Rode recordings overlap.",Cardinalis cardinalis,norcar,Species,34224,,5.00,3,,,
284999651,Audio,Northern Cardinal,Cardinalis cardinalis,,Jeff Graham,2020-12-03,2020,12,3,841,United States,US-FL-019,Florida,Clay,Clay - Crowbar (private residence),30.1764870,-81.7073650,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Roland R-26,Sennheiser ME-62,"Parabola, MK2",,S77029741,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,3,,,
282216971,Audio,Northern Cardinal,Cardinalis cardinalis,,Mike Austin,2020-11-23,2020,11,23,657,United States,US-TX-201,Texas,Harris,BellaVita Neighborhood (access limited),29.5614783,-95.2287318,Adult Male – 1,Call,Used,,,,,iPhone 10,,,,S76589446,,,,,,Cardinalis cardinalis,norcar,Species,34224,,5.00,3,,,
234566771,Audio,Northern Cardinal,Cardinalis cardinalis,,Mark Greene,2020-05-13,2020,5,13,1815,United States,US-TN-053,Tennessee,Gibson,Mt. Orange--Greene Yard,35.9563584,-88.9985061,Adult Male – 1,Call,Unspecified,,,,,,,,,S69011099,,,,Alarm notes from a male cardinal in response to a Gray Ratsnake that was in the bush where their nest was.,,Cardinalis cardinalis,norcar,Species,34224,,5.00,3,,,
601692801,Audio,Northern Cardinal (Common),Cardinalis cardinalis [cardinalis Group],Poecile atricapillus -- Black-capped Chickadee; Turdus migratorius -- American Robin,Bill Tollefson,2023-07-09,2023,7,9,1047,United States,US-IA-113,Iowa,Linn,Chain Lakes County Park,42.0524156,-91.7682409,Adult – 1,Call,Not Used,,,,,,,,,S144035455,,,,,,Cardinalis cardinalis,norcar1,Group,34225,,4.67,3,,,
