ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
534481,Audio,Northern Flicker,Colaptes auratus,,Wil Hershberger,2017-07-07,2017,7,7,1844,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5751881,-78.0568421,Immature – 4,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 62,,,,,26.7,,"Microphone, on boom, inserted into the nest box hole to simulate the arrival of a parent. This stimulated the nestlings to begin begging vocalizations. Some say this sounds like a rattle snake. Physical inspection of the nest box revealed 4 nestlings. Other Behaviors: Beg. Equipment Notes: Me 62 with no windscreen.",,Colaptes auratus,norfli,Species,11785,,4.70,10,,,
409396031,Audio,Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,,Jeff Ellerbusch,2022-01-22,2022,1,22,836,United States,US-NJ-035,New Jersey,Somerset,Fairview Farm Wildlife Preserve,40.7022581,-74.6996035,,Call,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S101211976,,,,"""kleer"" calls",,Colaptes auratus,yesfli,Group,11788,,4.88,8,,,
590040831,Audio,Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,Junco hyemalis hyemalis/carolinensis -- Dark-eyed Junco (Slate-colored); Cyanocitta cristata -- Blue Jay,Vyom Vyas,2023-07-01,2023,7,1,843,United States,US-NY-109,New York,Tompkins,"Columbia Street Park, Ithaca, New York, US",42.4358405,-76.4965614,Adult – 1,Call,Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" Parabola",,S143220527,,,,,,Colaptes auratus,yesfli,Group,11788,,5.00,7,,,
534491,Audio,Northern Flicker,Colaptes auratus,,Wil Hershberger,2017-07-12,2017,7,12,1342,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5751881,-78.0568421,Immature – 4,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 62,,,,,26.7,,"Microphone, on boom, inserted into the nest box hole to simulate the arrival of a parent. This stimulated the nestlings to begin begging vocalizations. Some say this sounds like a rattle snake. Physical inspection of the nest box revealed 4 nestlings. Other Behaviors: Beg. Equipment Notes: Me 62 with no windscreen.",,Colaptes auratus,norfli,Species,11785,,4.71,7,,,
608827017,Audio,Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,,Trenton Voytko,2023-09-14,2023,9,14,550,United States,US-MA-023,Massachusetts,Plymouth,Manomet Conservation Sciences,41.9210050,-70.5442548,Immature Male – 1,Call,Unspecified,,,,,,,,,S149880054,,,,In-hand audio of a very ornery HY/FPF male YSFL.,,Colaptes auratus,yesfli,Group,11788,,5.00,5,,,
534480,Audio,Northern Flicker,Colaptes auratus,,Wil Hershberger,2017-07-04,2017,7,4,1359,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5751881,-78.0568421,Immature – 4,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 66,,,,,32.0,,"Microphone, on boom, inserted into the nest box hole to simulate the arrival of a parent. This stimulated the nestlings to begin begging vocalizations. Some say this sounds like a rattle snake. Physical inspection of the nest box revealed 4 nestlings. Other Behaviors: Beg. Equipment Notes: ME 66 with foam windscreen.",,Colaptes auratus,norfli,Species,11785,,4.67,6,,,
227575171,Audio,Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,Setophaga pinus -- Pine Warbler; Spinus tristis -- American Goldfinch,Gordon Smith,2020-04-26,2020,4,26,815,United States,US-ME-005,Maine,Cumberland,Otter Brook Preserve (HHLT),43.8282310,-69.9603369,Adult Male – 1,Call; Mechanical Sound,Not Used,,,,,Tascam DR-05X,Wildtronics Pro Amplified Mono Parabolic Microphone,"Wildtronics 22"" Parabola, Secondary Windscreen",,S67850886,,,,,"Calling, drumming.",Colaptes auratus,yesfli,Group,11788,,4.60,5,,,
534407,Audio,Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,,Wil Hershberger,2017-06-04,2017,6,4,1321,United States,US-WV-003,West Virginia,Berkeley,1.5 km WSW of Johnsontown,39.5751881,-78.0568421,Adult Female – 1; Adult Male – 1,Call; Mechanical Sound,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,26.0,,"Male doing typical, low amplitude drumming from within and on the outside of nest box while female is away. Female arrives giving wicka calls, male comes out of box and flies away.
 Compilation of 2 recordings of copulations, ends at 1404hours. Other Behaviors: Bill Drumming. Equipment Notes: SD 702 HPF on at 80Hz, -12 dB/octave.",,Colaptes auratus,yesfli,Group,11788,,4.33,6,,,
590123071,Audio,Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,Chaetura pelagica -- Chimney Swift,Vyom Vyas,2023-07-01,2023,7,1,843,United States,US-NY-109,New York,Tompkins,"Columbia Street Park, Ithaca, New York, US",42.4358405,-76.4965614,Adult – 1,Call,Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" Parabola",,S143220527,,,,,,Colaptes auratus,yesfli,Group,11788,,4.60,5,,,
96504551,Audio,Northern Flicker (Yellow-shafted),Colaptes auratus auratus/luteus,,Robert Bochenek,2018-04-25,2018,4,25,1214,United States,US-MI-125,Michigan,Oakland,Robert H. Long Park,42.5271345,-83.4507015,Adult,Call,Not Used,,,,,Olympus DM620,Bionic Ear,Parabolic Dish,,S44933781,,,,,,Colaptes auratus,yesfli,Group,11788,,4.14,7,,,
