ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
451232651,Audio,Northern Mockingbird,Mimus polyglottos,,James (Jim) Holmes,2022-05-08,2022,5,8,1738,United States,US-LA-023,Louisiana,Cameron,Willow Island,29.7842689,-93.2224274,Adult – 1,Call,Not Used,,,,,MixPre3 II,Wildtronics Pro Mono,Parabolic Dish,,S109412049,,,,Call with recently fledged young very close.  Contact call with young? ,,Mimus polyglottos,normoc,Species,27870,,4.86,7,,,
523915721,Audio,Northern Mockingbird,Mimus polyglottos,Passer domesticus -- House Sparrow; Cardinalis cardinalis -- Northern Cardinal; Melospiza melodia -- Song Sparrow,James Remsen,2022-07-24,2022,7,24,534,United States,US-NY-103,New York,Suffolk,"138 Captains Dr, West Babylon US-NY 40.68261, -73.34692",40.6826110,-73.3469160,Adult – 1,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" Parabola",,S115658163,,,,One of three birds seen; calling repeatedly as I approached; dive-bombed me twice. Possible defense of nest or food supply in a nearby shrub.  Normalized to -3 dB except for voice announcement at -10 dB. 24-bit/48 kHz WAV file edited with Ocenaudio. Unfiltered.,Calling repeatedly as I approached; dive-bombed me twice.  Possible defense of nest or food supply in a nearby shrub.,Mimus polyglottos,normoc,Species,27870,,5.00,5,,,
160887431,Audio,Northern Mockingbird,Mimus polyglottos,,Ronan Nicholson,2019-05-25,2019,5,25,1300,United States,US-CA-067,California,Sacramento,Home,38.4948050,-121.5493333,,Call,Not Used,,,,,iPhone SE,,,,S56738954,,,,,,Mimus polyglottos,normoc,Species,27870,,5.00,5,,,
549926681,Audio,Northern Mockingbird,Mimus polyglottos,,James (Jim) Holmes,2023-03-08,2023,3,8,650,United States,US-CA-113,California,Yolo,Putah Creek--fishing access #3,38.5164914,-122.0607769,,Call,Not Used,,,,,MixPre 3 II,Wildtronics Pro Mono,Parabolic Dish,,S130495079,,,,,,Mimus polyglottos,normoc,Species,27870,,5.00,4,,,
203887251,Audio,Northern Mockingbird,Mimus polyglottos,,Joe Angseesing,2016-05-14,2016,5,14,0,Cuba,CU-04,Matanzas,,"Varadero Peninsula (23.1646, -81.2272)",23.1646000,-81.2272000,,Call,Unspecified,,,,IBC1138080,,,,,S64981410,,,,"Alarm calls directed at Grackles in the same tree. Elevation: 8 m. Date added to IBC: June 22, 2016.",IBC scientific name: Mimus polyglottos orpheus.,Mimus polyglottos,normoc,Species,27870,,5.00,4,,,
391237391,Audio,Northern Mockingbird,Mimus polyglottos,,Lisa Cancade Hackett,2021-11-16,2021,11,16,1052,United States,US-TX-215,Texas,Hidalgo,Valley Nature Ctr. (LTC 057),26.1588247,-97.9975734,Adult – 1,Call,Unspecified,,,,,Zoom H4n Pro,Sennheiser MKE 600,,,S97669540,,,,,Audio,Mimus polyglottos,normoc,Species,27870,,5.00,3,,,
160702331,Audio,Northern Mockingbird,Mimus polyglottos,,Ronan Nicholson,2019-05-24,2019,5,24,1300,United States,US-CA-067,California,Sacramento,Home,38.4948050,-121.5493333,,Call,Not Used,,,,,iPhone SE,,,,S56702824,,,,,,Mimus polyglottos,normoc,Species,27870,,5.00,3,,,
29565001,Audio,Northern Mockingbird,Mimus polyglottos,,Rafael Vergara,2016-05-14,2016,5,14,710,United States,US-FL-095,Florida,Orange,Middleton Ave,28.5907360,-81.3188190,,Call,Unspecified,,,,,Zoom H2n,Audio-Technica ATR-6550,,,S29973049,,,,,,Mimus polyglottos,normoc,Species,27870,,3.46,26,,,
97649901,Audio,Northern Mockingbird,Mimus polyglottos,,James (Jim) Holmes,2018-05-02,2018,5,2,539,United States,US-CA-067,California,Sacramento,U Street x 42nd Street,38.5569413,-121.4561635,,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S45168975,,,,,,Mimus polyglottos,normoc,Species,27870,,3.83,6,,,
627136933,Audio,Northern Mockingbird,Mimus polyglottos,Zonotrichia leucophrys -- White-crowned Sparrow,Kriss Replogle,2024-12-05,2024,12,5,1019,United States,US-NJ-035,New Jersey,Somerset,Duke Farms IBA,40.5447050,-74.6240220,Adult – 1,Call,Not Used,,,,,IPhoneSE,,,,S204523715,,,,,one calling loudly from 10m away.  A different one allowed approach to within 2m for photographing,Mimus polyglottos,normoc,Species,27870,,4.67,3,,,
461055861,Audio,Northern Mockingbird,Mimus polyglottos,,Alex Lin-Moore,2022-06-17,2022,6,17,1211,United States,US-RI-007,Rhode Island,Providence,Waybaussett Neck & Upper Providence River,41.8221469,-71.4065884,Adult – 1,Call,Not Used,,,,,,,,,S113123385,,,,,,Mimus polyglottos,normoc,Species,27870,,4.67,3,,,
203918441,Audio,Northern Mockingbird,Mimus polyglottos,,Josep del Hoyo,2017-06-21,2017,6,21,0,United States,US-FL-097,Florida,Osceola,Three Lakes WMA--Prairie Lakes Unit,27.9123525,-81.1302567,,Call,Unspecified,,,,IBC1522824,,,,,S64823647,,,,"Calls of a bird. Elevation: 21 m. Date added to IBC: October 17, 2018.",IBC scientific name: Mimus polyglottos polyglottos.,Mimus polyglottos,normoc,Species,27870,,4.00,4,,,
239201,Audio,Northern Mockingbird,Mimus polyglottos,,Wil Hershberger,2015-03-23,2015,3,23,1924,United States,US-WV-003,West Virginia,Berkeley,"Hunt Club Property off of Paxton Cut Road, 3 km NNW of Hedgesville",39.5779340,-78.0084900,Adult – 1,Call,Unspecified,,,,,Sound Devices 702,Telinga Stereo DAT Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,4.0,,Adult Northern Mockingbird giving calls from the top of Eastern Red Cedar at 15 meters while going to roost for the evening. Temperature: 4C. Telinga Pro 7 HPF on. Elevation: 128 m. Confidence in Identification: 100%. How Identified: Sight and Sound.,,Mimus polyglottos,normoc,Species,27870,,4.00,4,,,
292453501,Audio,Northern Mockingbird,Mimus polyglottos,,Julia Plummer,2020-12-30,2020,12,30,656,United States,US-PA-027,Pennsylvania,Centre,Woodward Farmland,40.9131883,-77.3626328,Adult – 1,Call,Not Used,,,,,Zoom F1,SGH-6,,,S78258179,,,,,,Mimus polyglottos,normoc,Species,27870,,4.00,4,,,
20601691,Audio,Northern Mockingbird,Mimus polyglottos,,Paul Marvin,2015-10-27,2015,10,27,712,United States,US-FL-009,Florida,Brevard,Merritt Island NWR--Pine Flatwoods Trail,28.7696529,-80.7869339,,Call,Not Used,,,,,,,,,S25572395,,,,perched in the open,,Mimus polyglottos,normoc,Species,27870,,4.00,4,,,
