ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
180403131,Audio,Northern Parula,Setophaga americana,Mimus polyglottos -- Northern Mockingbird; Riccordia ricordii -- Cuban Emerald; Polioptila caerulea -- Blue-gray Gnatcatcher; Turdus plumbeus -- Red-legged Thrush; Gallus gallus (Domestic type) -- Red Junglefowl (Domestic type); Gallinula galeata -- Common Gallinule,Jorge Guerra,2019-10-04,2019,10,4,1109,Cuba,CU-03,La Habana,,"Canteras Margarita, Cotorro",23.0513247,-82.2591884,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Huawei Y360-U31 smartphone,,,,S60341079,,,,,,Setophaga americana,norpar,Species,33784,,4.50,4,,,
101411081,Audio,Northern Parula,Setophaga americana,,Jeff Graham,2018-05-20,2018,5,20,1626,United States,US-FL-089,Florida,Nassau,Fort Clinch SP,30.6979000,-81.4314000,Juvenile,Call,Not Used,,,,,Roland R26,Sennheiser ME66,Windscreen,,S45874297,,,,,,Setophaga americana,norpar,Species,33784,,3.67,12,,,
348537371,Audio,Northern Parula,Setophaga americana,,Jerred Seveyka,2021-04-25,2021,4,25,1559,United States,US-FL-037,Florida,Franklin,Tate's Hell SF--Ralph G Kendrick Boardwalk,29.8348482,-84.7932824,,Call,Not Used,,,,,Tascam DR05,Wildtronics Pro Mono Amplified,Parabola,,S86385986,,,,Chips,,Setophaga americana,norpar,Species,33784,,4.67,3,,,
101410861,Audio,Northern Parula,Setophaga americana,,Jeff Graham,2018-05-20,2018,5,20,1626,United States,US-FL-089,Florida,Nassau,Fort Clinch SP,30.6979000,-81.4314000,Adult Male,Call,Not Used,,,,,Roland R26,Sennheiser ME66,Windscreen,,S45874297,,,,,,Setophaga americana,norpar,Species,33784,,4.67,3,,,
112265251,Audio,Northern Parula,Setophaga americana,,Kai Frueh,2018-07-26,2018,7,26,551,United States,US-MO-151,Missouri,Osage,Hope Farm,38.5230960,-91.6598690,,Call,Not Used,,,,,iPhone 4s,,,,S47464479,,,,,,Setophaga americana,norpar,Species,33784,,5.00,2,,,
485256371,Audio,Northern Parula,Setophaga americana,Empidonax virescens -- Acadian Flycatcher,James (Jim) Holmes,2022-09-17,2022,9,17,915,United States,US-AL-087,Alabama,Macon,Tuskegee NF,32.4772221,-85.6083779,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S118897922,,,,,,Setophaga americana,norpar,Species,33784,,4.00,3,,,
197599001,Audio,Northern Parula,Setophaga americana,Setophaga adelaidae -- Adelaide's Warbler; Tyrannus dominicensis -- Gray Kingbird; Coereba flaveola -- Bananaquit; Coccyzus minor -- Mangrove Cuckoo; Coccyzus vieilloti -- Puerto Rican Lizard-Cuckoo,Alcides L. Morales Pérez,2020-01-01,2020,1,1,738,Puerto Rico,PR-QB,Quebradillas,,"Calle Alicea, Quebradillas, Quebradillas, PR (18.465, -66.951)",18.4653391,-66.9514307,Male – 1,Call; Foraging or Eating,Not Used,,,,,Marantz PMD661 MKIII,Sennheizer ME67,,,S62835993,,,,,,Setophaga americana,norpar,Species,33784,,4.00,3,,,
611566002,Audio,Northern Parula,Setophaga americana,Setophaga ruticilla -- American Redstart,Brian Sullivan,2023-11-24,2023,11,24,636,Bahamas,BS-MH,"Central Abaco, Hope Town and Green Turtle Cay",,Elbow Cay--North End,26.5530903,-76.9594753,,Call,Used,,,,,Zoom F3,Wildtronics Parabola Mic,Feather Light Dish,,S155091863,,,,Aggressive chips given in response to Black-capped Chickadee mob tape.,Counted individually,Setophaga americana,norpar,Species,33784,,4.50,2,,,
600318411,Audio,Northern Parula,Setophaga americana,,Liam Ragan,2023-08-04,2023,8,4,853,Canada,CA-BC-CP,British Columbia,Capital,Rocky Point Bird Observatory (no public access),48.3198007,-123.5471500,Adult Male – 1,Call,Not Used,,,,,iPhone 13 Pro,None,None,,S146440032,,,,,"Continuing bird found over a week ago by David Bell. Unmistakable chalk blue top, yellow throat and white belly. Continuing to moult as previously noted, down to a single tail feather. Have photos and audio, and I’ll upload. Seen a bit south of previous sitings at a single scrubby aspen before flying into a Garry Oak. Aspen location at48.3225048, -123.5415870",Setophaga americana,norpar,Species,33784,,4.50,2,,,
350753681,Audio,Northern Parula,Setophaga americana,,Wil Hershberger,2021-06-23,2021,6,23,425,United States,US-NH-007,New Hampshire,Coos,"White Mountain National Forest, Jefferson US-NH 44.30000, -71.45504",44.3000020,-71.4550420,Adult Female – 1; Adult Male – 1; Juvenile – 2,Call; Feeding Young,Not Used,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S90635320,,,,"Behavior and other notes: Adult male and female Northern Parula giving calls while approaching and leaving a nest and feeding the young in the nest. The nestlings give calls while being fed and for a short time after the parents leave. See the announcements in the recordings for details of behavior and distance for each cut. Recorder HPF on at 80 Hz, -12 dB/octave. Distance to source: 4.5 meters. Recording Time: 0734 (UTC -4). Temperature 7.8°C. Habitat: spruce/fir/deciduous forest . Specific location: Old Cherry Mtn. road at the pond., Coos Co., New Hampshire. Latitude 44.30000, Longitude -71.45504. Elevation 628 meters. ID’d by: Sight and sound 100%. Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordist original file name: WH_21T1167-1168_Northern Parula female feeding nestlings_Coos Co NH_ML.wav",Two adults and at least three nestlings.,Setophaga americana,norpar,Species,33784,,4.50,2,,,
192275431,Audio,Northern Parula,Setophaga americana,,Andrés M. Cuervo,2019-12-09,2019,12,9,631,Colombia,CO-CUN,Cundinamarca,,Parque La Florida,4.7302826,-74.1493195,Adult – 1,Call; Foraging or Eating,Used,,,,,Marantz PMD661 MKII, Sennheiser ME62-K6,"Telinga 22"" Parabola",,S62173128,,,,08:34 hrs. Likely same individual as in 29 November 2019. https://macaulaylibrary.org/asset/190484111,"Likely same  individual as in 29 November 2019, at exact same trees
 https://macaulaylibrary.org/asset/190484111",Setophaga americana,norpar,Species,33784,,4.50,2,,,
181382991,Audio,Northern Parula,Setophaga americana,Agelaius humeralis -- Tawny-shouldered Blackbird; Sturnella magna hippocrepis -- Eastern Meadowlark (Cuban); Setophaga dominica albilora -- Yellow-throated Warbler (albilora); Turdus plumbeus -- Red-legged Thrush; Polioptila caerulea -- Blue-gray Gnatcatcher; Mimus polyglottos -- Northern Mockingbird; Lonchura punctulata -- Scaly-breasted Munia; Porphyrio martinica -- Purple Gallinule,Jorge Guerra,2019-10-09,2019,10,9,850,Cuba,CU-16,Mayabeque,,"Finca San Juan, San José de las Lajas",23.0259436,-82.2217679,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Huawei Y360-U31 smartphone,,,,S60477258,,,,,,Setophaga americana,norpar,Species,33784,,4.50,2,,,
89905831,Audio,Northern Parula,Setophaga americana,,Paul Marvin,2018-03-15,2018,3,15,645,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,,Call; Flight Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S43677518,,,,pair flew from nearby tree and circled over me while heavily interacting in flight,,Setophaga americana,norpar,Species,33784,,3.67,3,,,
611566003,Audio,Northern Parula,Setophaga americana,,Brian Sullivan,2023-11-24,2023,11,24,636,Bahamas,BS-MH,"Central Abaco, Hope Town and Green Turtle Cay",,Elbow Cay--North End,26.5530903,-76.9594753,,Call,Used,,,,,Zoom F3,Wildtronics Parabola Mic,Feather Light Dish,,S155091863,,,,,Counted individually,Setophaga americana,norpar,Species,33784,,4.00,2,,,
609131469,Audio,Northern Parula,Setophaga americana,Setophaga virens -- Black-throated Green Warbler,Tom Marvel,2023-09-22,2023,9,22,616,United States,US-MA-001,Massachusetts,Barnstable,"High Head, Pilgrim Heights",42.0563031,-70.1161194,Adult – 1,Call; Flight Call; Flying; Foraging or Eating,Not Used,,,,,Sound Device MixPre 3,Wildtronics Pro Mono,"22"" parabola",,S150471216,,,,"Chips at 6,30s. Flight calls 28,32,and 36s. NOPA flight call is the descending one, BTGW ascending.",Cool side by side comparison of chip and flight calls of NOPA and BTGW. This is the same audio file used for BTGW.,Setophaga americana,norpar,Species,33784,,4.00,2,,,
