ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
610452056,Audio,Northern Waterthrush,Parkesia noveboracensis,,Paul Marvin,2023-10-27,2023,10,27,949,United States,US-CA-073,California,San Diego,Dairy Mart Ponds,32.5542770,-117.0629789,,Call,Not Used,,,,,,,,,S153169488,,,,,"Continuing, I 1st briefly heard one at the south pond then I heard & saw one at the main pond not far from the wooden platform overlook, recorded",Parkesia noveboracensis,norwat,Species,33676,,5.00,5,,,
390259141,Audio,Northern Waterthrush,Parkesia noveboracensis,,James (Jim) Holmes,2021-11-22,2021,11,22,731,United States,US-FL-087,Florida,Monroe,Harry Harris County Park,25.0241667,-80.4950000,,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S97932221,,,,,,Parkesia noveboracensis,norwat,Species,33676,,4.67,6,,,
89305051,Audio,Northern Waterthrush,Parkesia noveboracensis,,James (Jim) Holmes,2014-12-07,2014,12,7,1035,Bahamas,BS-SP,South Abaco and Moore's Island,,Abaco--Sandy Point,26.0250877,-77.3985100,,Call,Not Used,,,,,Olympus LS11,Sennheierser ME66,,,S20901122,,,,,"Sandy Point, voice recorded",Parkesia noveboracensis,norwat,Species,33676,,4.20,5,,,
492621331,Audio,Northern Waterthrush,Parkesia noveboracensis,,Joey McCracken,2022-10-10,2022,10,10,1515,United States,US-WA-057,Washington,Skagit,Skagit Wildlife Area--Wylie Slough,48.3246351,-122.3741287,,Call,Unspecified,,,,,,,,,S120430503,,,,,"Took 43 minutes for it to finally call. Was on both sides on the ""private road"" at (48.3249082, -122.3734125) photos were better than audio but both were recorded",Parkesia noveboracensis,norwat,Species,33676,,5.00,3,,,
486874651,Audio,Northern Waterthrush,Parkesia noveboracensis,,James (Jim) Holmes,2022-09-21,2022,9,21,1029,United States,US-CA-041,California,Marin,Pt. Reyes--Mendoza Ranch (B Ranch),38.0164178,-122.9882956,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S119166699,,,,,"Initially heard calling ""chink""
 Obvious waterthrush with characteristic tail bobbing when walking on limb, throat with spots, slight buff to white eyebrow",Parkesia noveboracensis,norwat,Species,33676,,5.00,3,,,
365840311,Audio,Northern Waterthrush,Parkesia noveboracensis,,Magdalena Z,2021-09-01,2021,9,1,1551,Canada,CA-ON-WL,Ontario,Wellington,Puslinch--Smith Property Loop Trail,43.5498467,-80.1805294,Unknown – 1,Call,Not Used,,,,,LS11 Olympus,mono-stereo wildtronics,"22"" parabola",,S94053125,,,,calling,,Parkesia noveboracensis,norwat,Species,33676,,5.00,3,,,
114690401,Audio,Northern Waterthrush,Parkesia noveboracensis,,Chris Neri,2018-09-12,2018,9,12,815,United States,US-MI-033,Michigan,Chippewa,Whitefish Point,46.7706876,-84.9569493,,Call,Not Used,,,,,,,,,S48470404,,,,"Starts off with one bird, then second comes in.",,Parkesia noveboracensis,norwat,Species,33676,,4.25,4,,,
390259021,Audio,Northern Waterthrush,Parkesia noveboracensis,,James (Jim) Holmes,2021-11-22,2021,11,22,731,United States,US-FL-087,Florida,Monroe,Harry Harris County Park,25.0241667,-80.4950000,,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S97932221,,,,,,Parkesia noveboracensis,norwat,Species,33676,,4.67,3,,,
372579361,Audio,Northern Waterthrush,Parkesia noveboracensis,,David Garrigues,2021-09-24,2021,9,24,600,Costa Rica,CR-A,Alajuela,,Belén (casa),9.9796735,-84.1971427,Adult – 1,Call; Foraging or Eating,Unspecified,,,,,Telefono,,,,S95107198,,,,,,Parkesia noveboracensis,norwat,Species,33676,,4.67,3,,,
488852791,Audio,Northern Waterthrush,Parkesia noveboracensis,,James (Jim) Holmes,2022-09-29,2022,9,29,841,United States,US-CA-081,California,San Mateo,Pillar Point Harbor--Denniston Creek mouth and riparian corridor,37.5038395,-122.4873089,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S119660936,,,,,"continuing 37.504104,-122.486913 calling, chink, voice recorded",Parkesia noveboracensis,norwat,Species,33676,,4.00,4,,,
609253637,Audio,Northern Waterthrush,Parkesia noveboracensis,Thryothorus ludovicianus -- Carolina Wren; Corvus brachyrhynchos -- American Crow; Cardinalis cardinalis -- Northern Cardinal; Baeolophus bicolor -- Tufted Titmouse,Avery Fish,2023-09-23,2023,9,23,638,United States,US-TN-029,Tennessee,Cocke,Rankin Bottoms,36.0749314,-83.2377970,,Call,Unspecified,,,,,iPhone 13,,,,S150558612,,,,,Minimum. 3 seen together,Parkesia noveboracensis,norwat,Species,33676,,4.25,4,,,
361723121,Audio,Northern Waterthrush,Parkesia noveboracensis,,Nick Tepper,2021-08-16,2021,8,16,750,United States,US-MA-001,Massachusetts,Barnstable,"Fort Hill, Eastham",41.8187920,-69.9644995,Immature – 1,Call; Foraging or Eating,Not Used,,,,,Zoom H4n,Sennheiser ME66,,,S93315821,,,,Flushed from under boardwalk then chipped constantly and teed up for pix in response to pishing,,Parkesia noveboracensis,norwat,Species,33676,,4.00,4,,,
177472381,Audio,Northern Waterthrush,Parkesia noveboracensis,,Jay Carroll,2019-09-16,2019,9,16,1255,United States,US-CA-079,California,San Luis Obispo,Pecho Road Willows,35.3170687,-120.8527100,,Call,Unspecified,,,,,,,,,S59859696,,,,"Northern Waterthrush, Los Osos, San Luis Obispo Co., CA, 9-16-19.",continuing bird,Parkesia noveboracensis,norwat,Species,33676,,4.00,4,,,
