ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
79318871,Audio,Orange-crowned Warbler,Leiothlypis celata,,Martina Nordstrand,2017-12-24,2017,12,24,658,United States,US-NC-179,North Carolina,Union,US-North Carolina-Monroe- Brick Yard Rd - 35.04x-80.626,35.0395784,-80.6261408,,Call,Unspecified,,,,,,,,,S41284114,,,,,,Leiothlypis celata,orcwar,Species,33696,,4.67,6,,,
613463854,Audio,Orange-crowned Warbler,Leiothlypis celata,,James (Jim) Holmes,2024-01-11,2024,1,11,705,United States,US-TX-061,Texas,Cameron,Resaca de la Palma SP WBC (Brownsville) (LTC 048),25.9965839,-97.5690513,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S158648429,,,,,,Leiothlypis celata,orcwar,Species,33696,,5.00,4,,,
613463847,Audio,Orange-crowned Warbler,Leiothlypis celata,,James (Jim) Holmes,2024-01-11,2024,1,11,705,United States,US-TX-061,Texas,Cameron,Resaca de la Palma SP WBC (Brownsville) (LTC 048),25.9965839,-97.5690513,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S158648429,,,,,,Leiothlypis celata,orcwar,Species,33696,,5.00,4,,,
162144051,Audio,Orange-crowned Warbler,Leiothlypis celata,,Dave Slager,2018-08-03,2018,8,3,552,United States,US-WA-055,Washington,San Juan,Friday Harbor Labs,48.5460180,-123.0122423,Juvenile,Call,Not Used,,,,,Marantz PMD661,Sennheiser ME67,,,S47621162,,,,Natural begging calls at 7:18am from fledgling later seen getting fed by adult. Highpass filter 250 Hz in Ocen Audio.,"Begging call recording. Bird with rather thick buffy white wing bar. Saw ad ocwa tending it eventually, even though seen near F wiwa right at first. Another ad seen feeding bhco.",Leiothlypis celata,orcwar,Species,33696,,5.00,4,,,
278708301,Audio,Orange-crowned Warbler,Leiothlypis celata,,Mike Austin,2020-11-09,2020,11,9,733,United States,US-TX-201,Texas,Harris,"1236 Modena Dr, Pearland US-TX 29.56393, -95.22539",29.5639300,-95.2253900,,Call,Not Used,,,,,iPhone 10,,,,S76038141,,,,,,Leiothlypis celata,orcwar,Species,33696,,4.60,5,,,
318786151,Audio,Orange-crowned Warbler,Leiothlypis celata,,Marky Mutchler,2021-03-21,2021,3,21,740,United States,US-LA-063,Louisiana,Livingston,Tickfaw SP,30.3810860,-90.6311131,,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Mono Pro Parabolic Microphone,Parabola,,S83831880,,,,,,Leiothlypis celata,orcwar,Species,33696,,4.50,4,,,
126588221,Audio,Orange-crowned Warbler,Leiothlypis celata,,Paul Marvin,2018-12-04,2018,12,4,652,United States,US-FL-009,Florida,Brevard,"MINWR, St Rd 3",28.7816120,-80.7968170,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S50419519,,,,,,Leiothlypis celata,orcwar,Species,33696,,5.00,3,,,
237598,Audio,Orange-crowned Warbler,Leiothlypis celata,Empidonax alnorum -- Alder Flycatcher,Bob McGuire,2015-06-03,2015,6,3,1015,United States,US-AK,Alaska,,Along Alaska Rt 2 Jan Lake,63.5666298,-143.9156628,Unknown – 1,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,,,,,Equipment Notes: Telinga Pro 7 set on mono mode.,,Leiothlypis celata,orcwar,Species,33696,,3.83,6,,,
182539811,Audio,Orange-crowned Warbler,Leiothlypis celata,,Joe Papp,2019-10-10,2019,10,10,1731,United States,US-PA-003,Pennsylvania,Allegheny,Peters Creek,40.2852381,-79.9362619,Unknown – 1,Call,Used,,,,,RecForge II Pro on LG Premier Pro phone,,,,S60571885,,,,"high, sharp chip call notes. unfortunately there's also strong insect noise in this recording - a cricket started chirping right next to me argh","Broken eyering, but drab overall. sharp chip calls",Leiothlypis celata,orcwar,Species,33696,,4.00,4,,,
614849400,Audio,Orange-crowned Warbler,Leiothlypis celata,Thryothorus ludovicianus -- Carolina Wren,Mike Austin,2024-02-15,2024,2,15,634,United States,US-TX-201,Texas,Harris,BellaVita Neighborhood (access limited),29.5614783,-95.2287318,Adult – 1,Call; Foraging or Eating,Not Used,,,,,i Phone 13 with Voice Record app,,,,S161551812,,,,,,Leiothlypis celata,orcwar,Species,33696,,4.33,3,,,
533681061,Audio,Orange-crowned Warbler,Leiothlypis celata,,Richard Stanton,2022-12-10,2022,12,10,700,United States,US-TX-215,Texas,Hidalgo,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),26.1849709,-98.3793885,,Call,Unspecified,,,,,,,,,S123738182,,,,,,Leiothlypis celata,orcwar,Species,33696,,4.33,3,,,
