ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
584144461,Audio,Ovenbird,Seiurus aurocapilla,,Jeff Ellerbusch,2023-06-11,2023,6,11,718,United States,US-NJ-027,New Jersey,Morris,Mahlon Dickerson Reservation,41.0068481,-74.5876408,Adult – 1,Call,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S141301648,,,,"agitated adult giving chip calls in alarm along Pine Swamp Trail, probably nesting nearby and almost certainly as a reaction to my presence; titmice join in towards end of audio; 2 audio recordings joined at 0:51 with silenced transition","Abundant breeder here; careful 1x1 counts: 14 along Pine Swamp Trail, 17 while driving Sparta Mt Rd + Weldon Rd, 6 along Ogden Mine Railroad",Seiurus aurocapilla,ovenbi1,Species,33669,,5.00,5,,,
165327191,Audio,Ovenbird,Seiurus aurocapilla,,Joel Eckerson,2019-06-22,2019,6,22,503,United States,US-MA-005,Massachusetts,Bristol,Freetown State Forest,41.7784248,-71.0435361,Unknown,Call,Not Used,,,,,Motorola Moto Z3,Internal Motorola Moto Z3 mic,none,,S57597612,,,,,**High; very careful tally kept throughout walk. Stopped every 2 miles to calculate numbers. Averaging around 10-14 birds per a mile. Many singing with probably more just calling. Many young birds. Majority of birds a long Whitetail loop and Cedar swamp road.,Seiurus aurocapilla,ovenbi1,Species,33669,,5.00,4,,,
201177,Audio,Ovenbird,Seiurus aurocapilla,,Jay McGowan,2015-05-11,2015,5,11,808,United States,US-NY-109,New York,Tompkins,Hammond Hill SF,42.4370524,-76.3054503,Adult – 2,Call,Not Used,,,,,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S23381934,,,,"Agitated calls from an Ovenbird, hopping from perch to perch on a fallen tree and sometimes onto the ground just off the trail. A second bird was in the vicinity but did not call. Calls apparently given in response to our presence (no playback or pishing).",,Seiurus aurocapilla,ovenbi1,Species,33669,,5.00,4,,,
539854,Audio,Ovenbird,Seiurus aurocapilla,,Wil Hershberger,2018-05-07,2018,5,7,652,United States,US-WV-003,West Virginia,Berkeley,Sleepy Creek WMA,39.5010523,-78.1488526,Adult – 1,Call,Not Used,,,,,Sound Devices MixPre-6,Sennheiser MKH 8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,6.1,,"Adult Ovenbird, sex unknown, giving calls of two types from forest floor. Equipment Notes: Recorder's HPF on (80Hz, -18dB/octave). Elevation: 480 m.",,Seiurus aurocapilla,ovenbi1,Species,33669,,4.20,5,,,
297467351,Audio,Ovenbird,Seiurus aurocapilla,Ptiloxena atroviolacea -- Cuban Blackbird; Turdus plumbeus -- Red-legged Thrush; Contopus caribaeus -- Cuban Pewee,Jorge Guerra,2021-01-13,2021,1,13,821,Cuba,CU-03,La Habana,,Parque Ecológico Monte Barreto,23.1056631,-82.4357102,Unknown – 1,Call,Not Used,,,,,LG K11-Alpha smartphone,,,,S79168479,,,,Stress call.,,Seiurus aurocapilla,ovenbi1,Species,33669,,4.67,3,,,
105285191,Audio,Ovenbird,Seiurus aurocapilla,,nancy/mike dowd,2018-06-23,2018,6,23,545,Canada,CA-NS-KI,Nova Scotia,Kings,Greater East Dalhousie,44.7138670,-64.7400284,Adult,Call,Not Used,,,,,,,,,S46736025,,,,Adults upset as dog and I passed them. Young in roadside trees and one on ground.,"family group of 2 adults plus fledged young, one on ground and others in trees. They were very agitated as we passed. Crowns raised uttering sound below.",Seiurus aurocapilla,ovenbi1,Species,33669,,4.67,3,,,
81295201,Audio,Ovenbird,Seiurus aurocapilla,,Jay McGowan,2017-12-22,2017,12,22,535,Mexico,MX-YUC-052,Yucatán,Muna,Camino de Uxmal Resort Maya,20.3764769,-89.7788418,Unknown,Call,Unspecified,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S41252064,,,,,,Seiurus aurocapilla,ovenbi1,Species,33669,,4.67,3,,,
80827111,Audio,Ovenbird,Seiurus aurocapilla,,Jay McGowan,2017-12-21,2017,12,21,544,Mexico,MX-YUC-061,Yucatán,Río Lagartos,Reserva de la Biosfera Ría Lagartos--Rancho San Salvador,21.5601350,-88.0419250,Unknown,Call,Unspecified,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S41238363,,,,Calls in response to pishing. Seen.,,Seiurus aurocapilla,ovenbi1,Species,33669,,4.67,3,,,
621240753,Audio,Ovenbird,Seiurus aurocapilla,Cyanocitta cristata -- Blue Jay; Catharus guttatus -- Hermit Thrush; Sitta carolinensis -- White-breasted Nuthatch; Setophaga pinus -- Pine Warbler,Kriss Replogle,2024-07-07,2024,7,7,824,United States,US-PA-089,Pennsylvania,Monroe,Maple Tract Preserve,41.0744985,-75.5061042,Adult – 1,Call,Not Used,,,,,IPhoneSE,,,,S185810693,,,,chip call,,Seiurus aurocapilla,ovenbi1,Species,33669,,4.33,3,,,
352124091,Audio,Ovenbird,Seiurus aurocapilla,,Jim Carroll,2021-06-24,2021,6,24,848,Canada,CA-NB-KI,New Brunswick,Kings,Olinville Road,45.5200730,-66.1599720,,Call,Not Used,,,,,Zoom H1N,None,,,S91228678,,,,,,Seiurus aurocapilla,ovenbi1,Species,33669,,4.33,3,,,
