ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
37373431,Audio,Palm Warbler (Western),Setophaga palmarum palmarum,,Dominic Garcia-Hall,2016-10-13,2016,10,13,1356,United States,US-NJ-017,New Jersey,Hudson,Hoboken - weedy grassland block - Monroe and 8th. 40.7482x-74.0379,40.7481760,-74.0378580,Adult,Call,Not Used,,,,,,,,,S32024264,,,,"Chipping at very close range, a few feet away on other side of fence.",,Setophaga palmarum,palwar3,Group,33864,,4.25,8,,,
244954041,Audio,Palm Warbler,Setophaga palmarum,,Jim Carroll,2020-06-21,2020,6,21,742,Canada,CA-NB-SJ,New Brunswick,Saint John,Saint John - Millican Lake Trail,45.2142560,-65.9019960,,Call,Not Used,,,,,Zoom H1N,,,,S70702161,,,,,,Setophaga palmarum,palwar,Species,33863,,4.67,3,,,
81858161,Audio,Palm Warbler,Setophaga palmarum,,Brett Moyer,2018-01-14,2018,1,14,700,United States,US-FL-031,Florida,Duval,Bolles School (Restricted Access),30.2421070,-81.6280639,,Call,Unspecified,,,,,Nikon P900,,,,S41897714,,,,Bird started calling as I approached on sidewalk.  It was in small bush about 10 feet away from me.  It was constantly pumping its tail while vocalizing.,,Setophaga palmarum,palwar,Species,33863,,4.25,4,,,
143769351,Audio,Palm Warbler,Setophaga palmarum,,Paul Marvin,2016-12-15,2016,12,15,837,United States,US-FL-001,Florida,Alachua,Paynes Prairie Preserve SP--La Chua Trail,29.6068756,-82.3031116,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S33029541,,,,,,Setophaga palmarum,palwar,Species,33863,,4.00,4,,,
232391951,Audio,Palm Warbler (Western),Setophaga palmarum palmarum,,Manny Salas,2020-05-09,2020,5,9,912,United States,US-MI-125,Michigan,Oakland,Robert H. Long Park,42.5271345,-83.4507015,,Call,Unspecified,,,,,,,,,S68690796,,,,,,Setophaga palmarum,palwar3,Group,33864,,4.00,5,,,
303383741,Audio,Palm Warbler (Western),Setophaga palmarum palmarum,Passer domesticus -- House Sparrow; Mimus polyglottos -- Northern Mockingbird; Setophaga americana -- Northern Parula,Jorge Guerra,2021-01-31,2021,1,31,1127,Cuba,CU-03,La Habana,,Parque Víctor Hugo,23.1391432,-82.3871811,Adult – 3,Call; Foraging or Eating,Unspecified,,,,,LG K11-Alpha smartphone,,,,S80194060,,,,,,Setophaga palmarum,palwar3,Group,33864,,3.67,6,,,
271170451,Audio,Palm Warbler,Setophaga palmarum,Ammospiza leconteii -- LeConte's Sparrow; Passerculus sandwichensis -- Savannah Sparrow,Matt Wistrand,2020-10-09,2020,10,9,645,United States,US-IL-089,Illinois,Kane,"Prairie Green, Geneva Park District",41.8926939,-88.3689594,Adult – 1,Call,Not Used,,,,,,,,,S74612781,,,,,,Setophaga palmarum,palwar,Species,33863,,4.33,3,,,
157837061,Audio,Palm Warbler (Western),Setophaga palmarum palmarum,,Brad Walker,2019-05-11,2019,5,11,714,United States,US-NY-109,New York,Tompkins,von Engeln Preserve (TNC),42.5350144,-76.3148224,Adult,Call; Flight Call,Not Used,,,,,,,,,S56116545,,,,Three calls and a flight call.,,Setophaga palmarum,palwar3,Group,33864,,4.33,3,,,
149487851,Audio,Palm Warbler,Setophaga palmarum,,Natasza Fontaine,2019-04-06,2019,4,6,1820,United States,US-FL-073,Florida,Leon,J.R. Alford Greenway,30.4443820,-84.1754436,Unknown,Call,Not Used,,,,,Tascam DR-100 MK III,Sennheiser ME 66,,,S54652917,,,,Large flock flying from the canopy to grass field - lots of chattering within the grass,,Setophaga palmarum,palwar,Species,33863,,4.33,3,,,
610573359,Audio,Palm Warbler,Setophaga palmarum,,Richard Stanton,2023-10-30,2023,10,30,1400,United States,US-FL-001,Florida,Alachua,"24217 Southeast 177th Avenue, Hawthorne, Florida, US (29.493, -82.065)",29.4927072,-82.0649616,,Call,Not Used,,,,,,,,,S153433635,,,,,,Setophaga palmarum,palwar,Species,33863,,5.00,2,,,
