ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
316658101,Audio,Pine Warbler,Setophaga pinus,Sitta pusilla -- Brown-headed Nuthatch; Cardinalis cardinalis -- Northern Cardinal; Corvus brachyrhynchos -- American Crow; Colaptes auratus -- Northern Flicker,Darrell Peterson,2021-03-14,2021,3,14,900,United States,US-VA-183,Virginia,Sussex,Big Woods State Forest,36.9214920,-77.0844080,Adult Male – 1,Call; Foraging or Eating,Unspecified,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S83410006,,,,"Singing male   one of the three heard, the only one seen.  Singing, foraging and then singing again  a second piwa can be heard in the distance",,Setophaga pinus,pinwar,Species,33868,,5.00,4,,,
203346201,Audio,Pine Warbler,Setophaga pinus,,Jeff Graham,2020-01-27,2020,1,27,1515,United States,US-FL-019,Florida,Clay,Clay - Crowbar (private residence),30.1764870,-81.7073650,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Roland R-26,Sennheiser ME-62,Parabola,,S63856589,,,,Distance was approximately 20 ft between source and receiver.,The source was approximately 20 ft from the receiver.,Setophaga pinus,pinwar,Species,33868,,4.60,5,,,
94585481,Audio,Pine Warbler,Setophaga pinus,,Matthew Schenck,2018-04-14,2018,4,14,600,United States,US-RI-009,Rhode Island,Washington,Arcadia Management Area--Midway Trail,41.5861465,-71.7228222,Adult,Call,Not Used,,,,,,,,,S44550263,,,,Male and female contact calls,,Setophaga pinus,pinwar,Species,33868,,4.67,3,,,
74002571,Audio,Pine Warbler,Setophaga pinus,,Paul Marvin,2017-11-03,2017,11,3,735,United States,US-FL-009,Florida,Brevard,"""Viera"" Ritch Grissom Memorial Wetlands",28.2285770,-80.7604659,Adult Male,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S40282102,,,,,,Setophaga pinus,pinwar,Species,33868,,4.25,4,,,
140642211,Audio,Pine Warbler,Setophaga pinus,,Steve Myers,2019-02-14,2019,2,14,947,United States,US-VA-810,Virginia,Virginia Beach,Stumpy Lake Natural Area,36.7751193,-76.1606158,,Call,Not Used,,,,,Galaxy S7,,,,S52693966,,,,,,Setophaga pinus,pinwar,Species,33868,,3.80,5,,,
220531961,Audio,Pine Warbler,Setophaga pinus,,Wil Hershberger,2020-04-04,2020,4,4,627,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,Adult Female – 1,Call; Nest Building,Not Used,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S66603711,,,,"Recording Time: 0659 (UTC -4). Temperature 8C. Habitat: mixed deciduous woods. Distance to sound source: 9-11 meters. Behavior and other notes: Female Pine Warbler apparently looking for nesting material on the forest floor and giving calls. Specific location: Latitude 39.575464, Longitude -78.056623. Elevation 156 meters. ID’d by sight and sound; ID confidence 100%. Equipment notes: Recorder HPF on at 80Hz, -12dB/octave.",,Setophaga pinus,pinwar,Species,33868,,3.75,4,,,
350417891,Audio,Pine Warbler,Setophaga pinus,,Vincent Giroux,2021-06-26,2021,6,26,829,Canada,CA-QC-VF,Quebec,Le Val-Saint-François,Parc historique de la Poudrière de Windsor,45.5788876,-71.9901886,Adult Female – 1; Adult Male – 1,Call,Unspecified,,,,,,,,,S90814850,,,,,,Setophaga pinus,pinwar,Species,33868,,4.00,3,,,
27047961,Audio,Pine Warbler,Setophaga pinus,,Brad Walker,2016-04-04,2016,4,4,759,United States,US-LA-115,Louisiana,Vernon,Kisatchie NF--Calcasieu Ranger District--Vernon Unit,30.9835052,-93.1558013,Immature,Call,Not Used,,,,,Nagra Ares BB+,Sennheiser ME 62,"Telinga 22"" Parabola",,S28880374,,,,Calls from a semi-flighted fledgling as it was being fed by a female.,,Setophaga pinus,pinwar,Species,33868,,4.00,3,,,
619010706,Audio,Pine Warbler,Setophaga pinus,,Jesse Morris,2024-05-11,2024,5,11,757,Canada,CA-ON-RR,Ontario,Rainy River,George Armstrong Ski Trails,48.6773830,-93.2500340,,Call,Not Used,,,,,Sound Devices MixPre3 II,Clippy Mono EM272Z1,Wildtronics Parabola,,S173497761,,,,,Male and female,Setophaga pinus,pinwar,Species,33868,,4.50,2,,,
436167411,Audio,Pine Warbler,Setophaga pinus,,Christopher Volker,2022-04-16,2022,4,16,730,United States,US-MA-013,Massachusetts,Hampden,Fannie Stebbins Wildlife Refuge,42.0332033,-72.5975322,,Call,Unspecified,,,,,iPhone,,,,S107207814,,,,,FOS,Setophaga pinus,pinwar,Species,33868,,4.50,2,,,
