ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
534427,Audio,Prairie Warbler,Setophaga discolor,,Wil Hershberger,2017-06-18,2017,6,18,610,United States,US-MD-043,Maryland,Washington,7.0 km NNW of Clear Spring,39.7194344,-77.9388678,Adult Female – 1; Adult Male – 1; Juvenile – 3,Call,Not Used,,,,,Sound Devices 702,Sennheiser ME 62,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,20.0,,"At least three young Prairie Warblers begging food from both parents. Parents appeared to be silent. Young were making lots of loud calls and chasing after parents. Other Behaviors: Beg. Equipment Notes: SD 702 HPF on at 80 Hz, -12 dB/octave.",,Setophaga discolor,prawar,Species,33896,,3.80,5,,,
444497381,Audio,Prairie Warbler,Setophaga discolor,,Jeff Ellerbusch,2022-05-01,2022,5,1,633,United States,US-NJ-019,New Jersey,Hunterdon,Round Valley Recreation Area,40.6231750,-74.8515027,Adult Male – 2,Call,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S109039638,,,,2 males interacting along Pine Tree Trail,,Setophaga discolor,prawar,Species,33896,,4.33,3,,,
194713821,Audio,Prairie Warbler,Setophaga discolor,,Erik Johnson,2019-12-21,2019,12,21,640,United States,US-LA-019,Louisiana,Calcasieu,Sweet Lake-Cameron Prairie CBC - NW Area,30.0816146,-93.1449203,,Call,Used,,,,,Samsung S6 smartphone,internal mic,RecForge Lit app with input gain boost,,S62561996,,,,,"Heard unfamiliar husky, but lively, chip note at dawn and eventually was able to lure it in to see distinctive face pattern, although in low light. Got a few documentary photos and recording of chips. About 1/4 mi N of Helms Rd. on Bill Gayle Rd. (LA-397) in Baccharis thicket on west side of road.",Setophaga discolor,prawar,Species,33896,,4.50,2,,,
36111911,Audio,Prairie Warbler,Setophaga discolor,,Paul Marvin,2016-09-26,2016,9,26,715,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,,Call; Flight Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S31766212,,,,flt at end,,Setophaga discolor,prawar,Species,33896,,3.67,3,,,
620422611,Audio,Prairie Warbler,Setophaga discolor,,Dan O'Brien,2024-06-12,2024,6,12,1752,United States,US-MA-021,Massachusetts,Norfolk,Moose Hill Farm (TTOR),42.1274396,-71.2149131,Adult Female – 1,Call,Unspecified,,,,,,,,,S181118601,,,,,Watched a pair foraging around their territory. The male chased the female a few times. The female appeared to have a parasite under her eye,Setophaga discolor,prawar,Species,33896,,4.00,2,,,
606408491,Audio,Prairie Warbler,Setophaga discolor,,Brady Bailo,2023-08-22,2023,8,22,1020,United States,US-FL-087,Florida,Monroe,Long Key SP,24.8149680,-80.8201800,Adult Male – 1,Call; Foraging or Eating,Used,,,,,Samsung S23+,Samsung S23,Normazlied w. OcenAudio,,S147875062,,,,Subj. bird actively calling while flitting among mangrove,,Setophaga discolor,prawar,Species,33896,,4.00,2,,,
605987381,Audio,Prairie Warbler,Setophaga discolor,,Kathleen MacAulay,2023-08-22,2023,8,22,804,Canada,CA-NS-YA,Nova Scotia,Yarmouth,"Cape Forchu--West (Thomas Rd, Markland, Caie Ln)",43.8069243,-66.1622109,,Call,Not Used,,,,,,,,,S147846404,,,,Spontaneous chips from a bright bird that popped out to forage not 20 feet away ,,Setophaga discolor,prawar,Species,33896,,4.00,2,,,
179203441,Audio,Prairie Warbler,Setophaga discolor,,Jay McGowan,2019-09-15,2019,9,15,735,United States,US-NY-109,New York,Tompkins,Lindsay-Parsons Biodiversity Preserve (FLLT),42.3101677,-76.5216895,Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S59820857,,,,Calls from an adult male.,Male and immature near NW corner,Setophaga discolor,prawar,Species,33896,,4.00,2,,,
623288317,Audio,Prairie Warbler,Setophaga discolor,,Timothy Spahr,2024-09-03,2024,9,3,635,United States,US-MA-027,Massachusetts,Worcester,Birch Hill WMA,42.6815931,-72.1123455,,Call; Flight Call,Not Used,,,,,Zoom F3,Sennheiser MKH 8070,,,S193818163,,,,,All ad m,Setophaga discolor,prawar,Species,33896,,4.00,2,,,
608689920,Audio,Prairie Warbler,Setophaga discolor,Thryothorus ludovicianus -- Carolina Wren,Marc Regnier,2023-09-10,2023,9,10,730,United States,US-SC-019,South Carolina,Charleston,Charles Towne Landing,32.8073499,-79.9884939,,Call; Foraging or Eating,Unspecified,,,,,zoom F3,Senn MKE 600,,,S149551709,,,,Chip...visual,,Setophaga discolor,prawar,Species,33896,,4.00,2,,,
