ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
105157701,Audio,Prothonotary Warbler,Protonotaria citrea,,Ryan Sanderson,2018-06-21,2018,6,21,1948,United States,US-IN-097,Indiana,Marion,Fort Harrison SP,39.8716060,-86.0251808,Adult,Call,Not Used,,,,,Zoom H5,Wildtronics Pro Amplified Mono Stereo Parabolic Microphone,"22"" Parabola",,S46708125,,,,,,Protonotaria citrea,prowar,Species,33686,,4.60,5,,,
318751481,Audio,Prothonotary Warbler,Protonotaria citrea,Cardinalis cardinalis -- Northern Cardinal; Setophaga americana -- Northern Parula; Vireo griseus -- White-eyed Vireo; Melanerpes carolinus -- Red-bellied Woodpecker,Matt Brady,2021-03-21,2021,3,21,740,United States,US-LA-063,Louisiana,Livingston,Tickfaw SP,30.3810860,-90.6311131,Adult Female – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Mono Pro,Parabola; edited in Audacity,,S83837947,,,,200 Hz high pass filter.,,Protonotaria citrea,prowar,Species,33686,,5.00,3,,,
486348701,Audio,Prothonotary Warbler,Protonotaria citrea,,Johan Chaves,2022-09-20,2022,9,20,926,Costa Rica,CR-G,Guanacaste,,PN Palo Verde (área general),10.3657374,-85.3265885,,Call; Foraging or Eating,Not Used,,,,,,,,,S119173316,,,,,,Protonotaria citrea,prowar,Species,33686,,5.00,2,,,
616735658,Audio,Prothonotary Warbler,Protonotaria citrea,Poecile carolinensis -- Carolina Chickadee; Polioptila caerulea caerulea -- Blue-gray Gnatcatcher (Eastern),Trenton Voytko,2024-03-31,2024,3,31,833,United States,US-NC-031,North Carolina,Carteret,Pocosin Wilderness -- Forest Rd 617,34.7529912,-77.0254479,Adult Male – 1,Call,Unspecified,,,,,,,,,S166634026,,,,,"*Early  At the end of 617, against the creek. First alerted to it by its enormously loud ""tsweet tsweet tsweet!"" and by rapturous chip notes before laying eyes on it. Golden-yellow Warbler with stark blueish wings the only point of contrast. Audio.",Protonotaria citrea,prowar,Species,33686,,4.50,2,,,
325515231,Audio,Prothonotary Warbler,Protonotaria citrea,,Mark Burns,2021-04-11,2021,4,11,1630,United States,US-FL-103,Florida,Pinellas,Fort De Soto Park,27.6327266,-82.7181570,Adult – 1,Call,Not Used,,,,,iPhone SE,N/A,N/A,,S85360263,,,,Alarm call of bird in hand,Photographed and Recorded - I moved this exhausted bird off of the road,Protonotaria citrea,prowar,Species,33686,,4.50,2,,,
95497821,Audio,Prothonotary Warbler,Protonotaria citrea,,David Gibson,2018-04-20,2018,4,20,800,United States,US-VA-800,Virginia,Suffolk,Great Dismal Swamp NWR--Jericho Ditch,36.7108159,-76.5235519,Adult,Call,Not Used,,,,,Tascam DR-05,,windscreen,,S44751015,,,,,,Protonotaria citrea,prowar,Species,33686,,3.33,6,,,
467960201,Audio,Prothonotary Warbler,Protonotaria citrea,Agelaius phoeniceus -- Red-winged Blackbird,Mike Austin,2022-07-17,2022,7,17,802,Canada,CA-ON-ES,Ontario,Essex,Point Pelee NP--Park Orientation,41.9849356,-82.5479875,Adult Male – 1,Call,Not Used,,,,,iPhone 13 with VoiceRecord Pro app,,,,S115237889,,,,Bird seen,"Vocalizing along marsh side of main park road at “speed 20 ahead” sign .25 km south of entrance gate. Golden hood with beady eye, needle-like black bill. Unmarked golden yellow beneath from throat to belly, unmarked white vent. Plain blue grey wings & tail, latter with subterminal white spots. Heard this bird from the car the day I arrived (9th) & didn’t think it sounded like a CARW!",Protonotaria citrea,prowar,Species,33686,,4.00,2,,,
331550081,Audio,Prothonotary Warbler,Protonotaria citrea,,Michael O'Brien,2021-04-28,2021,4,28,932,United States,US-NJ-009,New Jersey,Cape May,Belleplain SF—Pine Swamp Rd corner,39.2230060,-74.8663530,,Call; Flight Call,Unspecified,,,,,iPhone,,,,S86561094,,,,,,Protonotaria citrea,prowar,Species,33686,,4.00,2,,,
180662701,Audio,Prothonotary Warbler,Protonotaria citrea,,Harumi Umi,2019-05-20,2019,5,20,1030,United States,US-TN-009,Tennessee,Blount,Great Smoky Mountains NP--Cades Cove,35.5990797,-83.8084269,,Call,Unspecified,,,,,,,,,S56549046,,,,,Might be two.,Protonotaria citrea,prowar,Species,33686,,4.00,2,,,
94455951,Audio,Prothonotary Warbler,Protonotaria citrea,,Martin Wall,2018-04-13,2018,4,13,859,United States,US-NC-031,North Carolina,Carteret,Croatan NF--Pringle Road,34.7387207,-76.9908142,Adult Male,Call,Not Used,,,,,iPhone 5s,,,,S44523403,,,,,,Protonotaria citrea,prowar,Species,33686,,4.00,2,,,
