ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
323504401,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Wil Hershberger,2021-04-06,2021,4,6,611,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,Adult Male – 1,"Call; Courtship, Display, or Copulation",Unspecified,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S84905713,,,,"Behavior and other notes: Adult male Red-bellied Woodpecker calling from the dead oak stump that contains the nest cavity. Recording Time: 0917 (UTC -4).  Temperature 12.8C.  Habitat: mixed deciduous woods.  Distance to sound source: 12.5 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_21T0129_Red-bellied Woodpecker male calls_Berkeley Co WV_ML.wav",,Melanerpes carolinus,rebwoo,Species,11088,,4.89,9,,,
306064,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Wil Hershberger,2020-03-12,2020,3,12,742,United States,US-WV-003,West Virginia,Berkeley,Wood Song,39.5749560,-78.0544680,Adult Female – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH 8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,"Behavior and other notes: A female Red-bellied Woodpecker giving calls near the feeders apparently in response to a conspecific calling nearby. Recording Time: 0642 (UTC -5).  Temperature 3.9C.  Habitat: mixed deciduous woods.  Distance to sound source: 14 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_20T0042_Female Red-bellied Woodpecker calls_Berkeley Co WV_ML.wav",,Melanerpes carolinus,rebwoo,Species,11088,,5.00,7,,,
246797061,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Sean Smith,2020-06-30,2020,6,30,1715,United States,US-ME-017,Maine,Oxford,Hiram Village,43.8806651,-70.8004395,Juvenile Male – 1,Call; Feeding Young,Not Used,,,,,cell phone,,,,S71000933,,,,Fledgling begging call (Red Squirrel in background),"First sighting of a fledgling, success for this pair :-)",Melanerpes carolinus,rebwoo,Species,11088,,5.00,5,,,
410050981,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Jeff Ellerbusch,2022-01-26,2022,1,26,742,United States,US-NJ-035,New Jersey,Somerset,Fairview Farm Wildlife Preserve,40.7022581,-74.6996035,Adult Female – 1,Call; Foraging or Eating; Mechanical Sound,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S101506974,,,,"""chuk"" calls",,Melanerpes carolinus,rebwoo,Species,11088,,5.00,4,,,
230037631,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Wil Hershberger,2020-04-19,2020,4,19,1110,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,,Call; Foraging or Eating,Unspecified,,,,,Sound Devices MixPre-6,Telinga Pro 7 stereo DAT mic,Telinga 57cm parabola,,S68310008,,,,"Behavior and other notes: Adult Red-bellied Woodpecker giving calls at suet feeder. Recording Time: 1501 (UTC -4). Temperature 18C.  Habitat: mixed deciduous woods. Distance to sound source: 6 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623. Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Stereo, recorder HPF on at 80Hz, -18dB/octave.",,Melanerpes carolinus,rebwoo,Species,11088,,5.00,4,,,
97153371,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Paul Marvin,2018-04-29,2018,4,29,655,United States,US-FL-009,Florida,Brevard,Maritime Hammock Sanctuary,27.9563223,-80.5027351,,Call; Mechanical Sound,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S45079629,,,,,,Melanerpes carolinus,rebwoo,Species,11088,,4.08,13,,,
323583411,Audio,Red-bellied Woodpecker,Melanerpes carolinus,Poecile atricapillus -- Black-capped Chickadee; Sitta carolinensis -- White-breasted Nuthatch,Phoebe Barnes,2021-04-04,2021,4,4,844,United States,US-VT-007,Vermont,Chittenden,Colchester Pond - Colchester (186 acres),44.5546324,-73.1198448,Unknown – 1,Call,Not Used,,,,,iPhone 11 Pro,,,,S84770288,,,,,,Melanerpes carolinus,rebwoo,Species,11088,,4.40,5,,,
56482251,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,James (Jim) Holmes,2017-04-21,2017,4,21,614,United States,US-LA-051,Louisiana,Jefferson,Jean Lafitte NHP & Pres--Barataria Preserve (roads and trails),29.7838177,-90.1151258,Adult,Call,Not Used,,,,,Olympus LS-11,Sennheiser ME 66,,,S36139539,,,,,,Melanerpes carolinus,rebwoo,Species,11088,,3.73,11,,,
216059301,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Wil Hershberger,2020-03-14,2020,3,14,745,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,Adult – 1,Call; Foraging or Eating,Unspecified,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S65769645,,,,"Recording Time: 1140 (UTC -4). Temperature 8C. Habitat: mixed deciduous woods. Distance to sound source: 8 meters. Behavior and other notes: Red-bellied Woodpecker giving calls near suet feeder. Specific location: Latitude 39.575464, Longitude -78.056623. Elevation 156 meters. ID’d by sight and sound; ID confidence 100%. Equipment notes: Recorder HPF on at 80Hz, -18dB/octave.",,Melanerpes carolinus,rebwoo,Species,11088,,4.50,4,,,
408829051,Audio,Red-bellied Woodpecker,Melanerpes carolinus,,Kriss Replogle,2022-01-23,2022,1,23,845,United States,US-NJ-035,New Jersey,Somerset,Lord Stirling Park,40.6951161,-74.5205601,Adult – 1,Call,Not Used,,,,,IPhone6s,RODE Video MIC ME,,,S101267383,,,,,,Melanerpes carolinus,rebwoo,Species,11088,,4.00,5,,,
