ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
166781601,Audio,Red-winged Blackbird,Agelaius phoeniceus,,Miles Buddy,2019-07-03,2019,7,3,716,United States,US-MA-007,Massachusetts,Dukes,West Chop (general area),41.4757888,-70.6051826,Adult Male,Call,Unspecified,,,,,Roland R-05,Sennheiser ME66,,,S57885322,,,,,,Agelaius phoeniceus,rewbla,Species,33500,,5.00,5,,,
321530751,Audio,Red-winged Blackbird,Agelaius phoeniceus,,Wil Hershberger,2021-03-31,2021,3,31,653,United States,US-WV-003,West Virginia,Berkeley,"Wood Song, 1.5 km WSW of Johnsontown",39.5749560,-78.0544680,Adult Male – 1,"Call; Courtship, Display, or Copulation",Not Used,,,,,Sound Device 702,Senn. MKH8020,30” Roche Parabola,,S84447240,,,,"Behavior and other notes: Adult male Red-winged Blackbird giving aggressive calls to conspecific from cattail seedhead then singing from the top of a deciduous tree at 10-11m. Cool Pond.  Recording Time: 0710 (UTC -5).  Temperature 6.1C.  Habitat: mixed deciduous woods.  Distance to sound source: 10-11 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_21T0080_Red-winged Blackbird male calls and songs_Berkeley Co WV_ML.wav",,Agelaius phoeniceus,rewbla,Species,33500,,4.38,8,,,
617319994,Audio,Red-winged Blackbird,Agelaius phoeniceus,Setophaga petechia -- Yellow Warbler; Myiarchus crinitus -- Great Crested Flycatcher,James Remsen,2023-05-23,2023,5,23,1312,United States,US-NY-103,New York,Suffolk,Gardiner County Park,40.7010162,-73.2766605,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" Parabola",,S139003030,,,,Several call types from a male and female Red-winged Blackbird.  Agitated behavior suggested that a nest site might be nearby.  32-bit/96 kHz WAV file (except voice announcement at 32-bit/48 kHz) edited with Ocenaudio. Unfiltered.  ,Audio recording.,Agelaius phoeniceus,rewbla,Species,33500,,5.00,4,,,
203890211,Audio,Red-winged Blackbird (Red-winged),Agelaius phoeniceus [phoeniceus Group],,Joe Angseesing,2017-03-23,2017,3,23,0,Bahamas,BS-FP,Freeport and West Grand Bahama,,Grand Bahama - Garden of the Groves,26.5528312,-78.5730815,,Call,Unspecified,,,,IBC1371895,,,,,S64981678,,,,"Various calls. Elevation: 10 m. Date added to IBC: April 25, 2017.",IBC scientific name: Agelaius phoeniceus bryanti.,Agelaius phoeniceus,rewbla1,Group,33501,,4.60,5,,,
621547620,Audio,Red-winged Blackbird,Agelaius phoeniceus,,Kriss Replogle,2024-07-15,2024,7,15,1219,United States,US-NY-105,New York,Sullivan,Upper Delaware SRR--Roebling Bridge/Aqueduct (NY),41.4829357,-74.9835280,Adult – 1,Call,Not Used,,,,,IPhone SE,,,,S187150191,,,,,,Agelaius phoeniceus,rewbla,Species,33500,,4.75,4,,,
617320249,Audio,Red-winged Blackbird,Agelaius phoeniceus,,James Remsen,2023-05-24,2023,5,24,1158,United States,US-NY-103,New York,Suffolk,Southards Pond Park,40.7102149,-73.3287406,Adult Male – 1,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" Parabola",,S139108102,,,,Calls from a possibly agitated male.  This is my 500th archived recording in the Macaulay Library.  32-bit/96 kHz WAV file (except voice announcement at 32-bit/48 kHz) edited with Ocenaudio. Unfiltered.  ,Audio recording.,Agelaius phoeniceus,rewbla,Species,33500,,4.75,4,,,
63170391,Audio,Red-winged Blackbird (Red-winged),Agelaius phoeniceus [phoeniceus Group],,Jay McGowan,2017-07-12,2017,7,12,738,United States,US-NY-099,New York,Seneca,Montezuma NWR--Wildlife Drive,42.9817483,-76.7353284,Juvenile,Call,Not Used,,,,,Marantz PMD 661,Telinga Pro 6,"Telinga 22"" Parabola",,S38097229,,,,Calls from a young fledgling.,,Agelaius phoeniceus,rewbla1,Group,33501,,4.40,5,,,
240122191,Audio,Red-winged Blackbird,Agelaius phoeniceus,,James (Jim) Holmes,2020-05-31,2020,5,31,933,United States,US-CA-011,California,Colusa,Colusa NWR--Auto Tour Route,39.1851525,-122.0507795,Adult Male – 1,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S69892950,,,,two males calling back and forth,,Agelaius phoeniceus,rewbla,Species,33500,,4.12,8,,,
352388001,Audio,Red-winged Blackbird (Red-winged),Agelaius phoeniceus [phoeniceus Group],Cistothorus palustris [palustris Group] -- Marsh Wren (palustris Group); Geothlypis trichas -- Common Yellowthroat,Peder Svingen,2021-06-19,2021,6,19,654,United States,US-WI-031,Wisconsin,Douglas,Kimmes-Tobin Wetlands (Douglas Co.),46.5611971,-92.2762801,Adult – 1,Call,Not Used,,,,,iPhone 12,,,,S90436978,,,,,,Agelaius phoeniceus,rewbla1,Group,33501,,4.50,4,,,
459804471,Audio,Red-winged Blackbird (Red-winged),Agelaius phoeniceus [phoeniceus Group],,Jeff Ellerbusch,2022-06-15,2022,6,15,523,United States,US-NJ-035,New Jersey,Somerset,Lord Stirling Park,40.6951161,-74.5205601,Adult Male – 1,Call; Mechanical Sound,Not Used,,,,,Marantz PMD661 MKII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S113023657,,,,"various calls from an adult male while mostly perched though some in short flights as it moved around a single tree; wings during short flights most noticeably at 1:07, 1:22, 1:27, 1:39; at one point towards end of audio another bird flies in but I don't believe it vocalized within this audio",,Agelaius phoeniceus,rewbla1,Group,33501,,5.00,3,,,
