ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
29982651,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Scott Olmstead,2016-02-28,2016,2,28,933,United States,US-AZ-023,Arizona,Santa Cruz,Montosa Canyon--km 1 (culvert area),31.6714585,-110.9410820,,Call,Not Used,,,,,Edirol R-09,Sennheiser ME-66 with K6 and Hosa XLR to mini input cable.,,,S27883487,,,,"Scold call, responding to whistled screech-owl imitation.",,Corthylio calendula,ruckin,Species,26595,,4.57,7,,,
318745131,Audio,Ruby-crowned Kinglet,Corthylio calendula,Setophaga citrina -- Hooded Warbler; Vireo griseus -- White-eyed Vireo; Melanerpes carolinus -- Red-bellied Woodpecker; Setophaga americana -- Northern Parula; Buteo lineatus -- Red-shouldered Hawk,Matt Brady,2021-03-21,2021,3,21,740,United States,US-LA-063,Louisiana,Livingston,Tickfaw SP,30.3810860,-90.6311131,,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Mono Pro,Parabola; edited in Audacity,,S83837947,,,,200 Hz high pass filter,,Corthylio calendula,ruckin,Species,26595,,4.75,4,,,
136390651,Audio,Ruby-crowned Kinglet,Corthylio calendula,,I'm Birding Right Now (Teresa & Miles Tuffli),2019-01-21,2019,1,21,1419,United States,US-CA-097,California,Sonoma,Willow Creek Rd.-- West end   - from Hwy 1 to dilapidated 2 barns,38.4373208,-123.0855846,,Call,Not Used,,,,,,,,,S51920779,,,,,,Corthylio calendula,ruckin,Species,26595,,4.40,5,,,
239741641,Audio,Ruby-crowned Kinglet,Corthylio calendula,Leiothlypis celata -- Orange-crowned Warbler; Setophaga townsendi -- Townsend's Warbler,Alexander Lange,2020-05-26,2020,5,26,650,United States,US-AK-020,Alaska,Anchorage Municipality,Bird Valley,60.9775318,-149.4281397,,Call,Not Used,,,,,Zoom H5,Zoom MSH-6,,,S69674446,,,,Aerial predator alarm call,,Corthylio calendula,ruckin,Species,26595,,4.00,6,,,
147088101,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Robert Dobbs,2019-03-18,2019,3,18,1028,United States,US-LA-001,Louisiana,Acadia,"Bayou Plaquemine Brule, NW Midland (Swati prop.)",30.1912359,-92.5137431,,Call,Not Used,,,,,Zoom H4n Pro,Sennheiser ME66/K6,,,S53982888,,,,"Bird seen. Natural call rate, prob in response to pishing. Amplified to -3 dB peak, high pass filter 250 Hz",,Corthylio calendula,ruckin,Species,26595,,4.67,3,,,
124324011,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Matt Brady,2018-11-14,2018,11,14,830,United States,US-CA-045,California,Mendocino,Low Gap Rd.--Low Gap Park to Eagle Rock,39.1598818,-123.2958698,,Call,Not Used,,,,,Roland R-26,Sennheiser ME 67,,,S49942637,,,,Alarm calls of 6-8 individuals. 100 Hz high pass filter.,,Corthylio calendula,ruckin,Species,26595,,4.67,3,,,
110158671,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Paul Marvin,2017-12-14,2017,12,14,748,United States,US-TX-215,Texas,Hidalgo,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,,Call,Not Used,,,,,Tascam HD-P2 portable recorder,Sennheiser MKH70,,,S41083968,,,,one of a pair is begging (flaps wings) and calling,,Corthylio calendula,ruckin,Species,26595,,4.67,3,,,
40611441,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Colby Neuman,2016-11-21,2016,11,21,1222,United States,US-OR-051,Oregon,Multnomah,Ainsworth Circle Wetlands,45.5657990,-122.5361020,,Call,Not Used,,,,,Olympus WS-802 Digital Voice Recorder,,,,S32655256,,,,,,Corthylio calendula,ruckin,Species,26595,,4.25,4,,,
121846801,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Michael S Taylor,2018-11-03,2018,11,3,724,United States,US-MO-017,Missouri,Bollinger,Duck Creek CA--Dark Cypress Unit,37.1387558,-89.9825549,Unknown,Call,Not Used,,,,,Marantz PMD661MKII,Sennheiser ME67 Shotgun,,,S49640168,,,,Single individual. Hung around in willows next to shallow pond for a long time with little to no vocalizing. Suddenly decided to chatter.,,Corthylio calendula,ruckin,Species,26595,,4.00,5,,,
40110051,Audio,Ruby-crowned Kinglet,Corthylio calendula,,Paul Marvin,2016-11-16,2016,11,16,650,United States,US-FL-009,Florida,Brevard,River Lakes Conservation Area--Moccasin Island,28.2299949,-80.8110523,,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S32580724,,,,one from a flock of Ruby-crowned Kinglets and Blue-gray Gnatcatchers in oak tree,,Corthylio calendula,ruckin,Species,26595,,4.00,4,,,
