ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
609796542,Audio,Song Sparrow,Melospiza melodia,,Gavin Aquila,2023-10-09,2023,10,9,633,United States,US-CA-073,California,San Diego,South Lake Park,33.1158550,-117.1651930,,Call,Unspecified,,,,,Fostex FR-2LE,Wildtronics Pro Mono,Wildtronics Standard 22’ Parabola,,S151808337,,,,Chimp calls from an individual about 10 meters from where I was standing. Wings heard as it flew at end of sequence. Moderately harsh HPF at like 500 Hz with 12 dB roll off due to the road noise. ,,Melospiza melodia,sonspa,Species,32995,,5.00,6,,,
320821721,Audio,Song Sparrow,Melospiza melodia,,Dave Slager,2020-06-18,2020,6,18,517,United States,US-WA-033,Washington,King,Discovery Park,47.6638680,-122.4215317,Juvenile,Call,Not Used,,,,,Marantz PMD661,Sennheiser ME67,,,S70585586,,,,"Natural begging calls from seen fledgling at 7:22am, with a song from nearby presumed adult towards end. Highpass filter 200 Hz in Ocen Audio.",,Melospiza melodia,sonspa,Species,32995,,4.71,7,,,
132265291,Audio,Song Sparrow,Melospiza melodia,,Mason Maron,2018-12-31,2018,12,31,1553,United States,US-WA-033,Washington,King,Old Maron Residence,47.5448459,-122.1207831,,Call,Not Used,,,,,Cellphone,,,,S51136667,,,,,,Melospiza melodia,sonspa,Species,32995,,4.14,14,,,
175633211,Audio,Song Sparrow (melodia/atlantica),Melospiza melodia melodia/atlantica,,Jay McGowan,2019-08-21,2019,8,21,755,United States,US-NY-109,New York,Tompkins,Cornell Research Ponds Unit II (restricted access),42.5034956,-76.4374457,Juvenile – 1,Call,Unspecified,,,,,Sound Devices MixPre3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S59148404,,,,Begging calls from a young fledgling (photos) from tall grass at the base of one of the dikes along the edge of the small ponds.,,Melospiza melodia,sonspa2,Group,32996,,4.83,6,,,
104606851,Audio,Song Sparrow,Melospiza melodia,,Marky Mutchler,2018-06-16,2018,6,16,602,United States,US-NY-097,New York,Schuyler,Finger Lakes NF--South Velie Pasture,42.4703310,-76.7954560,Adult,Call,Not Used,,,,,Sound Devices MixPre3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S46591162,,,,Single bird that was agitated at my presence near recently fledged young. Calling from shrubs along barbed wire fence.,Estimate,Melospiza melodia,sonspa,Species,32995,,5.00,5,,,
56691511,Audio,Song Sparrow,Melospiza melodia,,Robert Bochenek,2017-05-03,2017,5,3,1312,United States,US-MI-125,Michigan,Oakland,Robert H. Long Park,42.5271345,-83.4507015,Adult,Call,Not Used,,,,,Samsung S7 Cell Phone's Microphone,NA,NA,,S36513185,,,,,,Melospiza melodia,sonspa,Species,32995,,4.60,5,,,
81995621,Audio,Song Sparrow,Melospiza melodia,,Deborah House,2018-01-02,2018,1,2,1209,United States,US-CA-027,California,Inyo,Bishop Airport,37.3697479,-118.3632231,Unknown,Call,Not Used,,,,,Marantz PMD 661,ME66,Windjammer softie,,S41559259,,,,Two birds calling back and forth,,Melospiza melodia,sonspa,Species,32995,,4.50,4,,,
484468111,Audio,Song Sparrow,Melospiza melodia,,V. Lohr,2022-09-14,2022,9,14,1030,United States,US-WA-033,Washington,King,Vashon--Island Center Forest,47.4375711,-122.4721393,Adult – 2,Call; Foraging or Eating,Not Used,,,,,Motorola Moto e5 play with RecForge II,,,,S118754438,,,,"Song Sparrows foraging in a shrub.  At least 2 of them called.  Some sounds, such as at 43 + 50 sec, are birds rustling the leaves.  Highpass filter 250 Hz in Audacity 2.2.1.",,Melospiza melodia,sonspa,Species,32995,,5.00,3,,,
163897951,Audio,Song Sparrow,Melospiza melodia,,Wich’yanan Limparungpatthanakij,2019-06-12,2019,6,12,559,United States,US-NY-097,New York,Schuyler,Finger Lakes NF--South Velie Pasture,42.4703310,-76.7954560,Adult,Call,Not Used,,,,,Tascam DR-100 MkIII,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S57317344,,,,possibly a male with its partner carrying food nearby,,Melospiza melodia,sonspa,Species,32995,,5.00,3,,,
618116461,Audio,Song Sparrow,Melospiza melodia,Passer domesticus -- House Sparrow,James Remsen,2023-06-05,2023,6,5,1151,United States,US-NY-103,New York,Suffolk,"138 Captains Dr, West Babylon US-NY 40.68261, -73.34692",40.6826110,-73.3469160,Adult – 1,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" Parabola",,S140607317,,,,Call notes from a single bird.  32-bit/96 kHz WAV file (except voice announcement at 32-bit/48 kHz) edited with Ocenaudio. Unfiltered.  ,Audio recording.,Melospiza melodia,sonspa,Species,32995,,4.50,4,,,
