ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
618928142,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Shane Patterson,2024-05-07,2024,5,7,1818,United States,US-IA-049,Iowa,Dallas,Dale Maffitt Reservoir (Dallas Co.),41.5157374,-93.7946606,Adult Male – 1,Call,Not Used,,,,,,,,,S172722423,,,,"Audio of calls, given while settling on branches of a honeysuckle (Lonicera) at sunset. Recordings that focus on SWWA calls are much rarer than those of songs.","Continuing Kevin Powers find. 
 
 Edit: At 8:04 PM, the storm passed, the wind subsided, and the Swainson’s Warbler emerged to call and sing again as he settled onto a honeysuckle branch - perhaps his roosting location for the night.
 
 At 7:24 PM, this SWWA sang several times from the previously described location. This was following nearly two hours of no singing from him. I have a recording of his songs. Sharon Bauer and Gary Zenitsky also heard him sing during this time.",Limnothlypis swainsonii,swawar,Species,33687,,5.00,4,,,
333046591,Audio,Swainson's Warbler,Limnothlypis swainsonii,Pipilo erythrophthalmus -- Eastern Towhee; Setophaga virens -- Black-throated Green Warbler,Ronan Nicholson,2021-05-02,2021,5,2,1010,United States,US-NC-089,North Carolina,Henderson,North Mills River Recreation Area,35.4066711,-82.6435897,Adult – 1,Call,Not Used,,,,,iPhone SE,,,,S86934782,,,,same adult as in other recording.  Calling while on the ground and in low plants.,Possibly four. Had one calling behind the bathrooms and heard another. One more far away on the path by the lodge. Lifer,Limnothlypis swainsonii,swawar,Species,33687,,4.40,5,,,
113629401,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Isaias Morataya,2018-09-04,2018,9,4,1658,Belize,BZ-CY,Cayo,,Chapel Hill Road,17.0582138,-89.1201972,,Call,Not Used,,,,,H1n recorder.,,,,S48299004,,,,,"First heard an unusual call coming from the thickets and decided to record it.A few seconds into the recording had a visual of an olive brownish bird with a dark eye-line, stopped the recording and played it and the bird moved responded to the recording but then flew deeper into the woods where it continued vocalizing. RECORDING to be uploaded in checklists.",Limnothlypis swainsonii,swawar,Species,33687,,5.00,3,,,
344315601,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Mark Greene,2021-05-31,2021,5,31,1204,United States,US-TN-017,Tennessee,Carroll,Bruceton Marsh,36.0378214,-88.2263759,Adult – 1,Call,Unspecified,,,,,,,,,S89360236,,,,Chip notes,Male singing and a second bird chipping. Photographed.,Limnothlypis swainsonii,swawar,Species,33687,,4.33,3,,,
49216921,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Jesse Fagan,2017-02-23,2017,2,23,645,Cayman Islands,KY-NS,North Side,,"Mastic Trail, National Trust--North Trailhead",19.3409700,-81.1930300,,Call,Unspecified,,,,,,,,,S34666678,,,,,Saw four different individuals and heard another.  Distance between each territory encountered was between 100 and 400 meters. Voice recorded 4 different individuals (JF; included here individual four) and photographs of two different birds (Dean Townsend).,Limnothlypis swainsonii,swawar,Species,33687,,4.33,3,,,
387427101,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Jason Vassallo,2021-11-07,2021,11,7,618,United States,US-FL-086,Florida,Miami-Dade,R. Hardy Matheson County Preserve,25.6665942,-80.2789021,,Call,Unspecified,,,,,,,,,S97247685,,,,,"Occasionally giving loud calls, seen breifly a couple times. Pics and recordings tba",Limnothlypis swainsonii,swawar,Species,33687,,5.00,2,,,
55883031,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Darrell Peterson,2017-04-26,2017,4,26,900,United States,US-VA-800,Virginia,Suffolk,Dismal Swamp NWR  Jerico Ditch Trail,36.7340000,-76.5170000,Adult Male,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S36297186,,,,Responded to pishing by flying in close and chipping,,Limnothlypis swainsonii,swawar,Species,33687,,5.00,2,,,
104095171,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Brian Sullivan,2018-06-09,2018,6,9,1002,United States,US-VA-800,Virginia,Suffolk,Great Dismal Swamp NWR--Dismal Town Boardwalk Trail,36.6445388,-76.5465063,Adult Male,Call,Used,,,,,Marantz PMD661 MKII,Sennheiser MKH70,,,S46468628,,,,"Excited calls from second individual adult male responding to playback. The higher pitched calls are from the same bird. It was giving two call types here, one lower, one higher.",Recordings and photos.,Limnothlypis swainsonii,swawar,Species,33687,,4.00,3,,,
605797991,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Wayne Ryan,2023-06-17,2023,6,17,905,United States,US-NC-113,North Carolina,Macon,Swainson’s Warbler,35.0453980,-83.4460440,Adult – 1,Call,Unspecified,,,,,Iphone 11,,,,S141888045,,,,"Short, clear song","Pair spotted in rhodo. Buffy brown bird, warbler sized, whiteish eyebrow. Chipping near me and hard to spot. Will add photos.",Limnothlypis swainsonii,swawar,Species,33687,,4.50,2,,,
126911741,Audio,Swainson's Warbler,Limnothlypis swainsonii,,Jorge Dangel,2018-12-05,2018,12,5,600,Guatemala,GT-PE,Petén,,Finca San Francisco,16.7942493,-89.9987161,,Call,Unspecified,,,,,,,,,S50461599,,,,,"Visto y escuchado, registrado en la misma área en el verano pasado.",Limnothlypis swainsonii,swawar,Species,33687,,4.50,2,,,
