ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
92309811,Audio,Tennessee Warbler,Leiothlypis peregrina,,Juan D Astorga,2018-01-13,2018,1,13,1500,Costa Rica,CR-A,Alajuela,,"Mi casa, Calle Lomas, Puente de Piedra",10.0504140,-84.3210940,,Call,Not Used,,,,,Camara Nikon P600,,,,S41908275,,,,,,Leiothlypis peregrina,tenwar,Species,33695,,4.17,6,,,
292554451,Audio,Tennessee Warbler,Leiothlypis peregrina,Geothlypis trichas -- Common Yellowthroat,Roselvy Juárez,2020-12-27,2020,12,27,739,Honduras,HN-FM,Francisco Morazán,,Sendero El Tinamú,13.8637680,-87.2343700,Unknown – 1,Call,Not Used,,,,,Marantz PMD-661,Wildtronics Pro Mono Parabolic,"Wildtronics 22"" Parabola",,S78061619,,,,,,Leiothlypis peregrina,tenwar,Species,33695,,4.25,4,,,
401698351,Audio,Tennessee Warbler,Leiothlypis peregrina,,Paul Marvin,2022-01-02,2022,1,2,716,United States,US-CA-073,California,San Diego,Montgomery-Waller Park,32.5829959,-117.0690894,,Call,Not Used,,,,,,,,,S99930550,,,,,"Continuing: recorded its chip calls, at previous reported location on red flowering eucalyptus tree. yellow throat, greenish back, sharp pointy bill, smaller and thinner than nearby Yellow-rumped Warbler:
 32.581343, -117.068248",Leiothlypis peregrina,tenwar,Species,33695,,4.50,2,,,
382588951,Audio,Tennessee Warbler,Leiothlypis peregrina,Dumetella carolinensis -- Gray Catbird; Troglodytes aedon -- Northern House Wren,Edwin Wilke,2021-10-25,2021,10,25,751,United States,US-FL-071,Florida,Lee,Florida Gulf Coast University--Food Forest,26.4602920,-81.7801590,,Call; Foraging or Eating,Unspecified,,,,,,,,,S96682025,,,,,"This individual has been here for about a week, still calling repeatedly from mid-canopy.",Leiothlypis peregrina,tenwar,Species,33695,,4.50,2,,,
395401911,Audio,Tennessee Warbler,Leiothlypis peregrina,Colibri thalassinus -- Mexican Violetear,Roselvy Juárez,2021-12-12,2021,12,12,604,Honduras,HN-FM,Francisco Morazán,,Zamorano Univ.--Res. Biol. Uyuca,14.0298480,-87.0715427,Unknown – 1,Call; Foraging or Eating,Not Used,,,,,Marantz PMD-661,Wildtronics Pro Mono Parabolic,"Wildtronics 22"" Parabola",,S98801076,,,,,,Leiothlypis peregrina,tenwar,Species,33695,,3.50,4,,,
497367911,Audio,Tennessee Warbler,Leiothlypis peregrina,Setophaga coronata auduboni -- Yellow-rumped Warbler (Audubon's),Bill Hubick,2022-10-25,2022,10,25,815,United States,US-CA-053,California,Monterey,Pacific Grove--Lovers Pt. & Perkins Park,36.6265066,-121.9162166,,Call; Foraging or Eating,Not Used,,,,,,,,,S121297867,,,,,** Continuing.,Leiothlypis peregrina,tenwar,Species,33695,,4.00,2,,,
395429901,Audio,Tennessee Warbler,Leiothlypis peregrina,Cardellina pusilla -- Wilson's Warbler; Saucerottia cyanocephala -- Azure-crowned Hummingbird; Basilinna leucotis -- White-eared Hummingbird,Roselvy Juárez,2021-12-12,2021,12,12,937,Honduras,HN-FM,Francisco Morazán,,Zamorano Univ.--Res. Biol. Uyuca,14.0298480,-87.0715427,,Call,Not Used,,,,,,,,,S98803082,,,,,,Leiothlypis peregrina,tenwar,Species,33695,,4.00,2,,,
59862761,Audio,Tennessee Warbler,Leiothlypis peregrina,,David McCartt,2017-05-26,2017,5,26,730,United States,US-NY-107,New York,Tioga,"Tubbs Hill Rd, Richford",42.3483635,-76.1646831,Adult,Call,Not Used,,,,,iPhone 6,,Rode app,,S37173936,,,,,The voice note at the end of this recording is incorrect. Unfortunately I can't delete it. D. McCartt. 6June2020,Leiothlypis peregrina,tenwar,Species,33695,,3.67,3,,,
37099061,Audio,Tennessee Warbler,Leiothlypis peregrina,,Phillip Casteel,2016-10-10,2016,10,10,704,United States,US-TN-037,Tennessee,Davidson,Crooked Branch Park,36.2404767,-86.6438231,,Call,Unspecified,,,,,LG Stylo cell phone,,,,S31974731,,,,"recording of at least 10 Tennessee Warblers chipping constantly, obviously agitated about something.","Most in one large flock, constantly chasing each other and chipping.",Leiothlypis peregrina,tenwar,Species,33695,,3.33,3,,,
551943931,Audio,Tennessee Warbler,Leiothlypis peregrina,,Ashley Hopkins,2023-03-19,2023,3,19,1620,United States,US-CA-037,California,Los Angeles,Chipperton Lane,33.8304495,-118.1040926,,Call,Unspecified,,,,,iPhone 13 Pro,,,,S131338525,,,,2 high-pitched single-note calls,Continuing,Leiothlypis peregrina,tenwar,Species,33695,,3.50,2,,,
624790351,Audio,Tennessee Warbler,Leiothlypis peregrina,Baeolophus bicolor -- Tufted Titmouse,James Wheat,2024-10-08,2024,10,8,900,United States,US-KY-215,Kentucky,Spencer,Reserve de MK Trigo (privada),38.0948270,-85.2971217,Adult – 1,Call; Foraging or Eating,Not Used,,,,,iPhone XR using Merlin app,iPhone XR using Merlin app,Audacity to amplify and trim,,S198012431,,,,Feeding on insects and berries on pokeweed with small group of  colleagues,,Leiothlypis peregrina,tenwar,Species,33695,,3.50,2,,,
624197341,Audio,Tennessee Warbler,Leiothlypis peregrina,,Maureen Thomas-Murphy,2024-09-26,2024,9,26,1200,United States,US-MO-189,Missouri,St. Louis,Mississippi River Greenway (Jefferson Barracks Park to Casino),38.5214507,-90.2684011,,Call,Unspecified,,,,,,,,,S196567467,,,,,,Leiothlypis peregrina,tenwar,Species,33695,,3.50,2,,,
608417483,Audio,Tennessee Warbler,Leiothlypis peregrina,,Carl Hughes,2023-09-02,2023,9,2,1447,Canada,CA-BC-CP,British Columbia,Capital,Outerbridge Park,48.5025900,-123.3576600,,Call; Flight Call,Unspecified,,,,,,,,,S148834935,,,,,"Small, fine billed warbler with all green above, white to slight yellow tinged underside. White undertail coverts and faint wing bars. Dark eye stripe and pale supercilium. Closely associating with a grey headed OCWA. Mostly heard giving its sharp double up-slur flight call. Similar to OCWA but sounds shorter and sharper in the field. Occasionally giving its chip note.
 Spending most of the time in the willows around the secret pond area.",Leiothlypis peregrina,tenwar,Species,33695,,3.50,2,,,
550923251,Audio,Tennessee Warbler,Leiothlypis peregrina,,Ashley Hopkins,2023-03-19,2023,3,19,1620,United States,US-CA-037,California,Los Angeles,Chipperton Lane,33.8304495,-118.1040926,,Call,Unspecified,,,,,iPhone 13 Pro,,,,S131338525,,,,,Continuing,Leiothlypis peregrina,tenwar,Species,33695,,3.50,2,,,
489072921,Audio,Tennessee Warbler,Leiothlypis peregrina,,Ethan Wells,2022-09-28,2022,9,28,1053,United States,US-KY-199,Kentucky,Pulaski,(0) Grand Central Blvd Neighborhood,37.0586397,-84.6327331,,Call,Not Used,,,,,Zoom F1,Zoom sgh-6,,,S119567533,,,,,Came into a Lincoln’s Sparrow call playback,Leiothlypis peregrina,tenwar,Species,33695,,3.50,2,,,
