ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
316656171,Audio,Tufted Titmouse,Baeolophus bicolor,Corthylio calendula -- Ruby-crowned Kinglet; Corvus brachyrhynchos -- American Crow,Chris Wood,2021-03-13,2021,3,13,704,United States,US-FL-091,Florida,Okaloosa,Eglin AFB Florida Trail 1010.8,30.7050900,-86.4008090,Unknown – 2,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono,"Wildtronics 22"" parabola",,S83295346,,,,"Calls from a single Tufted Titmouse, followed by calls from a second. Ruby-crowned Kinglet started singing near the end.",,Baeolophus bicolor,tuftit,Species,21936,,5.00,10,,,
619644408,Audio,Tufted Titmouse,Baeolophus bicolor,,Gavin Aquila,2024-05-26,2024,5,26,1530,United States,US-VA-019,Virginia,Bedford,Weatherwood Drive,37.5498620,-79.4310640,,Call,Unspecified,,,,,Sound Devices MixPre-3 II,,,,S177421369,,,,,,Baeolophus bicolor,tuftit,Species,21936,,4.78,9,,,
384288261,Audio,Tufted Titmouse,Baeolophus bicolor,,James (Jim) Holmes,2021-10-29,2021,10,29,1237,United States,US-AL-081,Alabama,Lee,Lee County Public Lake ,32.5512768,-85.3121843,Adult – 2,Call,Not Used,,,,,Olympus LS11,Sennheiser ME67,,,S96850104,,,,,,Baeolophus bicolor,tuftit,Species,21936,,5.00,5,,,
314085811,Audio,Tufted Titmouse,Baeolophus bicolor,,Jefferson Shank,2021-02-26,2021,2,26,1625,United States,US-PA-055,Pennsylvania,Franklin,Heisey Rd. Old Orchard,39.9748587,-77.5285567,Adult – 2,Call,Not Used,,,,,Canon EOS 80D,,,,S82394084,,,,,,Baeolophus bicolor,tuftit,Species,21936,,5.00,5,,,
375341691,Audio,Tufted Titmouse,Baeolophus bicolor,,Ryan O'Donnell,2021-10-01,2021,10,1,846,United States,US-NC-183,North Carolina,Wake,Durant Nature Preserve,35.8932569,-78.5801411,Unknown – 1,Call,Not Used,,,,,iPhone 12 mini,Wildtronics Professional Mono-Stereo Parabolic Microphone,,,S95432007,,,,,,Baeolophus bicolor,tuftit,Species,21936,,4.75,4,,,
91350821,Audio,Tufted Titmouse,Baeolophus bicolor,,Jay McGowan,2018-03-25,2018,3,25,1715,United States,US-NY-109,New York,Tompkins,Tareyton Drive yards,42.4706560,-76.4597903,,Call,Used,,,,,Sound Devices MixPre3,Telinga Pro 6,"Telinga 22"" Parabola",,S43957333,,,,"Calls from a pair in response to playback. Several short bouts of typical calls early on, then interesting, buzzy metallic notes given in accelerating series starting at 1:42. Each of the following three sequences was given by the same individual after subsequent bouts of brief playback of typical scolding calls.",,Baeolophus bicolor,tuftit,Species,21936,,4.33,6,,,
485244651,Audio,Tufted Titmouse,Baeolophus bicolor,,James (Jim) Holmes,2022-09-16,2022,9,16,649,United States,US-AL-113,Alabama,Russell,Fort Mitchell National Cemetery,32.3528260,-85.0200175,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic Dish,,S118844381,,,,,,Baeolophus bicolor,tuftit,Species,21936,,5.00,3,,,
455282611,Audio,Tufted Titmouse,Baeolophus bicolor,,Andrew W.,2022-05-31,2022,5,31,1443,United States,US-MA-017,Massachusetts,Middlesex,Arlington Reservoir,42.4294119,-71.1891747,,Call,Unspecified,,,,,,,,,S111821681,,,,,,Baeolophus bicolor,tuftit,Species,21936,,5.00,3,,,
149702811,Audio,Tufted Titmouse,Baeolophus bicolor,,Darrell Peterson,2019-04-07,2019,4,7,700,United States,US-VA-145,Virginia,Powhatan,Powhatan State Park,37.6780539,-77.9464484,Adult,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S54696036,,,,,,Baeolophus bicolor,tuftit,Species,21936,,5.00,3,,,
115680171,Audio,Tufted Titmouse,Baeolophus bicolor,,Jim Ferrari,2018-09-18,2018,9,18,1304,United States,US-NC-113,North Carolina,Macon,Scaly Mt,35.0381265,-83.2853365,,Call,Not Used,,,,,Olympus LS-10,,,,S48597428,,,,Tufted Titmice calling (plus Carolina Chickadee chiming in at the end),,Baeolophus bicolor,tuftit,Species,21936,,5.00,3,,,
330833881,Audio,Tufted Titmouse,Baeolophus bicolor,,Sean Smith,2021-04-23,2021,4,23,1630,United States,US-ME-017,Maine,Oxford,Hiram Village,43.8806651,-70.8004395,Adult – 2,Call; Duet; Foraging or Eating,Not Used,,,,,,,,,S86203074,,,,"Territorial bird scolding at feeder (see photo), with second individual calling in background",Photo & audio of a belligerent bird (didn't like me taking warbler pictures),Baeolophus bicolor,tuftit,Species,21936,,4.20,5,,,
326676501,Audio,Tufted Titmouse,Baeolophus bicolor,Dryobates pubescens -- Downy Woodpecker,Sean Smith,2021-04-15,2021,4,15,1400,United States,US-ME-017,Maine,Oxford,Hiram Village,43.8806651,-70.8004395,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,,,,,S85623037,,,,Territorial male at feeder (Call 1),,Baeolophus bicolor,tuftit,Species,21936,,4.20,5,,,
56354181,Audio,Tufted Titmouse,Baeolophus bicolor,,Darrell Peterson,2017-04-30,2017,4,30,700,United States,US-VA-145,Virginia,Powhatan,Powhatan State Park,37.6780539,-77.9464484,Adult,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S36440521,,,,,,Baeolophus bicolor,tuftit,Species,21936,,4.25,4,,,
407547061,Audio,Tufted Titmouse,Baeolophus bicolor,Sphyrapicus varius -- Yellow-bellied Sapsucker; Cyanocitta cristata -- Blue Jay; Poecile carolinensis -- Carolina Chickadee; Cardinalis cardinalis -- Northern Cardinal; Turdus migratorius -- American Robin; Haemorhous mexicanus -- House Finch,Carole Swann,2022-01-19,2022,1,19,636,United States,US-TN-149,Tennessee,Rutherford,Clyde Ave,35.9814175,-86.5305352,Adult – 1,Call,Not Used,,,,,iPhone Xr,Built-in microphone,,,S101031880,,,,7:40 am Tufted Titmouse high pitched calls.  The Yellow-bellied Sapsucker is tapping on the Maple tree at this time also.,,Baeolophus bicolor,tuftit,Species,21936,,4.67,3,,,
93696121,Audio,Tufted Titmouse,Baeolophus bicolor,,Bates Estabrooks,2018-04-08,2018,4,8,815,United States,US-TN-001,Tennessee,Anderson,Dogwood Cove,36.1727982,-84.0080032,,Call,Not Used,,,,,,,,,S44410010,,,,,,Baeolophus bicolor,tuftit,Species,21936,,4.67,3,,,
