ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
84442531,Audio,White-breasted Nuthatch (Eastern),Sitta carolinensis carolinensis,,Brad Walker,2018-02-03,2018,2,3,856,United States,US-NY-109,New York,Tompkins,Roy H. Park Preserve (FLLT)--south,42.4259195,-76.3357544,Adult,Call,Not Used,,,,,Nagra Ares BB+,Wildtronics Pro Amplified Mono-Stereo Parabolic Microphone,"Wildtronics 22"" Parabola",,S42452778,,,,,,Sitta carolinensis,whbnut2,Group,26641,,4.20,15,,,
30930071,Audio,White-breasted Nuthatch (Eastern),Sitta carolinensis carolinensis,,Ian Davies,2016-06-24,2016,6,24,546,United States,US-NY-011,New York,Cayuga,Summerhill SF--Hoag Ave. (Lick to Salt),42.6661860,-76.3318223,Adult,Call,Not Used,,,,,,,,,S30367822,,,,,,Sitta carolinensis,whbnut2,Group,26641,,4.62,8,,,
306062,Audio,White-breasted Nuthatch,Sitta carolinensis,,Wil Hershberger,2020-03-12,2020,3,12,725,United States,US-WV-003,West Virginia,Berkeley,Wood Song,39.5749560,-78.0544680,Adult – 1,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH 8020,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,"Behavior and other notes: Adult unknown sex White-breasted Nuthatches giving calls in response to similar calls in the distance. Recording Time: 0625 (UTC -5).  Temperature 3.9C.  Habitat: mixed deciduous woods.  Distance to sound source: 15 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -12dB/octave. Recordists original file name: WH_20T0039_White-breasted Nuthatch calls_Berkeley Co WV_ML.wav",,Sitta carolinensis,whbnut,Species,26640,,5.00,5,,,
306053,Audio,White-breasted Nuthatch,Sitta carolinensis,,Wil Hershberger,2020-01-15,2020,1,15,907,United States,US-WV-003,West Virginia,Berkeley,Wood Song,39.5749560,-78.0544680,Adult – 2,Call,Not Used,,,,,Sound Devices MixPre-6,Sennheiser ME 66,,,,,,,"Behavior and other notes: A pair of adult White-breasted Nuthatches calling near the feeders. Recording Time: 0907 (UTC -5).  Temperature 4.4C.  Habitat: mixed deciduous woods.  Distance to sound source: 8 meters.  Specific location: Wood Song, Berkeley Co., WV. Latitude 39.575464, Longitude -78.056623.  Elevation 156 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Recorder HPF on at 80Hz, -18dB/octave. Recordists original file name: WH20T-018_Wood Song_ME66 at feeders_WBNU calls at suet feeder_Berkeley Co WV.wav",,Sitta carolinensis,whbnut,Species,26640,,5.00,5,,,
45982091,Audio,White-breasted Nuthatch,Sitta carolinensis,,Paul Marvin,2017-01-18,2017,1,18,655,United States,US-CA-073,California,San Diego,Big Laguna Lake from Sunrise Hwy,32.9044533,-116.4733946,,Call,Not Used,,,,,Tascam HD-P2 potable recorder,Sennheiser MKH70,,,S33775134,,,,,,Sitta carolinensis,whbnut,Species,26640,,4.20,10,,,
304498191,Audio,White-breasted Nuthatch,Sitta carolinensis,Spinus pinus -- Pine Siskin,Magdalena Z,2021-02-04,2021,2,4,1149,Canada,CA-ON-WL,Ontario,Wellington,"Hume Road, Puslinch, Ontario, CA (43.533, -80.146)",43.5333070,-80.1460044,Adult – 1,Call; Flying; Foraging or Eating,Not Used,,,,,Olympus LS11,Wildtronics Mono-Stereo Mics,"22"" parabola",,S80467754,,,,,,Sitta carolinensis,whbnut,Species,26640,,4.67,6,,,
143392551,Audio,White-breasted Nuthatch,Sitta carolinensis,,François Martin,2019-03-02,2019,3,2,1054,Canada,CA-QC-MK,Quebec,Les Maskoutains,RN du Boisé-des-Douze,45.6297691,-72.9223134,Adult Male,Call,Not Used,,,,,LG G6,,,,S53290803,,,,,,Sitta carolinensis,whbnut,Species,26640,,4.67,6,,,
87127371,Audio,White-breasted Nuthatch (Eastern),Sitta carolinensis carolinensis,,Richard André Rivard,2018-02-21,2018,2,21,1315,United States,US-WI-109,Wisconsin,St. Croix,209 Limberg Court,45.0554054,-92.1698856,Adult,Call,Used,,,,,Tascam DR-05,internal,,,S43109328,,,,,,Sitta carolinensis,whbnut2,Group,26641,,4.60,5,,,
372181931,Audio,White-breasted Nuthatch,Sitta carolinensis,,Wil Hershberger,2021-09-24,2021,9,24,743,United States,US-AZ-005,Arizona,Coconino,"Grand Canyon National Park South Rim, Williams US-AZ 35.96630, -111.96863",35.9662970,-111.9686260,Adult Male – 1,Call; Foraging or Eating,Unspecified,,,,,Sound Device 702,Telinga Pro 7 stereo DAT mic,Telinga 57cm parabola,,S95094206,,,,"Behavior and other notes: Adult male White-breasted Nuthatch calling while foraging in a Ponderosa Pine. Recording Time: 0732 (UTC -5).  Temperature 20C.  Habitat: Ponderosa Pine forest. Distance to sound source: 4.5 meters.  Specific location: Grand Canyon National Park, Coconino Ridge Road, Coconino Co, AZ.  Latitude/Longitude 35.96335, -111.96497.  Elevation 2,255 meters.  ID’d by sight and sound; ID confidence 100%.  Equipment notes: Stereo. Recorder HPF on at 80Hz, -12dB/octave.",,Sitta carolinensis,whbnut,Species,26640,,5.00,3,,,
170192481,Audio,White-breasted Nuthatch,Sitta carolinensis,,Kent Fiala,2019-07-28,2019,7,28,803,United States,US-NC-135,North Carolina,Orange,Borland Road (1714),36.0044975,-79.1378184,Unknown,Call,Not Used,,,,,Samsung Galaxy S9+,,,,S58511939,,,,,,Sitta carolinensis,whbnut,Species,26640,,5.00,3,,,
