ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
251342641,Audio,White-throated Sparrow,Zonotrichia albicollis,,Jay McGowan,2020-07-18,2020,7,18,655,United States,US-NY-089,New York,St. Lawrence,Massawepie Mire,44.2271815,-74.6824651,Adult – 1,Call,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S71652891,,,,Calls from an adult after pishing.,,Zonotrichia albicollis,whtspa,Species,32919,,5.00,7,,,
235582,Audio,White-throated Sparrow,Zonotrichia albicollis,,Bob McGuire,2018-07-02,2018,7,2,558,Canada,CA-QC-MC,Quebec,Maria-Chapdelaine,1er Rang ,48.9574535,-72.3692608,Adult – 2,Call,Not Used,,,,,Sound Devices 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),,S46986583,,,,,,Zonotrichia albicollis,whtspa,Species,32919,,5.00,5,,,
395989561,Audio,White-throated Sparrow,Zonotrichia albicollis,,Kalin Ocaña,2021-09-04,2021,9,4,830,Canada,CA-BC-CO,British Columbia,Central Okanagan,Kelowna--Sutherland Hills Park,49.8734200,-119.4327500,Unknown – 1,Call,Unspecified,,,,,,,,,S94174849,,,,,Tan stripe with flock of WCSP,Zonotrichia albicollis,whtspa,Species,32919,,4.38,8,,,
203892031,Audio,White-throated Sparrow,Zonotrichia albicollis,,Joe Angseesing,2015-11-01,2015,11,1,0,United States,US-NY-061,New York,New York,Central Park,40.7715482,-73.9724819,,Call,Unspecified,,,,IBC1137638,,,,,S64983289,,,,"In a tree calling. Elevation: 22 m. Date added to IBC: June 22, 2016.",,Zonotrichia albicollis,whtspa,Species,32919,,4.67,6,,,
244370091,Audio,White-throated Sparrow,Zonotrichia albicollis,,Jay McGowan,2020-06-14,2020,6,14,527,United States,US-NY-041,New York,Hamilton,Blue Mt. Trail,43.8707970,-74.4209576,Adult – 1,Call,Not Used,,,,,,,,,S70444807,,,,Calls from an adult foraging and then perched low in firs along the edge of the open area at the summit.,,Zonotrichia albicollis,whtspa,Species,32919,,5.00,4,,,
105375311,Audio,White-throated Sparrow,Zonotrichia albicollis,,Jeff Dyck,2018-06-23,2018,6,23,745,Canada,CA-BC-FF,British Columbia,Fraser-Fort George,Hixon Community Hall,53.4120420,-122.5755570,Adult,Call,Not Used,,,,,Sound Devices MixPre3,Sennheiser ME62,Telinga Parabolic Dish,,S46755950,,,,,,Zonotrichia albicollis,whtspa,Species,32919,,4.14,7,,,
498625651,Audio,White-throated Sparrow,Zonotrichia albicollis,,Ethan Kang,2022-10-29,2022,10,29,800,United States,US-PA-045,Pennsylvania,Delaware,Greycar Rion Memorial Refuge (my yard) [GRMR-BY],39.8488116,-75.5180149,,Call,Unspecified,,,,,Samsung Galaxy Note 20,,Red Solo Cup Parabola,,S121493874,,,,,,Zonotrichia albicollis,whtspa,Species,32919,,4.75,4,,,
223802591,Audio,White-throated Sparrow,Zonotrichia albicollis,,Mark Greene,2020-04-03,2020,4,3,1930,United States,US-TN-053,Tennessee,Gibson,Mt. Orange--Greene Yard,35.9563584,-88.9985061,,Call,Unspecified,,,,,,,,,S67236670,,,,Chip calls made at dusk from their roost site in an evergreen tree in my yard.,,Zonotrichia albicollis,whtspa,Species,32919,,4.40,5,,,
73477541,Audio,White-throated Sparrow,Zonotrichia albicollis,,Michael Lester,2017-10-28,2017,10,28,935,United States,US-UT-011,Utah,Davis,Bountiful Pond,40.9057611,-111.9219303,,Call,Not Used,,,,,iPhone6,iPhone6,,,S40171618,,,,,"Continuing. Originally found by Mike San Miguel 10/26. North end of riparian strip with WCSP, SOSP, and DEJU. Later seen along creek behind Firepit, where it was more vocal.
 
 UPDATE: Changed count to 2.  At the time, I had the feeling I photographed 2 different birds based on location and differences in behavior, but couldn't confirm. I couldn't find any striking plumage differences in the photos while checking camera in field. Recently, other observers confirmed 2 birds seen at the same time. Looking at the photos again on the computer, there does seem to be some subtle differences in eye line shape toward the rear and the color of supercillium (if it's not a lighting artifact)",Zonotrichia albicollis,whtspa,Species,32919,,3.78,9,,,
372071091,Audio,White-throated Sparrow,Zonotrichia albicollis,Cyanocitta cristata -- Blue Jay; Dumetella carolinensis -- Gray Catbird; Corvus brachyrhynchos -- American Crow,Tom Gannon,2021-09-24,2021,9,24,705,United States,US-NE-109,Nebraska,Lancaster,Stagecoach Lake SRA,40.6023538,-96.6409779,,Call,Not Used,,,,,ZOOM H5,SSH-6,,,S95089677,,,,,"--got recording of ""chink"" calls",Zonotrichia albicollis,whtspa,Species,32919,,4.20,5,,,
