ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
617176223,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Trenton Voytko,2024-04-10,2024,4,10,723,United States,US-NC-049,North Carolina,Craven,"Black Swamp Creek Two-track, Catfish Lake SW",34.9138511,-77.1003375,Adult Male – 1,Call; Mechanical Sound,Unspecified,,,,,,,,,S167988322,,,,"Wing donations at 2 seconds, chip notes otherwise.",A singing Wormie? My beloved.,Helmitheros vermivorum,woewar1,Species,33673,,4.71,7,,,
250728361,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Matt Wistrand,2020-07-03,2020,7,3,607,United States,US-IN-013,Indiana,Brown,Timber Crest Rd (PRIVATE),39.2143003,-86.1864996,Adult Female – 1,Call,Not Used,,,,,Sound Devices MixPre3,Sennheiser MKH20,Telinga Universal Pro,,S71077688,,,,,,Helmitheros vermivorum,woewar1,Species,33673,,5.00,4,,,
30930771,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Ian Davies,2016-07-03,2016,7,3,718,United States,US-MA-005,Massachusetts,Bristol,"Herb Hadfield Conservation Area (WLCT), Westport",41.5659212,-71.1153978,Adult Male,Call,Used,,,,,,,,,S30513029,,,,calls given from undergrowth while foraging,"*local; two males singing, one recorded very well and photographed decently.",Helmitheros vermivorum,woewar1,Species,33673,,4.14,7,,,
245021221,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Jay McGowan,2020-05-21,2020,5,21,636,United States,US-NY-109,New York,Tompkins,Lindsay-Parsons Biodiversity Preserve (FLLT),42.3101677,-76.5216895,,Call,Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S69412109,,,,Calls from a bird coming in to playback. Probably a second bird nearby.,"*Rare and very local breeder, but traditional spot for decades. Pair up on steep slope at least halfway to top of pinnacles above orange/purple intersection (formerly red/blue). Eventually singing for a few minutes, but mostly silent and foraging near each other in subcanopy of oaks on slope.",Helmitheros vermivorum,woewar1,Species,33673,,5.00,3,,,
234619531,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Taylor Sturm,2020-05-14,2020,5,14,608,United States,US-NY-087,New York,Rockland,Bear Mountain SP--Doodletown Rd.,41.3011999,-73.9869576,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,Sound Devices MixPre-3,Sennheiser ME 67,Windscreen,,S69033774,,,,high-pitched chips coming from the other WEWA. ,one bird fluttering while singing around a perched bird which was calling. very cool.,Helmitheros vermivorum,woewar1,Species,33673,,4.33,3,,,
352861031,Audio,Worm-eating Warbler,Helmitheros vermivorum,Turdus migratorius -- American Robin,Art Webster,2021-07-07,2021,7,7,758,United States,US-NC-111,North Carolina,McDowell,"MST between Singecat Ridge Overlook and Buck Cr. Gap (35.759, -82.172)",35.7591410,-82.1724874,Adult Female – 1; Adult Male – 1,Call,Not Used,,,,,Samsung Galaxy S8,,,,S91390976,,,,Pair of worm-eating warblers calling.,calling then saw on ridgetop in mature deciduous forest,Helmitheros vermivorum,woewar1,Species,33673,,5.00,2,,,
248893211,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Matt Wistrand,2020-07-01,2020,7,1,618,United States,US-IN-013,Indiana,Brown,Timber Crest Rd (PRIVATE),39.2143003,-86.1864996,Adult Female – 1,Call,Not Used,,,,,,,,,S71012832,,,,Given in alarm,,Helmitheros vermivorum,woewar1,Species,33673,,5.00,2,,,
621505771,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Brian Sullivan,2024-06-29,2024,6,29,756,United States,US-OH-005,Ohio,Ashland,Mohican SP--Covered Bridge,40.6133660,-82.3163724,,Call,Used,,,,,Zoom F3,Wildtronics Parabola Mic,Feather Light Dish,,S184453700,,,,,,Helmitheros vermivorum,woewar1,Species,33673,,4.50,2,,,
464761791,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Jeremy Nance,2022-07-04,2022,7,4,619,United States,US-CT-001,Connecticut,Fairfield,Trout Brook Valley Conservation Area,41.2529034,-73.3398342,,Call,Unspecified,,,,,,,,,S114378315,,,,,don’t usually see this species in the orchard. molting head feathers - might have been juvenile but only got a brief look.,Helmitheros vermivorum,woewar1,Species,33673,,4.50,2,,,
610412913,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Garrett MacDonald,2016-06-04,2016,6,4,830,United States,US-IN-105,Indiana,Monroe,HEE--Unit 6,39.1231356,-86.3700914,,Call,Not Used,,,,,,,,,S30071920,,,,,,Helmitheros vermivorum,woewar1,Species,33673,,4.00,2,,,
456400841,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Seth Buddy,2022-06-04,2022,6,4,814,United States,US-NC-021,North Carolina,Buncombe,"Pisgah National Forest, Candler US-NC 35.51612, -82.64162",35.5161200,-82.6416170,Adult – 1,Call; Foraging or Eating,Not Used,,,,,Tascam DR-100MKIII,Wildtronics Pro Mono,"Wildtronics 22"" parabola; windscreen",,S112095235,,,,"There were two WEWA singing at each other on both sides of the road, one downslope in a poplar forest with mountain laurel understory, the other upslope from mountain laurel on the edge of a recently-logged ""shelterwood"" parcel.  When I arrived, the upslope one stopped singing and began chipping.  Possibly upset at me for being too close to a nest.",,Helmitheros vermivorum,woewar1,Species,33673,,4.00,2,,,
173249771,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Kevin Kubach,2019-08-19,2019,8,19,632,United States,US-SC-007,South Carolina,Anderson,Fants Grove Wildlife Management Area,34.6129554,-82.8241454,,Call,Not Used,,,,,iPhone 4 Voice Memo tool,,,,S59099620,,,,"Bird foraging in thicket, probing dead leaf clusters about 6-8 feet off the ground and as close as 10 feet from me. Bird was calling repeatedly long before I was within any potential alarm distance, and I walked carefully into recording range; the bird did not appear perturbed by my presence and continued foraging and calling.","Foraging in same exact spot where two were seen on Friday morning 16Aug2019. Calling the whole time (and well before I arrived, so not necessarily alarm calls).",Helmitheros vermivorum,woewar1,Species,33673,,4.00,2,,,
30930811,Audio,Worm-eating Warbler,Helmitheros vermivorum,,Ian Davies,2016-07-03,2016,7,3,718,United States,US-MA-005,Massachusetts,Bristol,"Herb Hadfield Conservation Area (WLCT), Westport",41.5659212,-71.1153978,Adult Male,Call,Used,,,,,,,,,S30513029,,,,,"*local; two males singing, one recorded very well and photographed decently.",Helmitheros vermivorum,woewar1,Species,33673,,3.50,6,,,
485780021,Audio,Worm-eating Warbler,Helmitheros vermivorum,,PT xiao,2022-09-18,2022,9,18,736,United States,US-FL-086,Florida,Miami-Dade,Kendale Lakes Park,25.6925076,-80.4264450,,Call,Unspecified,,,,,,,,,S118959819,,,,"calls - high-pitched (~7-12 kHz), dry and thin upslurs",,Helmitheros vermivorum,woewar1,Species,33673,,4.00,2,,,
