ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
372924541,Audio,Yellow Warbler,Setophaga petechia,,Bob Hasenick,2021-09-03,2021,9,3,910,United States,US-CA-097,California,Sonoma,Spring Lake Regional Park,38.4541936,-122.6508522,Adult – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices MixPre-3,Wildtronics Pro Mono,,,S95237389,,,,,,Setophaga petechia,yelwar,Species,33807,,4.83,6,,,
104605771,Audio,Yellow Warbler,Setophaga petechia,,Marky Mutchler,2018-06-16,2018,6,16,602,United States,US-NY-097,New York,Schuyler,Finger Lakes NF--South Velie Pasture,42.4703310,-76.7954560,Adult Female,Call,Not Used,,,,,Sound Devices MixPre3,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S46591162,,,,"Female bird with possible nest along shrubby row. Relatively agitated at my presence. In second cut, the male came in and fed the female plumaged bird. When fed, the female gave begging-like calls.",,Setophaga petechia,yelwar,Species,33807,,5.00,3,,,
612607607,Audio,Yellow Warbler,Setophaga petechia,,James (Jim) Holmes,2023-12-14,2023,12,14,624,Mexico,MX-NAY-013,Nayarit,San Blas,Chacalilla (pueblo),21.6173833,-105.2687123,,Call,Not Used,,,,,MixPre-3 II,Wildtronics Pro Mono,Parabolic DIsh,,S156311346,,,,,,Setophaga petechia,yelwar,Species,33807,,4.00,4,,,
182034431,Audio,Yellow Warbler,Setophaga petechia,,Bob Hasenick,2019-09-27,2019,9,27,730,United States,US-CA-097,California,Sonoma,Campbell Cove and Hole in the Head - ONLY,38.3053873,-123.0577433,,Call,Unspecified,,,,,Sound Devices MixPre-3,Wildtronics Pro Mono,,,S60604265,,,,,,Setophaga petechia,yelwar,Species,33807,,4.33,3,,,
132259471,Audio,Yellow Warbler (Golden),Setophaga petechia [petechia Group],,grete pasch,2018-12-31,2018,12,31,1659,Barbados,BB-04,Saint James,,Sion Hill Road,13.2262900,-59.6158826,Immature Male,Call,Not Used,,,,,"iPhone, VoiceRecord, OceanAudio",,,,S51134848,,,,"Yellow warbler, calling repeatedly, perched in a tree. Background: Zenaida aurita, Black-faced Grassquit.","One lone yellow warbler, perched in a tree, calling repeatedly.",Setophaga petechia,yelwar2,Group,33828,,4.33,3,,,
506773721,Audio,Yellow Warbler,Setophaga petechia,Amazilia tzacatl -- Rufous-tailed Hummingbird,John Martínez D,2022-10-24,2022,10,24,1330,Colombia,CO-CAL,Caldas,,Institución educativa Cañaveral,5.3216461,-74.9440445,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Redmi Note 10 pro ,,,,S121274194,,,,Forrajeando en Guamo Santafereño,,Setophaga petechia,yelwar,Species,33807,,4.33,3,,,
161692571,Audio,Yellow Warbler,Setophaga petechia,,Amy Lyyski,2019-05-28,2019,5,28,1546,United States,US-MI-077,Michigan,Kalamazoo,Fort Custer SRA,42.3266970,-85.3473759,,Call,Unspecified,,,,,sony handheld,,,,S56850938,,,,,,Setophaga petechia,yelwar,Species,33807,,4.33,3,,,
490973911,Audio,Yellow Warbler,Setophaga petechia,Elaenia flavogaster -- Yellow-bellied Elaenia,John Martínez D,2022-10-06,2022,10,6,1023,Colombia,CO-CAL,Caldas,,Institución educativa Cañaveral,5.3216461,-74.9440445,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,Redmi Note 10 pro ,,,,S120097632,,,,,,Setophaga petechia,yelwar,Species,33807,,5.00,2,,,
624228091,Audio,Yellow Warbler,Setophaga petechia,Spinus psaltria -- Lesser Goldfinch,Alvaro Rojas 𝙌𝙧𝙤. 𝘽𝙞𝙧𝙙𝙞𝙣𝙜 𝙏𝙤𝙪𝙧𝙨,2024-09-22,2024,9,22,927,Mexico,MX-QUE-014,Querétaro,Querétaro,Parque Queretaro 2000,20.6176132,-100.3984001,Adult Female – 1,Call; Foraging or Eating,Not Used,,,,,XIAOMI POCO M3 PRO G5,XIAOMI POCO M3 PRO G5,,,S196468741,,,,,,Setophaga petechia,yelwar,Species,33807,,5.00,2,,,
620468770,Audio,Yellow Warbler,Setophaga petechia,,Julia Plummer,2024-06-12,2024,6,12,1002,United States,US-NY-037,New York,Genesee,Iroquois NWR--Onondaga Trail,43.1222200,-78.3688900,,Call,Not Used,,,,,Mixpre3-ii,Sennheiser ME62,"Tellinga 22"" Parabola",,S181085600,,,,,,Setophaga petechia,yelwar,Species,33807,,5.00,2,,,
