ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
206459541,Audio,Yellow-throated Warbler,Setophaga dominica,Quiscalus niger -- Greater Antillean Grackle; Coereba flaveola -- Bananaquit; Mimus polyglottos -- Northern Mockingbird,Alcides L. Morales Pérez,2020-01-30,2020,1,30,1600,Puerto Rico,PR-MT,Manatí,,Hacienda La Esperanza,18.4677000,-66.5240800,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Marantz PMD661 MKIII,Sennheiser ME 67,,,S63972950,,,,,Observada. Esta especie es regular para esta época del año en el área.,Setophaga dominica,yetwar,Species,33883,,4.50,4,,,
329684721,Audio,Yellow-throated Warbler (dominica/stoddardi),Setophaga dominica dominica/stoddardi,,Michael O'Brien,2021-04-20,2021,4,20,1916,United States,US-NJ-009,New Jersey,Cape May,Belleplain SF--Sunset Bridge & triangle area,39.2420852,-74.8765930,,Call; Flight Call,Unspecified,,,,,iPhone,,,,S85998024,,,,,,Setophaga dominica,yetwar2,Group,33885,,4.67,3,,,
516889271,Audio,Yellow-throated Warbler,Setophaga dominica,,Delbert Penner,2022-12-09,2022,12,9,1111,Belize,BZ-CY,Cayo,,Home,17.3290345,-89.0488202,Adult – 1,Call,Not Used,,,,,Samsung Galaxy S9 Smartphone,,,,S123704310,,,,,,Setophaga dominica,yetwar,Species,33883,,4.33,3,,,
58522011,Audio,Yellow-throated Warbler,Setophaga dominica,,Jeremiah Trimble,2017-05-15,2017,5,15,635,United States,US-ME-015,Maine,Lincoln,Monhegan Island,43.7657055,-69.3131265,,Call,Not Used,,,,,,,,,S36931898,,,,,Rare: photos and audio; in town last seen near library,Setophaga dominica,yetwar,Species,33883,,4.00,3,,,
487486311,Audio,Yellow-throated Warbler,Setophaga dominica,,Delbert Penner,2022-09-14,2022,9,14,1158,Belize,BZ-CY,Cayo,,Home,17.3290345,-89.0488202,Adult – 1,Call,Not Used,,,,,Samsung Galaxy S9 Phone,,,,S118745266,,,,,,Setophaga dominica,yetwar,Species,33883,,4.50,2,,,
206455591,Audio,Yellow-throated Warbler,Setophaga dominica,Zenaida asiatica -- White-winged Dove; Quiscalus niger -- Greater Antillean Grackle; Coereba flaveola -- Bananaquit; Zenaida aurita -- Zenaida Dove,Alcides L. Morales Pérez,2020-01-30,2020,1,30,1600,Puerto Rico,PR-MT,Manatí,,Hacienda La Esperanza,18.4677000,-66.5240800,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Marantz PMD661 MKIII,Sennheiser ME 67,,,S63972950,,,,,Observada. Esta especie es regular para esta época del año en el área.,Setophaga dominica,yetwar,Species,33883,,4.50,2,,,
64041711,Audio,Yellow-throated Warbler,Setophaga dominica,,Hal Mitchell,2017-07-22,2017,7,22,1215,United States,US-MS-093,Mississippi,Marshall,Wall Doxey SP,34.6644876,-89.4624424,Adult,Call,Not Used,,,,,Marantz PMD-620 MKII (Oade Modified),Telinga Stereo DAT,"22"" Parabola",,S38267477,,,,Likely a female bird due to nearby male heard singing on territory.  This bird came in to defend recently fledged young nearby.  Flew from bottomland wood interior where it was likely foraging for the fledgling who was on the edge of the lake.  The fledgeling still had down and was vocalizing quietly until the adult came.,2 adults. 1 recently fledged young.,Setophaga dominica,yetwar,Species,33883,,4.50,2,,,
630951420,Audio,Yellow-throated Warbler,Setophaga dominica,,Chris Wood,2025-02-15,2025,2,15,611,United States,US-SC-053,South Carolina,Jasper,Savannah NWR--Tupelo Trail,32.1866907,-81.0984135,Adult – 1,Call,Not Used,,,,,Zoom F3,Wildtronics Pro Mono,"Wildtronics 22"" parabola",,S213411450,,,,,,Setophaga dominica,yetwar,Species,33883,,4.00,2,,,
614195676,Audio,Yellow-throated Warbler,Setophaga dominica,Polioptila caerulea -- Blue-gray Gnatcatcher,Delvis Toledo,2024-01-27,2024,1,27,1105,Cuba,CU-06,Cienfuegos,,Tramo Ramón Balboa - El Salto,22.3546250,-80.3093283,Adult – 1,Call; Foraging or Eating,Unspecified,,,,,,,,,S159977258,,,,,,Setophaga dominica,yetwar,Species,33883,,4.00,2,,,
315882461,Audio,Yellow-throated Warbler,Setophaga dominica,,Russ Wigh,2021-03-11,2021,3,11,1146,United States,US-GA-051,Georgia,Chatham,34 Peregrine Crossing,31.9179190,-81.0501981,Adult Male – 1,Call; Foraging or Eating,Not Used,,,,,Sound Devices 722,Sennheiser MKH416,Rode basket and dead cat wind screen,,S83196049,,,,This little chip would likely rarely be recognized in the field.  This is the first time I recall hearing it myself. A selective and sensitive microphone was set up within 6 ft of a feeding station,,Setophaga dominica,yetwar,Species,33883,,4.00,2,,,
