ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
414936821,Audio,Carolina Chickadee,Poecile carolinensis,,Jay McGowan,2021-04-30,2021,4,30,810,United States,US-WV-067,West Virginia,Nicholas,Summersville Lake--Battle Run Area,38.2246221,-80.9092064,Adult – 1,Call; Song,Not Used,,,,,Sound Devices MixPre-3 II,Wildtronics Pro Mono Parabolic Microphone,"Wildtronics 22"" Parabola",,S86709267,,,,Possibly one of the same birds as recorded earlier.,,Poecile carolinensis,carchi,Species,21836,,4.82,11,,,
342303351,Audio,Carolina Chickadee,Poecile carolinensis,Cyanocitta cristata -- Blue Jay; Mimus polyglottos -- Northern Mockingbird; Zenaida macroura -- Mourning Dove,Mike Austin,2021-05-25,2021,5,25,700,United States,US-TX-201,Texas,Harris,BellaVita Neighborhood (access limited),29.5614783,-95.2287318,Unknown – 1,Call; Foraging or Eating,Not Used,,,,,iPhone 10,,,,S88964379,,,,,,Poecile carolinensis,carchi,Species,21836,,4.80,5,,,
519132201,Audio,Carolina Chickadee,Poecile carolinensis,,Ethan Kang,2023-01-01,2023,1,1,614,United States,US-PA-045,Pennsylvania,Delaware,Greycar Rion Memorial Refuge (my yard) [GRMR-BY],39.8488116,-75.5180149,,Call,Unspecified,,,,,MacBook Air,,,,S125127123,,,,,,Poecile carolinensis,carchi,Species,21836,,5.00,4,,,
176155,Audio,Carolina Chickadee,Poecile carolinensis,,Geoffrey A. Keller,2008-10-26,2008,10,26,,United States,US-IN-013,Indiana,Brown,"3.0 km NE of Nashville; ""Frog Ranch""",39.2132295,-86.2079573,Adult – 1,Call,Unspecified,,,,,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,Scolds and calls. Other Behaviors: Scold.,,Poecile carolinensis,carchi,Species,21836,,5.00,4,,,
73963,Audio,Carolina Chickadee,Poecile carolinensis,Corvus brachyrhynchos -- American Crow; Empidonax virescens -- Acadian Flycatcher; Melospiza melodia -- Song Sparrow,Geoffrey A. Keller,1992-05-28,1992,5,28,530,United States,US-IN,Indiana,,10.0 km SW of Connersville; Mary Gray Bird Sanctuary,,,Unknown – 1,Call,Not Used,,,,,UHER 4200,Sennheiser MKH 106T,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,"NOTES: BNA: Chick-a-dee calls. mf. Other Behaviors: Scold. Habitat: Forest, Deciduous Forest.",,Poecile carolinensis,carchi,Species,21836,,5.00,4,,,
110145,Audio,Carolina Chickadee,Poecile carolinensis,,Jeff Bolsinger,1994-06-23,1994,6,23,957,United States,US-TX-099,Texas,Coryell,"15.0 km N of Harker Heights; Training Area 2, Fort Hood",31.2666667,-97.6833333,,Call; Song,Unspecified,,,,,NAGRA IV-L,Sennheiser MKH 816T,,,,,,,Same subject(s) as LNS 110144.,,Poecile carolinensis,carchi,Species,21836,,4.60,5,,,
288407931,Audio,Carolina Chickadee,Poecile carolinensis,Dryobates pubescens -- Downy Woodpecker,Ryan O'Donnell,2020-12-10,2020,12,10,732,United States,US-AR-113,Arkansas,Polk,Campsite in Ouachita Mountains 9-10Dec2020,34.4337950,-93.9677080,,Call,Unspecified,,,,,Olympus LS-10,Wildtronics Professional Mono-Stereo Parabolic Microphone,,,S77335492,,,,,,Poecile carolinensis,carchi,Species,21836,,4.75,4,,,
67149831,Audio,Carolina Chickadee,Poecile carolinensis,,Darrell Peterson,2017-08-27,2017,8,27,700,United States,US-VA-145,Virginia,Powhatan,powatan wma  powerline trail,37.5470000,-77.9710000,Unknown,Call,Not Used,,,,,Sound Devices 702,Sennheiser MKH20,Telinga parabola,,S38849468,,,,,This Carolina chickadee has an unusual call,Poecile carolinensis,carchi,Species,21836,,4.75,4,,,
89100571,Audio,Carolina Chickadee,Poecile carolinensis,,David Gibson,2018-03-09,2018,3,9,1115,United States,US-VA-550,Virginia,Chesapeake,Gibson home,36.8005509,-76.2681577,,Call,Not Used,,,,,Tascam DR-05,Polsen SCL-1075 shotgun,windscreens,,S43520594,,,,,Same bird produced songs and calls. A nice wide spectrum of sounds!,Poecile carolinensis,carchi,Species,21836,,4.40,5,,,
105257,Audio,Carolina Chickadee,Poecile carolinensis,Corvus brachyrhynchos -- American Crow; Melanerpes carolinus -- Red-bellied Woodpecker; Baeolophus bicolor -- Tufted Titmouse; Thryothorus ludovicianus -- Carolina Wren; Vireo olivaceus -- Red-eyed Vireo,Geoffrey A. Keller,1993-05-13,1993,5,13,650,United States,US-TX-471,Texas,Walker,19.0 km S of Huntsville; Sam Houston National Forest,,,,Call,Not Used,,,,,UHER 4200 REPORT MONITOR,Sennheiser MKH 106T,Roche Parabola 74cm/17.7cm (29.1in/7in),,,,,,"NOTES: ""chick-ah-dee-dee-dee"" and ""spittle chee-ah"" calls from a small flock in numerous locations in canopy of oak-pine forest. Number of individuals=UUc2-5;. Other Behaviors: Establish Flock Contact. Habitat: Forest, Coniferous Forest.",,Poecile carolinensis,carchi,Species,21836,,4.00,6,,,
